,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,670,Commando COM-2D,,Commando,COM-2D,25,541,Inner Sphere,1891250,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2486,9,2005,https://i.ibb.co/tcxdcYf/commando-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,SRM1/1,0,25,early-succession-war,c_gs,2807,2900,Early Succesion War,Clan Goliath Scorpion
1,678,Commando IIC  ,,Commando IIC, ,25,978,Clan,2372500,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/G0xW7WP/commando-iic-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,4,False,4,False,0,False,0,False,0,25,"CASE,SRM2/2",0,25,early-succession-war,c_gs,2856,2900,Early Succesion War,Clan Goliath Scorpion
2,1023,Falcon FLC-4Nb,,Falcon,FLC-4Nb,30,947,Inner Sphere,2760940,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2776,10,2571,https://i.ibb.co/4jnDyVY/falcon-opk.png,False,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,3,0,2,False,2,False,0,False,0,False,0,22,ENE,0,30,early-succession-war,c_gs,2807,2900,Early Succesion War,Clan Goliath Scorpion
3,7605,Drift Shag  ,,Drift Shag, ,30,1512,Clan,4783740,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2827,11,2781,https://i.ibb.co/qFMxvt6/falcon-3050u.png,True,True,1.0,BattleMech,Scout,BM,1,"14""/12""j",0,3,2,0,4,False,4,False,1,False,0,False,0,38,"ENE,JMPW1",0,30,early-succession-war,c_gs,2827,2900,Early Succesion War,Clan Goliath Scorpion
4,2472,Peregrine (Horned Owl)  ,,Peregrine (Horned Owl), ,35,1434,Clan,3487860,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2835,11,2781,https://i.ibb.co/Wpj8r3z/peregrine-horned-owl-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,3,0,3,False,3,False,2,False,0,False,0,28,ENE,0,35,early-succession-war,c_gs,2835,2900,Early Succesion War,Clan Goliath Scorpion
5,7678,Phoenix Hawk PXH-1-EC,,Phoenix Hawk,PXH-1-EC,45,1206,Mixed,4409740,Experimental,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2819,11,2781,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"12""j",0,5,4,0,2,False,2,False,0,False,0,False,0,29,AMS,0,45,early-succession-war,c_gs,2819,2900,Early Succesion War,Clan Goliath Scorpion
6,7752,Phoenix Hawk C,,Phoenix Hawk,C,45,1396,Clan,8179015,Standard,539,RGv1,455,RG11,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2831,11,2781,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,2,0,3,False,3,False,1,False,0,False,0,31,CASE,0,45,early-succession-war,c_gs,2831,2900,Early Succesion War,Clan Goliath Scorpion
7,2493,"Phoenix Hawk PXH-1c ""Special""",,Phoenix Hawk,"PXH-1c ""Special""",45,1443,Inner Sphere,8856890,Standard,189,TR:3075,228,RS:3075u-AW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2765,10,2571,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,2,0,3,False,2,False,1,False,0,False,1,31,"CASE,ECM",0,45,early-succession-war,c_gs,2807,2900,Early Succesion War,Clan Goliath Scorpion
8,2837,Scorpion SCP-1N,,Scorpion,SCP-1N,55,1019,Inner Sphere,5201800,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2570,9,2005,https://i.ibb.co/DQvbMcm/scorpion-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,2,"12""",0,4,5,0,2,False,2,False,1,False,0,False,0,27,,0,55,early-succession-war,c_gs,2807,2900,Early Succesion War,Clan Goliath Scorpion
9,1541,Hoplite HOP-4Bb,,Hoplite,HOP-4Bb,55,1413,Inner Sphere,5465558,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2795,11,2781,https://i.ibb.co/6wHfbL7/hoplite-rg.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""",0,6,5,0,2,False,3,False,3,False,0,False,0,36,"AMS,CASE,ECM,IF1",0,55,early-succession-war,c_gs,2807,2900,Early Succesion War,Clan Goliath Scorpion
