,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,early-succession-war,c_sf,2807,2895,Early Succesion War,Clan Sea Fox
1,3152,Talon TLN-5V,,Talon,TLN-5V,35,1075,Inner Sphere,5899275,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2670,10,2571,https://i.ibb.co/d0LZ28G/talon-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,4,2,0,2,False,2,False,1,False,0,False,0,31,ENE,0,35,early-succession-war,c_sf,2807,2895,Early Succesion War,Clan Sea Fox
2,2473,Peregrine (Horned Owl) 2,,Peregrine (Horned Owl),2,35,1191,Clan,3629610,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/Wpj8r3z/peregrine-horned-owl-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"12""j",0,3,3,0,2,False,2,False,2,False,0,False,0,26,"CASE,IF2,LRM2/2/2",0,35,early-succession-war,c_sf,2856,2895,Early Succesion War,Clan Sea Fox
3,2861,Sentinel STN-3Lb,,Sentinel,STN-3Lb,40,1260,Inner Sphere,6323030,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2715,10,2571,https://i.ibb.co/fr8FY6w/sentinel-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"12""",0,4,2,0,3,False,2,False,2,False,0,False,0,26,,0,40,early-succession-war,c_sf,2807,2895,Early Succesion War,Clan Sea Fox
4,1310,Griffin IIC  ,,Griffin IIC, ,40,1608,Clan,4255510,Standard,539,RGv1,472,RG14,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2852,11,2781,https://i.ibb.co/DV7SW6C/griffin-iic-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,2,"12""j",0,4,3,0,3,False,3,False,2,False,0,False,0,31,"CASE,IF1,LRM1/1/1",0,40,early-succession-war,c_sf,2852,2895,Early Succesion War,Clan Sea Fox
5,1851,Kyudo KY2-D-02,,Kyudo,KY2-D-02,45,1286,Inner Sphere,4441858,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2625,10,2571,https://i.ibb.co/7CgKB7Q/kyudo-3075.png,True,True,1.0,BattleMech,Missile Boat,BM,2,"10""",0,5,4,0,2,False,3,False,3,False,0,False,0,34,"CASE,IF1",0,45,early-succession-war,c_sf,2807,2895,Early Succesion War,Clan Sea Fox
6,3295,Trebuchet TBT-3C,,Trebuchet,TBT-3C,50,1342,Inner Sphere,9853500,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2780,10,2571,https://i.ibb.co/7zxsmgX/trebuchet-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"12""",0,4,2,0,4,False,5,False,3,False,0,False,0,39,"CASE,IF2",0,50,early-succession-war,c_sf,2807,2895,Early Succesion War,Clan Sea Fox
7,4182,Fox CS-1,,Fox,CS-1,50,1574,Mixed,9652500,Experimental,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2824,11,2781,https://i.ibb.co/xHJKxWP/fox-battlemech.png,True,True,2.0,BattleMech,Missile Boat,BM,2,"12""",0,5,3,0,4,False,4,False,2,False,0,False,1,39,"CASE,IF2,LRM1/2/2",0,50,early-succession-war,c_sf,2824,2895,Early Succesion War,Clan Sea Fox
8,7609,Fox  ,,Fox, ,50,2091,Clan,10216500,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2835,11,2781,https://i.ibb.co/xHJKxWP/fox-battlemech.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"12""",0,6,3,0,4,False,4,False,3,False,0,False,1,43,"CASE,IF2,LRM1/1/2",0,50,early-succession-war,c_sf,2835,2895,Early Succesion War,Clan Sea Fox
9,878,Dervish DV-6M,,Dervish,DV-6M,55,1146,Inner Sphere,4989967,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2570,9,2005,https://i.ibb.co/12SMh4n/dervish-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,2,"10""j",0,4,5,0,2,False,2,False,2,False,0,False,1,30,IF1,0,55,early-succession-war,c_sf,2807,2895,Early Succesion War,Clan Sea Fox
