,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,early-succession-war,c_sr,2807,2900,Early Succesion War,Clan Snow Raven
1,4172,Firefly FFL-3A,,Firefly,FFL-3A,30,797,Inner Sphere,3692000,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2679,10,2571,https://i.ibb.co/Zdv8xTB/firefly-rg.png,False,True,2.0,BattleMech,Striker,BM,1,"10""/8""j",0,4,1,0,3,False,2,False,0,True,0,False,0,24,"CASE,IF0*,JMPW1,TAG",0,30,early-succession-war,c_sr,2807,2900,Early Succesion War,Clan Snow Raven
2,3961,Clint IIC (Original),,Clint IIC,(Original),40,0,Clan,0,Unknown,229,TR:3060,192,,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2830,11,2781,https://i.ibb.co/TLwZndc/clint-iic-3060.png,False,True,1.1,BattleMech,,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,40,early-succession-war,c_sr,2830,2900,Early Succesion War,Clan Snow Raven
3,2861,Sentinel STN-3Lb,,Sentinel,STN-3Lb,40,1260,Inner Sphere,6323030,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2715,10,2571,https://i.ibb.co/fr8FY6w/sentinel-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"12""",0,4,2,0,3,False,2,False,2,False,0,False,0,26,,0,40,early-succession-war,c_sr,2807,2900,Early Succesion War,Clan Snow Raven
4,652,Clint IIC  ,,Clint IIC, ,40,1395,Clan,7012880,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2842,11,2781,https://i.ibb.co/TLwZndc/clint-iic-3060.png,True,True,1.0,BattleMech,Striker,BM,2,"12""j",0,4,2,0,2,False,2,False,1,False,0,False,1,25,"CASE,FLK1/1/1",0,40,early-succession-war,c_sr,2842,2900,Early Succesion War,Clan Snow Raven
5,3585,Wolverine II WVR-7H,Wolverine,Wolverine II,WVR-7H,55,1301,Inner Sphere,5668557,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2770,10,2571,https://i.ibb.co/0MHxXf0/wolverine-ii-3075.png,True,True,1.0,BattleMech,Skirmisher,BM,2,"10""j",0,5,5,0,3,False,3,False,1,False,0,False,0,34,CASE,0,55,early-succession-war,c_sr,2807,2900,Early Succesion War,Clan Snow Raven
6,1168,Galahad GLH-2D,,Galahad,GLH-2D,60,1648,Inner Sphere,4585600,Standard,463,TR:J,534,RS:J,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2594,10,2571,https://i.ibb.co/6FZsygg/galahad-3075.png,True,True,1.0,BattleMech,Sniper,BM,3,"6""",0,7,5,0,3,False,3,False,3,False,0,False,0,35,,0,60,early-succession-war,c_sr,2807,2900,Early Succesion War,Clan Snow Raven
7,7639,Vision Quest 2,,Vision Quest,2,60,2556,Clan,12004080,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2868,11,2781,https://i.ibb.co/F6g02Vy/vision-quest.png,False,True,2.0,BattleMech,Sniper,BM,3,"10""",0,6,3,0,5,False,5,False,4,False,0,False,1,46,CASE,0,60,early-succession-war,c_sr,2868,2900,Early Succesion War,Clan Snow Raven
8,1005,Exterminator EXT-4Db,,Exterminator,EXT-4Db,65,1694,Inner Sphere,16111673,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2718,10,2571,https://i.ibb.co/Jjc3HSm/exterminator-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"12""j",0,7,3,0,3,False,3,False,1,False,0,False,1,38,ENE,0,65,early-succession-war,c_sr,2807,2900,Early Succesion War,Clan Snow Raven
9,2710,Rifleman IIC  ,,Rifleman IIC, ,65,2307,Clan,5741588,Standard,539,RGv1,493,RG23,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2845,11,2781,https://i.ibb.co/tQdZj1b/rifleman-iic-rg.png,False,True,1.0,BattleMech,Sniper,BM,3,"6""j",0,7,5,0,5,False,5,False,5,False,0,False,0,47,"ENE,PRB,RCN",0,65,early-succession-war,c_sr,2845,2900,Early Succesion War,Clan Snow Raven
10,1338,Guillotine GLT-3N,,Guillotine,GLT-3N,70,1418,Inner Sphere,6300483,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2499,9,2005,https://i.ibb.co/wWmYrPg/guillotine-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,3,"8""j",0,6,6,0,4,False,4,False,0,False,0,False,0,35,CASE,0,70,early-succession-war,c_sr,2807,2900,Early Succesion War,Clan Snow Raven
11,9236,Spirit Walker A,,Spirit Walker,A,75,1990,Clan,0,Standard,507,TP:Foster,507,TP:Foster,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Fg8KWrd/black-knight-rg.png,False,True,1.0,BattleMech,Brawler,bm,3,"8""",0,6,6,0,6,False,6,False,2,False,0,False,0,46,"CASE,PRB,RCN,OMNI",0,75,early-succession-war,c_sr,2866,2900,Early Succesion War,Clan Snow Raven
12,9237,Spirit Walker Prime,,Spirit Walker,Prime,75,2115,Clan,0,Standard,507,TP:Foster,507,TP:Foster,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Fg8KWrd/black-knight-rg.png,False,True,1.0,BattleMech,Sniper,bm,3,"8""",0,6,6,0,4,False,4,False,2,False,0,False,4,43,"ENE,OVL,PRB,RCN,OMNI",0,75,early-succession-war,c_sr,2866,2900,Early Succesion War,Clan Snow Raven
13,2511,Phoenix Hawk IIC  ,,Phoenix Hawk IIC, ,80,2057,Clan,21629940,Standard,539,RGv1,473,RG15,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2851,11,2781,https://i.ibb.co/XxmWRYb/phoenix-hawk-iic-rg.png,True,True,1.0,BattleMech,Sniper,BM,4,"10""j",0,7,4,0,4,False,3,False,3,False,0,False,0,41,CASE,0,80,early-succession-war,c_sr,2851,2900,Early Succesion War,Clan Snow Raven
14,2512,Phoenix Hawk IIC 2,,Phoenix Hawk IIC,2,80,2892,Clan,22525440,Standard,539,RGv1,473,RG15,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2852,11,2781,https://i.ibb.co/XxmWRYb/phoenix-hawk-iic-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,4,"10""j",0,6,4,0,4,False,4,False,4,False,0,False,1,48,"CASE,IF4,LRM4/4/4,OVL",0,80,early-succession-war,c_sr,2852,2900,Early Succesion War,Clan Snow Raven
15,1936,Longbow LGB-7Q,,Longbow,LGB-7Q,85,1618,Inner Sphere,7408325,Introductory,240,TR:3058U,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2610,10,2571,https://i.ibb.co/x6pd5tC/longbow-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,4,"6""",0,8,7,0,3,False,4,False,3,False,0,False,0,45,"IF3,LRM2/3/3",0,85,early-succession-war,c_sr,2807,2900,Early Succesion War,Clan Snow Raven
16,2590,Pulverizer PUL-2V,,Pulverizer,PUL-2V,90,2065,Mixed,10446960,Experimental,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2823,11,2781,https://i.ibb.co/SPDSbGw/pulverizer-gc.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,9,7,0,3,False,4,False,2,False,0,False,0,47,"CASE,ECM,IF1",0,90,early-succession-war,c_sr,2823,2900,Early Succesion War,Clan Snow Raven
17,7647,Pulverizer PUL-3R,,Pulverizer,PUL-3R,90,2068,Mixed,10443160,Experimental,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2823,11,2781,https://i.ibb.co/SPDSbGw/pulverizer-gc.png,True,True,1.0,BattleMech,Brawler,BM,4,"8""",0,9,7,0,4,False,4,False,2,False,0,False,0,48,"CASE,ECM,IF1",0,90,early-succession-war,c_sr,2823,2900,Early Succesion War,Clan Snow Raven
18,1779,Kingfisher A,,Kingfisher,A,90,2261,Clan,13494156,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2887,11,2781,https://i.ibb.co/wW1qwXX/kingfisher-rg.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,9,7,0,5,False,5,False,3,False,0,False,0,49,"CASE,FLK1/1/1,OMNI",0,90,early-succession-war,c_sr,2887,2900,Early Succesion War,Clan Snow Raven
19,1782,Kingfisher D,,Kingfisher,D,90,2364,Clan,13265563,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2887,11,2781,https://i.ibb.co/wW1qwXX/kingfisher-rg.png,False,True,1.0,BattleMech,Sniper,BM,4,"8""",0,9,7,0,4,False,4,False,4,False,0,False,1,48,"CASE,OMNI,OVL",0,90,early-succession-war,c_sr,2887,2900,Early Succesion War,Clan Snow Raven
20,1786,Kingfisher Prime,,Kingfisher,Prime,90,2401,Clan,13017969,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2887,11,2781,https://i.ibb.co/wW1qwXX/kingfisher-rg.png,True,True,1.0,BattleMech,Brawler,BM,4,"8""",0,9,7,0,6,False,6,False,3,False,0,False,1,54,"CASE,IF1,OMNI",0,90,early-succession-war,c_sr,2887,2900,Early Succesion War,Clan Snow Raven
21,1780,Kingfisher B,,Kingfisher,B,90,2472,Clan,13881281,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2887,11,2781,https://i.ibb.co/wW1qwXX/kingfisher-rg.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,9,7,0,5,False,5,False,1,False,0,False,2,49,"AMS,CASE,OMNI",0,90,early-succession-war,c_sr,2887,2900,Early Succesion War,Clan Snow Raven
22,7648,Pulverizer  ,,Pulverizer, ,90,2506,Clan,10747160,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2845,11,2781,https://i.ibb.co/SPDSbGw/pulverizer-gc.png,False,True,1.0,BattleMech,Sniper,BM,4,"8""",0,9,7,0,5,False,5,False,5,False,0,False,0,54,"CASE,ECM,IF1",0,90,early-succession-war,c_sr,2845,2900,Early Succesion War,Clan Snow Raven
23,1781,Kingfisher C,,Kingfisher,C,90,2644,Clan,13193125,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2887,11,2781,https://i.ibb.co/wW1qwXX/kingfisher-rg.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,9,7,0,6,False,6,False,3,False,0,False,0,52,"ENE,OMNI",0,90,early-succession-war,c_sr,2887,2900,Early Succesion War,Clan Snow Raven
24,1524,Highlander IIC  ,,Highlander IIC, ,90,2979,Clan,10091280,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2858,11,2781,https://i.ibb.co/0mkW74B/highlander-iic.png,True,True,1.0,BattleMech,Missile Boat,BM,4,"6""j",0,9,7,0,7,False,7,False,4,False,0,False,1,58,"CASE,IF1",0,90,early-succession-war,c_sr,2858,2900,Early Succesion War,Clan Snow Raven
25,1841,Kraken (Bane)  ,,Kraken (Bane), ,100,1950,Clan,22509000,Standard,539,RGv1,475,RG17,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2827,11,2781,https://i.ibb.co/JFDSp3T/kraken-bane-rg.png,False,True,1.0,BattleMech,Sniper,BM,4,"6""",0,10,5,0,3,False,3,False,3,False,0,False,0,42,CASE,0,100,early-succession-war,c_sr,2827,2900,Early Succesion War,Clan Snow Raven
0,7568,Baboon (Howler) 4,,Baboon (Howler),4,20,506,Clan,1929440,Standard,539,RGv1,438,RG08,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2877,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""j",0,2,2,0,0,True,0,True,0,True,0,False,0,17,"CASE,IF0*",0,20,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
1,189,Baboon (Howler)  ,,Baboon (Howler), ,20,645,Clan,1826240,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2871,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,2,0,1,False,1,False,1,False,0,False,0,20,"CASE,IF1",0,20,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
2,3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
3,8128,Stinger C 2,,Stinger,C 2,20,754,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2838,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,ENE,0,20,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
4,3347,Uller (Kit Fox) Prime,,Uller (Kit Fox),Prime,30,1085,Clan,5359088,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2890,11,2781,https://i.ibb.co/brWWLTp/uller-kit-fox-rg.png,True,True,1.0,BattleMech,Sniper,BM,1,"12""",0,3,2,0,3,False,3,False,2,False,0,False,0,26,"CASE,FLK0*/0*/0*,OMNI",0,30,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
5,3341,Uller (Kit Fox) B,,Uller (Kit Fox),B,30,1087,Clan,5315619,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2890,11,2781,https://i.ibb.co/brWWLTp/uller-kit-fox-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,3,2,0,4,False,4,False,2,False,0,False,0,30,"CASE,OMNI",0,30,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
6,3343,Uller (Kit Fox) D,,Uller (Kit Fox),D,30,1142,Clan,5799300,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2890,11,2781,https://i.ibb.co/brWWLTp/uller-kit-fox-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"12""",0,3,2,0,3,False,3,False,3,False,0,False,0,30,"CASE,IF2,LRM2/2/2,OMNI,SNARC",0,30,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
7,3340,Uller (Kit Fox) A,,Uller (Kit Fox),A,30,1310,Clan,5165713,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2890,11,2781,https://i.ibb.co/brWWLTp/uller-kit-fox-rg.png,False,True,1.0,BattleMech,Sniper,BM,1,"12""",0,3,2,0,3,False,3,False,2,False,0,False,0,26,"CASE,OMNI",0,30,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
8,7571,Devil  ,,Devil, ,30,1691,Clan,5502640,Standard,438,RG08,438,RG08,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2911,255,2901,https://i.ibb.co/p4nVJnh/devil-rg.png,True,True,1.0,BattleMech,Sniper,BM,1,"20""",0,3,2,0,2,False,2,False,2,False,0,False,0,33,ENE,0,30,late-succession-war-lostech,c_sr,2911,3019,Late Succession War - Lostech,Clan Snow Raven
9,2861,Sentinel STN-3Lb,,Sentinel,STN-3Lb,40,1260,Inner Sphere,6323030,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2715,10,2571,https://i.ibb.co/fr8FY6w/sentinel-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"12""",0,4,2,0,3,False,2,False,2,False,0,False,0,26,,0,40,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
10,700,Corvis  ,,Corvis, ,40,1336,Clan,3373813,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2845,11,2781,https://i.ibb.co/qg3xMBB/corvis-3060.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""j",0,4,3,0,4,False,4,False,2,False,0,False,0,29,CASE,0,40,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
11,652,Clint IIC  ,,Clint IIC, ,40,1395,Clan,7012880,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2842,11,2781,https://i.ibb.co/TLwZndc/clint-iic-3060.png,True,True,1.0,BattleMech,Striker,BM,2,"12""j",0,4,2,0,2,False,2,False,1,False,0,False,1,25,"CASE,FLK1/1/1",0,40,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
12,261,Battle Cobra A,,Battle Cobra,A,40,1466,Clan,4515000,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2873,11,2781,https://i.ibb.co/7jxXnQV/battle-cobra-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"12""",0,4,3,0,4,False,4,False,0,False,0,False,2,33,"ENE,OMNI",0,40,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
13,273,Battle Cobra Prime,,Battle Cobra,Prime,40,1487,Clan,4595500,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2873,11,2781,https://i.ibb.co/7jxXnQV/battle-cobra-rg.png,True,True,1.0,BattleMech,Sniper,BM,2,"12""",0,4,3,0,3,False,3,False,3,False,0,False,0,31,"ENE,OMNI",0,40,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
14,262,Battle Cobra B,,Battle Cobra,B,40,1892,Clan,5026000,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2873,11,2781,https://i.ibb.co/7jxXnQV/battle-cobra-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"12""",0,4,3,0,3,False,3,False,3,False,0,False,1,32,"ENE,OMNI",0,40,late-succession-war-lostech,c_sr,2901,3019,Late Succession War - Lostech,Clan Snow Raven
15,7612,Omni-Corvis B,,Omni-Corvis,B,50,1640,Clan,6982188,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2921,255,2901,https://i.ibb.co/qg3xMBB/corvis-3060.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"10""",0,5,4,0,3,False,3,False,3,False,0,False,0,37,"CASE,IF2,LRM2/2/2,OMNI,SNARC",0,50,late-succession-war-lostech,c_sr,2921,3019,Late Succession War - Lostech,Clan Snow Raven
