,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,4923,Rising Star RST-4R,,Rising Star,RST-4R,0,0,Inner Sphere,0,Unknown,463,TR:J,192,,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2692,10,2571,https://i.ibb.co/5TGJ8px/mul-blank.png,False,True,1.2,BattleMech,,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,,star-league,ext,2692,2780,Star League,Extinct
1,7407,Trooper TP-1R,,Trooper,TP-1R,20,236,Primitive,1439800,Advanced,380,XTR:Primitives V,380,XTR:Primitives V,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2475,9,2005,https://i.ibb.co/WWgfvK7/trooper-xtr.png,True,True,1.0,BattleMech,Scout,BM,1,"12""",0,1,2,0,1,False,0,False,0,False,0,False,0,8,,0,20.0,star-league,ext,2571,2780,Star League,Extinct
2,3519,Wasp WSP-1,,Wasp,WSP-1,20,314,Primitive,1172520,Experimental,276,XTR:Primitives II,276,XTR:Primitives II,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2464,9,2005,https://i.ibb.co/ZXVpwd6/wasp-prim.png,True,True,1.0,BattleMech,Scout,BM,1,"10""j",0,1,2,0,1,False,1,False,0,False,0,False,0,11,ENE,0,20.0,star-league,ext,2571,2780,Star League,Extinct
3,4168,Firebee WAM-A,,Firebee,WAM-A,30,0,Primitive,0,Unknown,363,XTR:Primitives III,192,,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2472,9,2005,https://i.ibb.co/KGHy6Tb/firebee-pc.png,False,True,1.3,BattleMech,,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,30.0,star-league,ext,2571,2780,Star League,Extinct
4,1078,Firebee FRB-1E (WAM-B),,Firebee,FRB-1E (WAM-B),35,514,Primitive,2309985,Advanced,363,XTR:Primitives III,363,XTR:Primitives III,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2483,9,2005,https://i.ibb.co/KGHy6Tb/firebee-pc.png,True,True,1.0,BattleMech,Brawler,BM,1,"10""",0,2,3,0,1,False,1,False,0,True,0,False,0,15,IF0*,0,35.0,star-league,ext,2571,2780,Star League,Extinct
5,3276,Toro TR-A-1,,Toro,TR-A-1,35,671,Primitive,2211255,Advanced,379,XTR:Primitives IV,379,XTR:Primitives IV,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2481,9,2005,https://i.ibb.co/VvFrYJS/toro-3075.png,True,True,1.0,BattleMech,Brawler,BM,1,"8""",0,4,3,0,2,False,2,False,0,False,0,False,0,20,,0,35.0,star-league,ext,2571,2780,Star League,Extinct
6,7181,Swordsman SWD-1,,Swordsman,SWD-1,40,692,Primitive,2489993,Advanced,379,XTR:Primitives IV,379,XTR:Primitives IV,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2463,9,2005,https://i.ibb.co/8rCYrTS/swordsman-prim.png,True,True,1.0,BattleMech,Sniper,BM,2,"6""",0,4,3,0,2,False,2,False,1,False,0,False,0,21,IF0*,0,40.0,star-league,ext,2571,2780,Star League,Extinct
7,1599,Icarus ICR-1X,,Icarus,ICR-1X,40,700,Primitive,2535330,Advanced,276,XTR:Primitives II,276,XTR:Primitives II,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2470,9,2005,https://i.ibb.co/crGmZpC/icarus-ii-pc.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""",0,4,3,0,2,False,2,False,0,False,0,False,0,20,,0,40.0,star-league,ext,2571,2780,Star League,Extinct
8,5618,Eisenfaust EFT-2,,Eisenfaust,EFT-2,45,715,Primitive,2270990,Advanced,363,XTR:Primitives III,363,XTR:Primitives III,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2471,9,2005,https://i.ibb.co/JdGGR2D/eisenfaust-prim.png,True,True,1.0,BattleMech,Juggernaut,BM,2,"4""",0,4,4,0,2,False,2,False,0,False,0,False,1,16,,0,45.0,star-league,ext,2571,2780,Star League,Extinct
9,944,Eisenfaust EFT-4J,,Eisenfaust,EFT-4J,45,977,Inner Sphere,2896520,Introductory,463,TR:J,534,RS:J,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2515,9,2005,https://i.ibb.co/C1XrP3c/eisenfaust-3085.png,False,True,1.0,BattleMech,Juggernaut,BM,2,"6""",0,5,4,0,2,False,2,False,0,False,0,False,1,24,,0,45.0,star-league,ext,2571,2780,Star League,Extinct
