,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,7602,Phoenix Hawk PXH-1bC,,Phoenix Hawk,PXH-1bC,45,1174,Inner Sphere,8447265,Standard,444,BoT,444,BoT,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,True,True,1.0,BattleMech,Skirmisher,BM,2,"12""j",0,4,2,0,2,False,2,False,1,False,0,False,0,27,"CASE,ECM,SNARC",0,45,jihad,fwl_msc,3082,3080,Jihad,Free Worlds League (Marik-Stewart Commonwealth)
1,3295,Trebuchet TBT-3C,,Trebuchet,TBT-3C,50,1342,Inner Sphere,9853500,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2780,10,2571,https://i.ibb.co/7zxsmgX/trebuchet-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"12""",0,4,2,0,4,False,5,False,3,False,0,False,0,39,"CASE,IF2",0,50,jihad,fwl_msc,3082,3080,Jihad,Free Worlds League (Marik-Stewart Commonwealth)
2,5492,Guillotine GLT-6WB3,,Guillotine,GLT-6WB3,70,1741,Inner Sphere,9249983,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/4jf2wfz/era05-jihad.png,3080,14,3068,https://i.ibb.co/wWmYrPg/guillotine-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""j",0,7,6,0,2,False,3,False,3,False,0,False,2,44,"C3S,ECM,IF1,MHQ1",0,70,jihad,fwl_msc,3082,3080,Jihad,Free Worlds League (Marik-Stewart Commonwealth)
0,3528,Wasp WSP-3M,,Wasp,WSP-3M,20,394,Inner Sphere,1783440,Standard,539,RGv1,432,RG04,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,1,2,0,1,False,1,False,0,False,0,False,0,12,CASE,0,20,early-republic,fwl_msc,3082,3100,Early Republic,Free Worlds League (Marik-Stewart Commonwealth)
1,3063,Stinger STG-5M,,Stinger,STG-5M,20,432,Inner Sphere,1768440,Standard,539,RGv1,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3050,13,3050,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,15,AMS,0,20,early-republic,fwl_msc,3082,3100,Early Republic,Free Worlds League (Marik-Stewart Commonwealth)
2,8126,Stinger STG-6M,,Stinger,STG-6M,20,503,Inner Sphere,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3097,15,3081,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,15,"AMS, ENE",0,20,early-republic,fwl_msc,3097,3100,Early Republic,Free Worlds League (Marik-Stewart Commonwealth)
3,1903,Locust LCT-1Vb,,Locust,LCT-1Vb,20,642,Inner Sphere,2598400,Standard,539,RGv1,474,RG16,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2610,10,2571,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,3,False,2,False,0,False,0,False,0,23,ENE,0,20,early-republic,fwl_msc,3082,3100,Early Republic,Free Worlds League (Marik-Stewart Commonwealth)
4,3059,Stinger STG-3Gb,,Stinger,STG-3Gb,20,674,Inner Sphere,2596940,Standard,539,RGv1,471,RG13,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2720,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,1,0,2,False,2,False,0,False,0,False,0,22,ENE,0,20,early-republic,fwl_msc,3082,3100,Early Republic,Free Worlds League (Marik-Stewart Commonwealth)
5,6947,Locust LCT-5M2,,Locust,LCT-5M2,20,693,Inner Sphere,3328000,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3087,15,3081,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,2,False,2,False,0,False,0,False,0,25,ENE,0,20,early-republic,fwl_msc,3087,3100,Early Republic,Free Worlds League (Marik-Stewart Commonwealth)
6,1908,Locust LCT-5M,,Locust,LCT-5M,20,719,Inner Sphere,3318000,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3066,247,3062,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,True,True,1.0,BattleMech,Striker,BM,1,"24""",0,2,1,0,2,False,2,False,0,False,0,False,0,26,ENE,0,20,early-republic,fwl_msc,3082,3100,Early Republic,Free Worlds League (Marik-Stewart Commonwealth)
