,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
1,3295,Trebuchet TBT-3C,,Trebuchet,TBT-3C,50,1342,Inner Sphere,9853500,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2780,10,2571,https://i.ibb.co/7zxsmgX/trebuchet-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"12""",0,4,2,0,4,False,5,False,3,False,0,False,0,39,"CASE,IF2",0,50,jihad,fwl_rf,3086,3080,Jihad,Free Worlds League (Regulean Fiefs)
2,5604,"Grand Titan T-IT-N14R ""Vengeance""",,Grand Titan,"T-IT-N14R ""Vengeance""",100,2237,Mixed,0,Experimental,362,XTR:Phantoms,362,XTR:Phantoms,https://i.ibb.co/4jf2wfz/era05-jihad.png,3075,14,3068,https://i.ibb.co/pX2d3y7/grand-titan-xtr.png,True,True,1.0,BattleMech,Missile Boat,BM,4,"4""j",0,18,8,0,2,False,2,False,0,False,0,False,0,60,"ARM,ARTT-1,CASEII,CR,",0,100,jihad,fwl_rf,3086,3080,Jihad,Free Worlds League (Regulean Fiefs)
0,1138,Flea FLE-19,,Flea,FLE-19,20,381,Inner Sphere,1483500,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,1,False,0,True,0,False,0,15,,0,20,early-republic,fwl_rf,3086,3100,Early Republic,Free Worlds League (Regulean Fiefs)
1,3528,Wasp WSP-3M,,Wasp,WSP-3M,20,394,Inner Sphere,1783440,Standard,539,RGv1,432,RG04,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,1,2,0,1,False,1,False,0,False,0,False,0,12,CASE,0,20,early-republic,fwl_rf,3086,3100,Early Republic,Free Worlds League (Regulean Fiefs)
2,3063,Stinger STG-5M,,Stinger,STG-5M,20,432,Inner Sphere,1768440,Standard,539,RGv1,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3050,13,3050,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,15,AMS,0,20,early-republic,fwl_rf,3086,3100,Early Republic,Free Worlds League (Regulean Fiefs)
3,1137,Flea FLE-17,,Flea,FLE-17,20,510,Inner Sphere,1728000,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,"ENE,REAR1/-/-",0,20,early-republic,fwl_rf,3086,3100,Early Republic,Free Worlds League (Regulean Fiefs)
4,1903,Locust LCT-1Vb,,Locust,LCT-1Vb,20,642,Inner Sphere,2598400,Standard,539,RGv1,474,RG16,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2610,10,2571,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,3,False,2,False,0,False,0,False,0,23,ENE,0,20,early-republic,fwl_rf,3086,3100,Early Republic,Free Worlds League (Regulean Fiefs)
5,1908,Locust LCT-5M,,Locust,LCT-5M,20,719,Inner Sphere,3318000,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3066,247,3062,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,True,True,1.0,BattleMech,Striker,BM,1,"24""",0,2,1,0,2,False,2,False,0,False,0,False,0,26,ENE,0,20,early-republic,fwl_rf,3086,3100,Early Republic,Free Worlds League (Regulean Fiefs)
6,3160,Tarantula ZPH-1,,Tarantula,ZPH-1,25,666,Inner Sphere,3560417,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3054,13,3050,https://i.ibb.co/T1SqYSL/tarantula-3055u.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,1,0,2,False,2,False,0,False,0,False,0,22,,0,25,early-republic,fwl_rf,3086,3100,Early Republic,Free Worlds League (Regulean Fiefs)
7,3161,Tarantula ZPH-2A,,Tarantula,ZPH-2A,25,744,Inner Sphere,3727917,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/T1SqYSL/tarantula-3055u.png,False,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,1,0,2,False,2,False,0,False,0,False,0,22,,0,25,early-republic,fwl_rf,3086,3100,Early Republic,Free Worlds League (Regulean Fiefs)
