,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,3191,Thorn THE-N,,Thorn,THE-N,20,546,Inner Sphere,1653120,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2549,9,2005,https://i.ibb.co/8Mq68tW/thorn-3050u.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,"CASE,IF0*",0,20,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
1,2172,Mercury MCY-99,,Mercury,MCY-99,20,586,Inner Sphere,1796440,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2742,10,2571,https://i.ibb.co/SdyFM0N/mercury-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"20""",0,2,2,0,2,False,1,False,0,False,0,False,0,22,ENE,0,20,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
2,1903,Locust LCT-1Vb,,Locust,LCT-1Vb,20,642,Inner Sphere,2598400,Standard,539,RGv1,474,RG16,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2610,10,2571,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,3,False,2,False,0,False,0,False,0,23,ENE,0,20,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
3,3059,Stinger STG-3Gb,,Stinger,STG-3Gb,20,674,Inner Sphere,2596940,Standard,539,RGv1,471,RG13,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2720,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,1,0,2,False,2,False,0,False,0,False,0,22,ENE,0,20,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
4,2208,Mongoose MON-66,,Mongoose,MON-66,25,758,Inner Sphere,2229479,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2660,10,2571,https://i.ibb.co/WvKsqBs/mongoose-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,3,2,0,2,False,2,False,0,False,0,False,0,30,"ENE,PRB,RCN",0,25,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
5,2209,Mongoose MON-66b,,Mongoose,MON-66b,25,934,Inner Sphere,3754479,Standard,189,TR:3075,228,RS:3075u-AW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2740,10,2571,https://i.ibb.co/WvKsqBs/mongoose-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,3,False,2,False,1,False,0,False,0,30,"ENE,PRB,RCN",0,25,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
6,1914,Locust IIC  ,,Locust IIC, ,25,1100,Clan,2044792,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,5,False,5,False,0,False,0,False,0,42,ENE,0,25,early-succession-war,hw_clan,2832,2900,Early Succesion War,HW Clan General
7,1585,Hussar HSR-200-D,,Hussar,HSR-200-D,30,636,Inner Sphere,2790840,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2620,10,2571,https://i.ibb.co/nQjTYDT/hussar-3050u.png,True,True,1.0,BattleMech,Scout,BM,1,"18""",0,1,3,0,1,False,1,False,1,False,0,False,0,18,ENE,0,30,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
8,1487,Hermes HER-1S,,Hermes,HER-1S,30,716,Inner Sphere,2701270,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2632,10,2571,https://i.ibb.co/QYqFYmz/hermes-3050u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,3,3,0,2,False,1,False,0,False,0,False,0,25,ENE,0,30,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
9,3361,UrbanMech IIC  ,,UrbanMech IIC, ,30,798,Clan,1830725,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2849,11,2781,https://i.ibb.co/0MdxDm2/urbanmech-iic-3060.png,True,True,1.0,BattleMech,Sniper,BM,1,"6""j",0,3,3,0,2,False,2,False,2,False,0,False,0,20,CASE,0,30,early-succession-war,hw_clan,2849,2900,Early Succesion War,HW Clan General
10,1086,Firefly FFL-3SLE,,Firefly,FFL-3SLE,30,876,Inner Sphere,3887000,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2790,11,2781,https://i.ibb.co/Zdv8xTB/firefly-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"10""/8""j",0,4,1,0,3,False,2,False,0,True,0,False,0,25,"CASE,ECM,IF0*,JMPW1",0,30,early-succession-war,hw_clan,2790,2900,Early Succesion War,HW Clan General
11,1586,Hussar HSR-200-Db,,Hussar,HSR-200-Db,30,934,Inner Sphere,5520840,Standard,189,TR:3075,228,RS:3075u-AW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2735,10,2571,https://i.ibb.co/nQjTYDT/hussar-3050u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,3,1,0,1,False,1,False,1,False,0,False,0,26,"ECM,ENE,PRB,RCN",0,30,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
12,1488,Hermes HER-1Sb,,Hermes,HER-1Sb,30,1112,Inner Sphere,5995015,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2740,10,2571,https://i.ibb.co/QYqFYmz/hermes-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"22""",0,4,1,0,3,False,2,False,0,False,0,False,0,37,"ENE,PRB,RCN",0,30,early-succession-war,hw_clan,2781,2900,Early Succesion War,HW Clan General
