,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,3061,Stinger STG-3R,,Stinger,STG-3R,20,359,Inner Sphere,1615440,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2479,9,2005,https://i.ibb.co/0KwFP6Y/stinger-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
1,3520,Wasp WSP-1A,,Wasp,WSP-1A,20,384,Inner Sphere,1646640,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2471,9,2005,https://i.ibb.co/0XxvcQF/wasp-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
2,1901,Locust LCT-1V,,Locust,LCT-1V,20,432,Inner Sphere,1512400,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2499,9,2005,https://i.ibb.co/J2R4dnD/locust-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,18,,0,20,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
3,1907,Locust LCT-3V,,Locust,LCT-3V,20,490,Inner Sphere,1553800,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3004,255,2901,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,2,False,1,False,0,False,0,False,0,19,,0,20,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
4,3058,Stinger STG-3G,,Stinger,STG-3G,20,497,Inner Sphere,1662240,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2581,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,ENE,0,20,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
5,670,Commando COM-2D,,Commando,COM-2D,25,541,Inner Sphere,1891250,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2486,9,2005,https://i.ibb.co/tcxdcYf/commando-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,SRM1/1,0,25,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
6,3354,UrbanMech UM-R60,,UrbanMech,UM-R60,30,504,Inner Sphere,1471925,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2675,10,2571,https://i.ibb.co/yPv4pnB/urbanmech-rg.png,True,True,1.0,BattleMech,Ambusher,BM,1,"4""j",0,3,3,0,2,False,1,False,0,False,0,False,0,11,AC1/1/-,0,30,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
7,1675,Javelin JVN-10N,,Javelin,JVN-10N,30,594,Inner Sphere,2400840,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2751,10,2571,https://i.ibb.co/VLykXhJ/javelin-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,2,3,0,2,False,2,False,0,False,0,False,0,19,SRM2/2,0,30,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
8,3010,Spider SDR-5V,,Spider,SDR-5V,30,622,Inner Sphere,2984540,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2650,10,2571,https://i.ibb.co/w7RvDYD/spider-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,3,0,1,False,1,False,0,False,0,False,0,21,ENE,0,30,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
9,3378,Valkyrie VLK-QF,,Valkyrie,VLK-QF,30,653,Inner Sphere,2163070,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2967,255,2901,https://i.ibb.co/FYf5ZmT/valkyrie-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"10""j",0,3,3,0,1,False,1,False,1,False,0,False,0,19,IF1,0,30,late-succession-war-lostech,kh,3010,3019,Late Succession War - Lostech,Kell Hounds
