,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,1497,Hermes II HER-2S,,Hermes II,HER-2S,40,784,Inner Sphere,3165680,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2798,11,2781,https://i.ibb.co/GJLV05M/hermes-ii-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"12""",0,4,3,0,2,False,1,False,1,False,0,False,0,22,,0,40,late-succession-war-lostech,mh,2920,3019,Late Succession War - Lostech,Marian Hegemony
1,2335,Orion ON1-V,,Orion,ON1-V,75,1298,Inner Sphere,6774250,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2799,11,2781,https://i.ibb.co/qmFjQFg/orion-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,6,6,0,3,False,3,False,1,False,0,False,2,35,IF1,0,75,late-succession-war-lostech,mh,2920,3019,Late Succession War - Lostech,Marian Hegemony
0,1497,Hermes II HER-2S,,Hermes II,HER-2S,40,784,Inner Sphere,3165680,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2798,11,2781,https://i.ibb.co/GJLV05M/hermes-ii-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"12""",0,4,3,0,2,False,1,False,1,False,0,False,0,22,,0,40,late-succession-war-renaissance,mh,3020,3049,Late Succession War - Renaissance,Marian Hegemony
1,2335,Orion ON1-V,,Orion,ON1-V,75,1298,Inner Sphere,6774250,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2799,11,2781,https://i.ibb.co/qmFjQFg/orion-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,6,6,0,3,False,3,False,1,False,0,False,2,35,IF1,0,75,late-succession-war-renaissance,mh,3020,3049,Late Succession War - Renaissance,Marian Hegemony
0,3528,Wasp WSP-3M,,Wasp,WSP-3M,20,394,Inner Sphere,1783440,Standard,539,RGv1,432,RG04,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,1,2,0,1,False,1,False,0,False,0,False,0,12,CASE,0,20,clan-invasion,mh,3051,3061,Clan Invasion,Marian Hegemony
1,3015,Spider SDR-7M,,Spider,SDR-7M,30,621,Inner Sphere,3115840,Standard,231,TR:3050U,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/w7RvDYD/spider-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"16""j",0,2,3,0,2,False,2,False,0,False,0,False,0,26,ENE,0,30,clan-invasion,mh,3051,3061,Clan Invasion,Marian Hegemony
2,1653,Jackal JA-KL-1532,,Jackal,JA-KL-1532,30,918,Inner Sphere,4635540,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/9rLVbFh/jackal-3055u.png,True,True,1.0,BattleMech,Striker,BM,1,"14""",0,3,1,0,1,False,1,False,1,False,0,False,1,23,AMS,0,30,clan-invasion,mh,3052,3061,Clan Invasion,Marian Hegemony
3,128,Assassin ASN-23,,Assassin,ASN-23,40,740,Inner Sphere,3924013,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3050,13,3050,https://i.ibb.co/Vt52ZRM/assassin-rg.png,True,True,1.0,BattleMech,Striker,BM,2,"14""j",0,2,3,0,1,False,2,False,0,True,0,False,0,26,IF0*,0,40,clan-invasion,mh,3050,3061,Clan Invasion,Marian Hegemony
4,1497,Hermes II HER-2S,,Hermes II,HER-2S,40,784,Inner Sphere,3165680,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2798,11,2781,https://i.ibb.co/GJLV05M/hermes-ii-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"12""",0,4,3,0,2,False,1,False,1,False,0,False,0,22,,0,40,clan-invasion,mh,3050,3061,Clan Invasion,Marian Hegemony
5,3300,Trebuchet TBT-7M,,Trebuchet,TBT-7M,50,1348,Inner Sphere,9006500,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/7zxsmgX/trebuchet-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,2,"10""j",0,4,2,0,3,False,3,False,2,False,0,False,0,31,"CASE,IF1,LRM1/1/1,SNARC",0,50,clan-invasion,mh,3050,3061,Clan Invasion,Marian Hegemony
6,2614,Quickdraw QKD-5M,,Quickdraw,QKD-5M,60,1237,Inner Sphere,5789760,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/DtdHPkZ/quickdraw-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,3,"10""j",0,5,5,0,2,False,2,False,1,False,0,False,0,31,"CASE,IF1,REAR1/1/-",0,60,clan-invasion,mh,3050,3061,Clan Invasion,Marian Hegemony
7,8191,Thunderbolt TDR-8M,,Thunderbolt,TDR-8M,65,1644,Inner Sphere,0,Standard,539,RGv1,473,RG15,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/YQRy8Kf/thunderbolt-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""j",0,7,5,0,3,False,4,False,2,False,0,False,0,38,"CASE,IF1",0,65,clan-invasion,mh,3058,3061,Clan Invasion,Marian Hegemony
8,2335,Orion ON1-V,,Orion,ON1-V,75,1298,Inner Sphere,6774250,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2799,11,2781,https://i.ibb.co/qmFjQFg/orion-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,6,6,0,3,False,3,False,1,False,0,False,2,35,IF1,0,75,clan-invasion,mh,3050,3061,Clan Invasion,Marian Hegemony
