,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,3061,Stinger STG-3R,,Stinger,STG-3R,20,359,Inner Sphere,1615440,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2479,9,2005,https://i.ibb.co/0KwFP6Y/stinger-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,star-league,pg,2571,2780,Star League,Periphery General
1,3520,Wasp WSP-1A,,Wasp,WSP-1A,20,384,Inner Sphere,1646640,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2471,9,2005,https://i.ibb.co/0XxvcQF/wasp-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,star-league,pg,2571,2780,Star League,Periphery General
2,1901,Locust LCT-1V,,Locust,LCT-1V,20,432,Inner Sphere,1512400,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2499,9,2005,https://i.ibb.co/J2R4dnD/locust-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,18,,0,20,star-league,pg,2571,2780,Star League,Periphery General
3,3058,Stinger STG-3G,,Stinger,STG-3G,20,497,Inner Sphere,1662240,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2581,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,ENE,0,20,star-league,pg,2581,2780,Star League,Periphery General
4,3191,Thorn THE-N,,Thorn,THE-N,20,546,Inner Sphere,1653120,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2549,9,2005,https://i.ibb.co/8Mq68tW/thorn-3050u.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,"CASE,IF0*",0,20,star-league,pg,2571,2780,Star League,Periphery General
5,1903,Locust LCT-1Vb,,Locust,LCT-1Vb,20,642,Inner Sphere,2598400,Standard,539,RGv1,474,RG16,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2610,10,2571,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,3,False,2,False,0,False,0,False,0,23,ENE,0,20,star-league,pg,2610,2780,Star League,Periphery General
6,3059,Stinger STG-3Gb,,Stinger,STG-3Gb,20,674,Inner Sphere,2596940,Standard,539,RGv1,471,RG13,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2720,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,1,0,2,False,2,False,0,False,0,False,0,22,ENE,0,20,star-league,pg,2720,2780,Star League,Periphery General
7,1022,Falcon FLC-4N,,Falcon,FLC-4N,30,610,Inner Sphere,2249390,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2582,10,2571,https://i.ibb.co/6Xrnn8p/falcon-3039.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,1,False,0,False,0,False,0,19,REAR0*/-/-,0,30,star-league,pg,2582,2780,Star League,Periphery General
8,2366,Ostscout OTT-7J,,Ostscout,OTT-7J,35,596,Inner Sphere,3416760,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2600,10,2571,https://i.ibb.co/30jR8z1/ostscout-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,3,0,1,False,1,False,0,False,0,False,0,21,ENE,0,35,star-league,pg,2600,2780,Star League,Periphery General
9,2367,Ostscout OTT-7Jb,,Ostscout,OTT-7Jb,35,610,Inner Sphere,3743460,Standard,189,TR:3075,228,RS:3075u-AW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2600,10,2571,https://i.ibb.co/30jR8z1/ostscout-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,3,0,1,False,1,False,0,False,0,False,0,24,"ENE,PRB,RCN",0,35,star-league,pg,2600,2780,Star League,Periphery General
10,1096,Firestarter FS9-H,,Firestarter,FS9-H,35,694,Inner Sphere,3046950,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2703,10,2571,https://i.ibb.co/vY5ch3G/firestarter-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,1,False,0,False,0,False,0,20,"HT1/-/-,REAR0*/-/-",0,35,star-league,pg,2703,2780,Star League,Periphery General
