,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,3068,Stinger STG-7S,,Stinger,STG-7S,20,382,Inner Sphere,4920240,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/1qRqj7y/stinger-6l-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"12""/16""j",0,2,1,0,1,False,1,False,0,False,0,False,0,16,"ENE,JMPS1",0,20,ilclan,tp,3151,3152,IlClan,Tamar Pact
1,8124,Stinger STG-6R,,Stinger,STG-6R,20,454,Inner Sphere,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3120,254,3101,https://i.ibb.co/0KwFP6Y/stinger-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,1,0,2,False,1,False,0,False,0,False,0,18,,0,20,ilclan,tp,3151,3152,IlClan,Tamar Pact
2,3067,Stinger STG-6S,,Stinger,STG-6S,20,478,Inner Sphere,4466940,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3069,14,3068,https://i.ibb.co/1qRqj7y/stinger-6l-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"18""/14""j",0,2,1,0,1,False,1,False,0,False,0,False,0,17,,0,20,ilclan,tp,3151,3152,IlClan,Tamar Pact
3,3529,Wasp WSP-3S,,Wasp,WSP-3S,20,595,Inner Sphere,4605120,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/KL0VYgZ/wasp-3s-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,1,0,1,False,1,False,0,False,0,False,0,15,"ECM,ENE,TAG",0,20,ilclan,tp,3151,3152,IlClan,Tamar Pact
4,8200,Locust LCT-7S,,Locust,LCT-7S,20,706,Mixed,0,Standard,539,RGv1,474,RG16,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3128,254,3101,https://i.ibb.co/J2R4dnD/locust-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"24""",0,2,1,0,2,False,1,False,0,False,0,False,0,21,CASE,0,20,ilclan,tp,3151,3152,IlClan,Tamar Pact
5,830,Dart DRT-6S,,Dart,DRT-6S,25,641,Inner Sphere,2292500,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/kyRc6fm/dart-3055u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,3,2,0,1,False,1,False,0,False,0,False,0,22,ENE,0,25,ilclan,tp,3151,3152,IlClan,Tamar Pact
6,831,Dart DRT-6T,,Dart,DRT-6T,25,703,Inner Sphere,3344063,Standard,436,TR:CI,257,RS:3085u-ONN,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/kyRc6fm/dart-3055u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,3,1,0,1,False,1,False,1,False,0,False,0,21,ENE,0,25,ilclan,tp,3151,3152,IlClan,Tamar Pact
7,7439,Commando COM-9S,,Commando,COM-9S,25,719,Inner Sphere,5728333,Standard,425,RG01,425,RG01,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3146,16,3131,https://i.ibb.co/tcxdcYf/commando-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,"CASEII,IF0*",0,25,ilclan,tp,3151,3152,IlClan,Tamar Pact
8,6945,Commando COM-8S,,Commando,COM-8S,25,775,Inner Sphere,6199583,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3108,254,3101,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,1,0,2,False,2,False,0,False,0,False,0,25,"C3BSS,CASEII,MHQ2",0,25,ilclan,tp,3151,3152,IlClan,Tamar Pact
9,9498,UrbanMech UM-R27,,UrbanMech,UM-R27,30,610,Inner Sphere,0,Advanced,231,TR:3050U,532,RSFP:Urbies,https://i.ibb.co/VjMGsZV/era07-ilclan.png,3151,257,3151,https://i.ibb.co/yPv4pnB/urbanmech-rg.png,False,True,1.0,BattleMech,Ambusher,BM,1,"4""j",0,3,3,0,3,False,3,False,0,False,0,False,0,15,"SRM2/2,CASE",0,30,ilclan,tp,3151,3152,IlClan,Tamar Pact
