,Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction,EraAvailabilityStart,EraAvailabilityEnd,Era Name,Faction Name
0,7601,Locust C,,Locust,C,20,672,Mixed,1550200,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,ENE,0,20,ilclan,we,3151,3152,IlClan,Wolf Empire
1,3059,Stinger STG-3Gb,,Stinger,STG-3Gb,20,674,Inner Sphere,2596940,Standard,539,RGv1,471,RG13,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2720,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,1,0,2,False,2,False,0,False,0,False,0,22,ENE,0,20,ilclan,we,3151,3152,IlClan,Wolf Empire
2,6947,Locust LCT-5M2,,Locust,LCT-5M2,20,693,Inner Sphere,3328000,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3087,15,3081,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,2,False,2,False,0,False,0,False,0,25,ENE,0,20,ilclan,we,3151,3152,IlClan,Wolf Empire
3,7496,Wasp C,,Wasp,C,20,755,Mixed,1998240,Standard,539,RGv1,432,RG04,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3143,16,3131,https://i.ibb.co/0XxvcQF/wasp-rg.png,True,True,1.0,BattleMech,Sniper,BM,1,"12""j",0,2,2,0,2,False,2,False,1,False,0,False,0,19,ENE,0,20,ilclan,we,3151,3152,IlClan,Wolf Empire
4,6948,Locust LCT-5M3,,Locust,LCT-5M3,20,929,Inner Sphere,2916000,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3088,15,3081,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,ilclan,we,3151,3152,IlClan,Wolf Empire
5,8122,Piranha 5,,Piranha,5,20,1132,Clan,0,Standard,471,RG13,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3140,16,3131,https://i.ibb.co/bdG1GbP/piranha-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"22""",0,2,1,0,5,False,3,False,0,False,0,False,0,33,CASE,0,20,ilclan,we,3151,3152,IlClan,Wolf Empire
6,1919,Locust IIC 6,,Locust IIC,6,25,776,Clan,2092917,Standard,199,TR:PP,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3075,14,3068,https://i.ibb.co/8zhQ7hD/locust-iic-3085.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,3,2,0,3,False,1,False,0,False,0,False,0,24,CASE,0,25,ilclan,we,3151,3152,IlClan,Wolf Empire
7,6500,Gambit GBT-1G,,Gambit,GBT-1G,25,777,Inner Sphere,3218750,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3136,16,3131,https://i.ibb.co/41xs7X1/gambit-3145.png,True,True,1.0,BattleMech,Striker,BM,1,"14""",0,3,1,0,2,False,2,False,2,False,0,False,0,27,"CASE,IF0*",0,25,ilclan,we,3151,3152,IlClan,Wolf Empire
8,1917,Locust IIC 4,,Locust IIC,4,25,795,Clan,2122292,Standard,199,TR:PP,266,RS:3085u-PP,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3064,247,3062,https://i.ibb.co/DbQBVFX/locust-iic-4.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,3,2,0,5,False,1,False,0,False,0,False,0,26,ENE,0,25,ilclan,we,3151,3152,IlClan,Wolf Empire
9,1918,Locust IIC 5,,Locust IIC,5,25,878,Clan,2394792,Standard,199,TR:PP,266,RS:3085u-PP,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/pvJG9wC/locust-iic-5.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,2,False,2,False,0,True,0,False,0,27,CASE,0,25,ilclan,we,3151,3152,IlClan,Wolf Empire
