Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
1075,Fireball ALM-7D,,Fireball,ALM-7D,20,385,Inner Sphere,3088240,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/p0KNM8N/fireball-3055u.png,True,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,1,False,0,True,0,False,0,False,0,17,,0,20,civil-war,fs
3521,Wasp WSP-1D,,Wasp,WSP-1D,20,403,Inner Sphere,1638240,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2823,11,2781,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,2,False,1,False,0,False,0,False,0,15,ENE,0,20,civil-war,fs
3524,Wasp WSP-1S,,Wasp,WSP-1S,20,423,Inner Sphere,1727040,Standard,539,RGv1,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,2,False,1,False,0,False,0,False,0,15,ENE,0,20,civil-war,fs
1904,Locust LCT-3D,,Locust,LCT-3D,20,436,Inner Sphere,1660000,Standard,539,RGv1,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"16""",0,1,2,0,0,True,1,False,1,False,0,False,0,16,"CASE,IF1",0,20,civil-war,fs
1546,Hornet HNT-152,,Hornet,HNT-152,20,475,Inner Sphere,1281100,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2997,255,2901,https://i.ibb.co/3vVxQSq/hornet-3039.png,False,True,1.0,BattleMech,Striker,BM,1,"10""j",0,2,2,0,2,False,2,False,0,False,0,False,0,17,,0,20,civil-war,fs
1545,Hornet HNT-151,,Hornet,HNT-151,20,488,Inner Sphere,1248700,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2760,10,2571,https://i.ibb.co/sFLhSFb/hornet-wdsb.png,True,True,1.0,BattleMech,Striker,BM,1,"10""j",0,2,2,0,1,False,1,False,0,True,0,False,0,14,IF0*,0,20,civil-war,fs
1077,Fireball ALM-9D,,Fireball,ALM-9D,20,527,Inner Sphere,3135040,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3054,13,3050,https://i.ibb.co/p0KNM8N/fireball-3055u.png,False,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,1,False,1,False,0,False,0,False,0,19,,0,20,civil-war,fs
1548,Hornet HNT-171,,Hornet,HNT-171,20,535,Inner Sphere,1441600,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/pvb1j2M/hornet-3050u.png,True,True,1.0,BattleMech,Striker,BM,1,"10""/6""j",0,2,2,0,1,False,1,False,0,True,0,False,0,15,"AMS,CASE,IF0*,JMPW1",0,20,civil-war,fs
1076,Fireball ALM-8D,,Fireball,ALM-8D,20,574,Inner Sphere,3107440,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3054,13,3050,https://i.ibb.co/p0KNM8N/fireball-3055u.png,False,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,2,False,1,False,0,False,0,False,0,20,,0,20,civil-war,fs
3529,Wasp WSP-3S,,Wasp,WSP-3S,20,595,Inner Sphere,4605120,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/KL0VYgZ/wasp-3s-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,1,0,1,False,1,False,0,False,0,False,0,15,"ECM,ENE,TAG",0,20,civil-war,fs
