Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
5769,Flea FLE-14,,Flea,FLE-14,15,270,Inner Sphere,1336875,Experimental,368,XTR:SW,368,XTR:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2519,9,2005,https://i.ibb.co/c6JXCzJ/flea-xtr.png,True,True,1.0,BattleMech,Scout,BM,1,"18""/8""j",0,1,1,0,1,False,1,False,0,False,0,False,0,14,"ENE,JMPW2",0,15,civil-war,fwl
3528,Wasp WSP-3M,,Wasp,WSP-3M,20,394,Inner Sphere,1783440,Standard,539,RGv1,432,RG04,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,1,2,0,1,False,1,False,0,False,0,False,0,12,CASE,0,20,civil-war,fwl
1136,Flea FLE-15,,Flea,FLE-15,20,430,Inner Sphere,1520400,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2523,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,2,2,0,2,False,1,False,0,False,0,False,0,14,REAR1/-/-,0,20,civil-war,fwl
2171,Mercury MCY-97,,Mercury,MCY-97,20,466,Inner Sphere,1974940,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/SdyFM0N/mercury-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"20""",0,2,2,0,1,False,1,False,0,False,0,False,0,24,"ENE,PRB,RCN",0,20,civil-war,fwl
1137,Flea FLE-17,,Flea,FLE-17,20,510,Inner Sphere,1728000,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,"ENE,REAR1/-/-",0,20,civil-war,fwl
936,Eagle EGL-1M,,Eagle,EGL-1M,25,757,Inner Sphere,2216979,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/gmJf0p7/eagle-3060.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""j",0,3,2,0,2,False,2,False,1,False,0,False,0,22,AMS,0,25,civil-war,fwl
937,Eagle EGL-2M,,Eagle,EGL-2M,25,800,Inner Sphere,2237917,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/gmJf0p7/eagle-3060.png,True,True,1.0,BattleMech,Brawler,BM,1,"10""j",0,3,2,0,2,False,2,False,1,False,0,False,0,21,"ENE,TAG",0,25,civil-war,fwl
1916,Locust IIC 3,,Locust IIC,3,25,980,Clan,2147292,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2853,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,2,False,2,False,1,False,0,False,0,28,ENE,0,25,civil-war,fwl
1491,Hermes HER-3S2,,Hermes,HER-3S2,30,600,Inner Sphere,3601520,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/QYqFYmz/hermes-3050u.png,False,True,1.0,BattleMech,Scout,BM,1,"22""",0,1,3,0,1,False,1,False,0,False,0,False,0,22,"ECM,ENE,TAG",0,30,civil-war,fwl
3020,Spider SDR-C,,Spider,SDR-C,30,616,Inner Sphere,3414840,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3054,13,3050,https://i.ibb.co/w7RvDYD/spider-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""j",0,2,3,0,2,False,2,False,0,False,0,False,0,28,"C3S,ENE,MHQ1",0,30,civil-war,fwl
3015,Spider SDR-7M,,Spider,SDR-7M,30,621,Inner Sphere,3115840,Standard,231,TR:3050U,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/w7RvDYD/spider-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"16""j",0,2,3,0,2,False,2,False,0,False,0,False,0,26,ENE,0,30,civil-war,fwl
3017,Spider SDR-8M,,Spider,SDR-8M,30,621,Inner Sphere,3193840,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/w7RvDYD/spider-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""j",0,2,3,0,2,False,2,False,0,False,0,False,0,26,ENE,0,30,civil-war,fwl
