Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8127,Stinger C,,Stinger,C,20,592,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,CASE,0,20,clan-invasion,c_hh
1918,Locust IIC 5,,Locust IIC,5,25,878,Clan,2394792,Standard,199,TR:PP,266,RS:3085u-PP,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/pvJG9wC/locust-iic-5.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,2,False,2,False,0,True,0,False,0,27,CASE,0,25,clan-invasion,c_hh
678,Commando IIC  ,,Commando IIC, ,25,978,Clan,2372500,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/G0xW7WP/commando-iic-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,4,False,4,False,0,False,0,False,0,25,"CASE,SRM2/2",0,25,clan-invasion,c_hh
1487,Hermes HER-1S,,Hermes,HER-1S,30,716,Inner Sphere,2701270,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2632,10,2571,https://i.ibb.co/QYqFYmz/hermes-3050u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,3,3,0,2,False,1,False,0,False,0,False,0,25,ENE,0,30,clan-invasion,c_hh
3361,UrbanMech IIC  ,,UrbanMech IIC, ,30,798,Clan,1830725,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2849,11,2781,https://i.ibb.co/0MdxDm2/urbanmech-iic-3060.png,True,True,1.0,BattleMech,Sniper,BM,1,"6""j",0,3,3,0,2,False,2,False,2,False,0,False,0,20,CASE,0,30,clan-invasion,c_hh
1488,Hermes HER-1Sb,,Hermes,HER-1Sb,30,1112,Inner Sphere,5995015,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2740,10,2571,https://i.ibb.co/QYqFYmz/hermes-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"22""",0,4,1,0,3,False,2,False,0,False,0,False,0,37,"ENE,PRB,RCN",0,30,clan-invasion,c_hh
2485,Phantom E,,Phantom,E,40,975,Clan,10547950,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,4,False,0,True,0,True,0,False,0,27,"CASE,OMNI",0,40,clan-invasion,c_hh
2482,Phantom B,,Phantom,B,40,1096,Clan,11055888,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Scout,BM,2,"18""",0,4,2,0,2,False,2,False,0,False,0,False,0,34,"CASE,OMNI,PRB,RCN,REAR1/1/-,SRM1/1",0,40,clan-invasion,c_hh
2487,Phantom Prime,,Phantom,Prime,40,1159,Clan,11200788,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"18""",0,4,2,0,2,False,2,False,0,True,0,False,0,37,"CASE,ECM,IF0*,OMNI,PRB,RCN,TAG",0,40,clan-invasion,c_hh
2861,Sentinel STN-3Lb,,Sentinel,STN-3Lb,40,1260,Inner Sphere,6323030,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2715,10,2571,https://i.ibb.co/fr8FY6w/sentinel-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"12""",0,4,2,0,3,False,2,False,2,False,0,False,0,26,,0,40,clan-invasion,c_hh
700,Corvis  ,,Corvis, ,40,1336,Clan,3373813,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2845,11,2781,https://i.ibb.co/qg3xMBB/corvis-3060.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""j",0,4,3,0,4,False,4,False,2,False,0,False,0,29,CASE,0,40,clan-invasion,c_hh
2481,Phantom A,,Phantom,A,40,1410,Clan,10550138,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,4,False,4,False,1,False,0,False,0,43,"CASE,IF1,OMNI,REAR1/1/-",0,40,clan-invasion,c_hh
1311,Griffin IIC 2,,Griffin IIC,2,40,1516,Clan,4238710,Standard,539,RGv1,472,RG14,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2973,255,2901,https://i.ibb.co/DV7SW6C/griffin-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,4,3,0,3,False,3,False,1,False,0,False,1,30,CASE,0,40,clan-invasion,c_hh
2484,Phantom D,,Phantom,D,40,1581,Clan,10845888,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,4,False,4,False,0,False,0,False,0,41,"CASE,OMNI",0,40,clan-invasion,c_hh
2483,Phantom C,,Phantom,C,40,1590,Clan,10394825,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/hyQH69j/phantom-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,6,False,6,False,0,False,0,False,0,51,"ENE,OMNI,REAR0*/-/-",0,40,clan-invasion,c_hh
1288,Grendel (Mongrel) C,,Grendel (Mongrel),C,45,1465,Clan,12457947,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,2,False,2,False,1,False,0,False,0,36,"AMS,CASE,FLK1/1/1,OMNI",0,45,clan-invasion,c_hh
1287,Grendel (Mongrel) B,,Grendel (Mongrel),B,45,1903,Clan,12052400,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,4,False,4,False,1,False,0,False,0,45,"CASE,OMNI",0,45,clan-invasion,c_hh
1286,Grendel (Mongrel) A,,Grendel (Mongrel),A,45,2031,Clan,12362338,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"14""j",0,5,2,0,4,False,4,False,2,False,0,False,0,48,"CASE,IF2,LRM2/2/2,OMNI",0,45,clan-invasion,c_hh
1289,Grendel (Mongrel) D,,Grendel (Mongrel),D,45,2212,Clan,12360072,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,3,False,3,False,2,False,0,False,2,43,"CASE,OMNI",0,45,clan-invasion,c_hh
1293,Grendel (Mongrel) Prime,,Grendel (Mongrel),Prime,45,2290,Clan,12445713,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,True,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,4,False,4,False,1,False,0,False,1,46,"CASE,OMNI",0,45,clan-invasion,c_hh
1542,Hoplite HOP-4Cb,,Hoplite,HOP-4Cb,55,1377,Inner Sphere,4782008,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2821,11,2781,https://i.ibb.co/6wHfbL7/hoplite-rg.png,False,True,1.0,BattleMech,Brawler,BM,2,"8""",0,6,5,0,3,False,3,False,2,False,0,False,0,32,CASE,0,55,clan-invasion,c_hh
1541,Hoplite HOP-4Bb,,Hoplite,HOP-4Bb,55,1413,Inner Sphere,5465558,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2795,11,2781,https://i.ibb.co/6wHfbL7/hoplite-rg.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""",0,6,5,0,2,False,3,False,3,False,0,False,0,36,"AMS,CASE,ECM,IF1",0,55,clan-invasion,c_hh
548,Champion CHP-1N,,Champion,CHP-1N,60,1233,Inner Sphere,5754400,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2602,10,2571,https://i.ibb.co/f9m4JvQ/champion-3050u.png,True,True,1.0,BattleMech,Skirmisher,BM,3,"10""",0,5,5,0,3,False,3,False,1,False,0,False,0,34,FLK1/1/1,0,60,clan-invasion,c_hh
3199,Thresher 2,,Thresher,2,60,2337,Clan,13644800,Standard,240,TR:3058U,255,RS:3058Uu-C,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2858,11,2781,https://i.ibb.co/SVxL8n8/thresher-3058u.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"12""/10""j",0,5,3,0,4,False,4,False,3,False,0,False,1,39,"CASE,FLK0*/0*/0*,SRM1/1",0,60,clan-invasion,c_hh
1338,Guillotine GLT-3N,,Guillotine,GLT-3N,70,1418,Inner Sphere,6300483,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2499,9,2005,https://i.ibb.co/wWmYrPg/guillotine-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,3,"8""j",0,6,6,0,4,False,4,False,0,False,0,False,0,35,CASE,0,70,clan-invasion,c_hh
5691,Bowman 4,,Bowman,4,70,1854,Clan,16805067,Advanced,246,TR:3067,367,RS:3067u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2923,255,2901,https://i.ibb.co/wpkDrxD/bowman-3075.png,False,True,1.2,BattleMech,Missile Boat,BM,3,"10""",0,7,4,0,0,False,0,False,0,False,0,False,0,50,"ARTAC-2,CASE,ECM",0,70,clan-invasion,c_hh
3857,Bowman  ,,Bowman, ,70,2308,Clan,16970137,Advanced,246,TR:3067,367,RS:3067u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2973,255,2901,https://i.ibb.co/wpkDrxD/bowman-3075.png,True,True,1.2,BattleMech,Missile Boat,BM,3,"10""",0,7,4,0,3,False,3,False,1,False,0,False,0,52,"ARTAC-1,CASE,ECM,IF1",0,70,clan-invasion,c_hh
3858,Bowman 2,,Bowman,2,70,2567,Clan,17078937,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2974,255,2901,https://i.ibb.co/wpkDrxD/bowman-3075.png,False,True,1.2,BattleMech,Missile Boat,BM,3,"10""",0,7,4,0,6,False,6,False,4,False,0,False,0,56,"CASE,ECM,IF2,LRM2/2/2",0,70,clan-invasion,c_hh
2249,Naga C,,Naga,C,80,1805,Clan,26628375,Advanced,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2869,11,2781,https://i.ibb.co/S08DwtJ/naga-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,4,"10""",0,5,4,0,2,False,2,False,0,False,0,False,0,52,"ARTAC-2,CASE,OMNI",0,80,clan-invasion,c_hh
