Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
1916,Locust IIC 3,,Locust IIC,3,25,980,Clan,2147292,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2853,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,2,False,2,False,1,False,0,False,0,28,ENE,0,25,clan-invasion,c_sj
707,Cougar D,,Cougar,D,35,1309,Clan,6114797,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Sniper,BM,1,"10""",0,4,2,0,4,False,4,False,3,False,0,False,0,33,"CASE,OMNI,SRM1/1",0,35,clan-invasion,c_sj
712,Cougar Prime,,Cougar,Prime,35,1485,Clan,6065438,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,True,True,1.0,BattleMech,Sniper,BM,1,"10""",0,4,2,0,3,False,3,False,3,False,0,False,1,31,"CASE,IF1,LRM1/1/1,OMNI,OVL",0,35,clan-invasion,c_sj
704,Cougar A,,Cougar,A,35,1697,Clan,6919313,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"10""",0,4,2,0,5,False,5,False,4,False,0,False,0,40,"CASE,IF2,OMNI",0,35,clan-invasion,c_sj
705,Cougar B,,Cougar,B,35,1774,Clan,6069656,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Sniper,BM,1,"10""",0,4,2,0,4,False,4,False,3,False,0,False,0,33,"ENE,OMNI",0,35,clan-invasion,c_sj
706,Cougar C,,Cougar,C,35,1785,Clan,6197484,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""",0,4,2,0,4,False,5,False,2,False,0,False,0,35,"CASE,OMNI",0,35,clan-invasion,c_sj
7752,Phoenix Hawk C,,Phoenix Hawk,C,45,1396,Clan,8179015,Standard,539,RGv1,455,RG11,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2831,11,2781,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,2,0,3,False,3,False,1,False,0,False,0,31,CASE,0,45,clan-invasion,c_sj
1288,Grendel (Mongrel) C,,Grendel (Mongrel),C,45,1465,Clan,12457947,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,2,False,2,False,1,False,0,False,0,36,"AMS,CASE,FLK1/1/1,OMNI",0,45,clan-invasion,c_sj
1287,Grendel (Mongrel) B,,Grendel (Mongrel),B,45,1903,Clan,12052400,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,4,False,4,False,1,False,0,False,0,45,"CASE,OMNI",0,45,clan-invasion,c_sj
1286,Grendel (Mongrel) A,,Grendel (Mongrel),A,45,2031,Clan,12362338,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"14""j",0,5,2,0,4,False,4,False,2,False,0,False,0,48,"CASE,IF2,LRM2/2/2,OMNI",0,45,clan-invasion,c_sj
2892,Shadow Cat Prime,,Shadow Cat,Prime,45,2156,Clan,11785509,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3003,255,2901,https://i.ibb.co/2WxYScC/shadow-cat-rg.png,True,True,1.0,BattleMech,Striker,BM,2,"16""/12""j",0,4,2,0,3,False,3,False,2,False,0,False,0,41,"CASE,OMNI,PRB,RCN,JMPW1",0,45,clan-invasion,c_sj
1289,Grendel (Mongrel) D,,Grendel (Mongrel),D,45,2212,Clan,12360072,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,3,False,3,False,2,False,0,False,2,43,"CASE,OMNI",0,45,clan-invasion,c_sj
2887,Shadow Cat A,,Shadow Cat,A,45,2220,Clan,12039531,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3003,255,2901,https://i.ibb.co/2WxYScC/shadow-cat-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"16""/12""j",0,4,2,0,3,False,3,False,2,False,0,False,1,42,"CASE,OMNI,PRB,RCN,JMPW1",0,45,clan-invasion,c_sj
1293,Grendel (Mongrel) Prime,,Grendel (Mongrel),Prime,45,2290,Clan,12445713,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,True,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,4,False,4,False,1,False,0,False,1,46,"CASE,OMNI",0,45,clan-invasion,c_sj
2888,Shadow Cat B,,Shadow Cat,B,45,2420,Clan,13043656,Standard,436,TR:CI,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3003,255,2901,https://i.ibb.co/2WxYScC/shadow-cat-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"16""/12""j",0,4,2,0,4,False,4,False,3,False,0,False,0,51,"CASE,ECM,IF2,OMNI,PRB,RCN,JMPW1",0,45,clan-invasion,c_sj
7707,Shadow Cat M,,Shadow Cat,M,45,2438,Clan,11372531,Standard,453,RG09,453,RG09,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3054,13,3050,https://i.ibb.co/2WxYScC/shadow-cat-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"16""/12""j",0,4,2,0,3,False,3,False,3,False,0,False,1,40,"ENE,JMPW1,OMNI",0,45,clan-invasion,c_sj
5488,Ryoken (Stormcrow) (Kotare),,Ryoken (Stormcrow),(Kotare),55,2382,Clan,15670113,Standard,436,TR:CI,194,RS:3050Uu-C,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/Bf61VVz/ryoken-stormcrow-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"12""",0,6,3,0,5,False,5,False,2,False,0,False,3,46,"CASE,IF1,OMNI",0,55,clan-invasion,c_sj
7620,Lynx C,,Lynx,C,55,2712,Clan,10794329,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2848,11,2781,https://i.ibb.co/n3pNB37/lynx-3058u.png,True,True,1.0,BattleMech,Skirmisher,BM,2,"10""j",0,6,3,0,4,False,4,False,4,False,0,False,2,42,ENE,0,55,clan-invasion,c_sj
