Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
7568,Baboon (Howler) 4,,Baboon (Howler),4,20,506,Clan,1929440,Standard,539,RGv1,438,RG08,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2877,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""j",0,2,2,0,0,True,0,True,0,True,0,False,0,17,"CASE,IF0*",0,20,clan-invasion,c_sr
189,Baboon (Howler)  ,,Baboon (Howler), ,20,645,Clan,1826240,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2871,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,2,0,1,False,1,False,1,False,0,False,0,20,"CASE,IF1",0,20,clan-invasion,c_sr
3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,clan-invasion,c_sr
8128,Stinger C 2,,Stinger,C 2,20,754,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2838,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,ENE,0,20,clan-invasion,c_sr
844,Dasher (Fire Moth) H,,Dasher (Fire Moth),H,20,779,Clan,3821800,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"26""",0,1,1,0,5,False,0,False,0,False,0,False,1,25,"ENE,OMNI",0,20,clan-invasion,c_sr
1834,Koshi (Mist Lynx) H,,Koshi (Mist Lynx),H,25,982,Clan,4940104,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/9vCM3CW/koshi-mist-lynx-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""/12""j",0,2,1,0,4,False,3,False,0,False,0,False,0,32,"AMS,CASE,OMNI,PRB,RCN,JMPW1",0,25,clan-invasion,c_sr
1835,Koshi (Mist Lynx) P,,Koshi (Mist Lynx),P,25,1064,Clan,4654948,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/9vCM3CW/koshi-mist-lynx-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""/12""j",0,2,1,0,3,False,1,False,1,False,0,False,0,23,"ENE,OMNI,PRB,RCN,JMPW1",0,25,clan-invasion,c_sr
3361,UrbanMech IIC  ,,UrbanMech IIC, ,30,798,Clan,1830725,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2849,11,2781,https://i.ibb.co/0MdxDm2/urbanmech-iic-3060.png,True,True,1.0,BattleMech,Sniper,BM,1,"6""j",0,3,3,0,2,False,2,False,2,False,0,False,0,20,CASE,0,30,clan-invasion,c_sr
3346,Uller (Kit Fox) H,,Uller (Kit Fox),H,30,1214,Clan,5230713,Standard,436,TR:CI,194,RS:3050Uu-C,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/brWWLTp/uller-kit-fox-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,3,2,0,4,False,4,False,2,False,0,False,0,30,"CASE,OMNI",0,30,clan-invasion,c_sr
2392,Pack Hunter  ,,Pack Hunter, ,30,1369,Clan,3206840,Standard,229,TR:3060,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/80tQ6rf/pack-hunter-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,3,0,2,False,2,False,2,False,0,False,0,27,ENE,0,30,clan-invasion,c_sr
