Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8127,Stinger C,,Stinger,C,20,592,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,CASE,0,20,clan-invasion,c_sv
4303,Hellion A,,Hellion,A,30,1543,Clan,6545500,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/bK0jHqK/hellion-rg.png,False,True,1.2,BattleMech,Missile Boat,BM,1,"18""",0,4,2,0,3,False,3,False,2,False,0,False,0,39,"CASE,IF2,LRM2/2/2,OMNI",0,30,clan-invasion,c_sv
4304,Hellion B,,Hellion,B,30,1569,Clan,6659900,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/bK0jHqK/hellion-rg.png,False,True,1.2,BattleMech,Striker,BM,1,"18""",0,4,2,0,4,False,3,False,0,False,0,False,3,38,"ENE,OMNI",0,30,clan-invasion,c_sv
7571,Devil  ,,Devil, ,30,1691,Clan,5502640,Standard,438,RG08,438,RG08,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2911,255,2901,https://i.ibb.co/p4nVJnh/devil-rg.png,True,True,1.0,BattleMech,Sniper,BM,1,"20""",0,3,2,0,2,False,2,False,2,False,0,False,0,33,ENE,0,30,clan-invasion,c_sv
4306,Hellion Prime,,Hellion,Prime,30,1873,Clan,6594088,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/bK0jHqK/hellion-rg.png,True,True,1.2,BattleMech,Striker,BM,1,"18""",0,4,2,0,4,False,4,False,1,False,0,False,1,43,"CASE,IF1,OMNI",0,30,clan-invasion,c_sv
4305,Hellion C,,Hellion,C,30,2095,Clan,6732050,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/bK0jHqK/hellion-rg.png,False,True,1.2,BattleMech,Striker,BM,1,"18""",0,4,2,0,5,False,4,False,1,False,0,False,1,43,"CASE,OMNI",0,30,clan-invasion,c_sv
707,Cougar D,,Cougar,D,35,1309,Clan,6114797,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Sniper,BM,1,"10""",0,4,2,0,4,False,4,False,3,False,0,False,0,33,"CASE,OMNI,SRM1/1",0,35,clan-invasion,c_sv
711,Cougar H,,Cougar,H,35,1323,Clan,6403022,Standard,489,RG19,489,RG19,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""/8""j",0,4,2,0,4,False,4,False,1,False,0,False,0,33,"CASE,ECM,JMPW1,OMNI",0,35,clan-invasion,c_sv
712,Cougar Prime,,Cougar,Prime,35,1485,Clan,6065438,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,True,True,1.0,BattleMech,Sniper,BM,1,"10""",0,4,2,0,3,False,3,False,3,False,0,False,1,31,"CASE,IF1,LRM1/1/1,OMNI,OVL",0,35,clan-invasion,c_sv
704,Cougar A,,Cougar,A,35,1697,Clan,6919313,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"10""",0,4,2,0,5,False,5,False,4,False,0,False,0,40,"CASE,IF2,OMNI",0,35,clan-invasion,c_sv
