Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
4820,Phoenix Hawk LAM C,,Phoenix Hawk LAM,C,0,0,Clan,0,Unknown,330,Freebirth,192,None,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/YZrdGZF/phoenix-hawk-lam.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,,clan-invasion,unq
5137,Stinger LAM C,,Stinger LAM,C,0,0,Clan,0,Unknown,330,Freebirth,192,None,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/5hM7QYv/stinger-lam-3025.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,,clan-invasion,unq
8282,Jenner JR7-D (Webster),,Jenner,JR7-D (Webster),35,0,Inner Sphere,0,Standard,488,CM:Kurita,192,None,https://i.ibb.co/MB09bVm/era02-succession-wars.png,Unknown,256,3020,https://i.ibb.co/2cQmRWW/jenner-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,3,0,3,False,3,False,0,False,0,False,0,30,ENE,0,35,clan-invasion,unq
1696,Jenner JR7-K (Grace),,Jenner,JR7-K (Grace),35,702,Inner Sphere,3650625,Experimental,205,SB:S&D,205,SB:S&D,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3039,256,3020,https://i.ibb.co/2cQmRWW/jenner-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""/10""j",0,3,3,0,1,False,1,False,0,False,0,False,0,25,"SNARC,JMPW1",0,35,clan-invasion,unq
1697,Jenner JR7-K (Samuli),,Jenner,JR7-K (Samuli),35,1001,Inner Sphere,5821425,Standard,236,RS:UM,236,RS:UM,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/2cQmRWW/jenner-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"14""/10""j",0,2,2,0,2,False,2,False,1,False,0,False,1,26,"CASE,IF1,JMPW1",0,35,clan-invasion,unq
7796,Jenner JR7-F (Smith),,Jenner,JR7-F (Smith),35,1070,Inner Sphere,2999925,Introductory,422,TR:SW,459,TP:39V,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3030,256,3020,https://i.ibb.co/2cQmRWW/jenner-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,4,3,0,2,False,2,False,0,False,0,False,1,33,ENE,0,35,clan-invasion,unq
7589,Puma (Adder) TC,,Puma (Adder),TC,35,1247,Clan,7163438,Standard,444,BoT,444,BoT,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/Dg4Q4Qq/puma-adder-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,4,2,0,4,False,2,False,2,False,0,False,0,30,"AMS,CASE,OMNI,PRB,RCN",0,35,clan-invasion,unq
3570,"Wolfhound IIC ""Grinner""",,Wolfhound IIC,"""Grinner""",35,1579,Clan,5694030,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/V9qnp94/wolfhound-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,4,2,0,4,False,4,False,1,False,0,False,0,33,"ECM,ENE,REAR1/1/-",0,35,clan-invasion,unq
7797,Vulcan VL-2T (Timms),,Vulcan,VL-2T (Timms),40,603,Inner Sphere,3435250,Introductory,422,TR:SW,459,TP:39V,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3034,256,3020,https://i.ibb.co/q0Gx2rJ/vulcan-rg.png,False,True,1.0,BattleMech,Scout,BM,2,"12""j",0,3,3,0,1,False,0,True,0,True,0,False,0,18,HT1/-/-,0,40,clan-invasion,unq
645,Clint CLNT-2-3T (Denton),,Clint,CLNT-2-3T (Denton),40,873,Inner Sphere,3542280,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3033,256,3020,https://i.ibb.co/K02WmGs/clint-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,2,3,0,2,False,2,False,0,False,0,False,0,20,ENE,0,40,clan-invasion,unq
4035,"Daedalus ""Grimjet""",,Daedalus,"""Grimjet""",45,0,Inner Sphere,0,Introductory,230,RS:3055Uu,178,BattleCorps,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3054,13,3050,https://i.ibb.co/6tfNYqK/daedalus-3055u.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,45,clan-invasion,unq
4819,Phoenix Hawk PXH-1 Upgraded,,Phoenix Hawk,PXH-1 Upgraded,45,0,Inner Sphere,0,Standard,239,R&R,192,None,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,Unknown,13,3050,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,45,clan-invasion,unq
1411,Hatchetman HCT-3F (Austin),,Hatchetman,HCT-3F (Austin),45,962,Inner Sphere,8327640,Experimental,205,SB:S&D,205,SB:S&D,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3039,256,3020,https://i.ibb.co/sKrQj5m/hatchetman-rg.png,False,True,1.0,BattleMech,Brawler,BM,2,"8""j",0,3,4,0,3,False,3,False,1,False,0,False,0,24,"FLK1/1/1,MEL",0,45,clan-invasion,unq
