Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
7739,Butcherbird (Ion Sparrow) A,,Butcherbird (Ion Sparrow),A,20,501,Clan,3791000,Advanced,455,RG11,455,RG11,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3147,16,3131,https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,False,True,1.0,BattleMech,Scout,BM,1,"16""/20""j",0,2,1,0,2,False,0,False,0,False,0,False,0,21,"CASE,JMPS1,OMNI,PRB,RCN",0,20,dark-age,c_jf
7568,Baboon (Howler) 4,,Baboon (Howler),4,20,506,Clan,1929440,Standard,539,RGv1,438,RG08,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2877,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""j",0,2,2,0,0,True,0,True,0,True,0,False,0,17,"CASE,IF0*",0,20,dark-age,c_jf
7570,Baboon (Howler) 6,,Baboon (Howler),6,20,550,Clan,2077040,Advanced,539,RGv1,438,RG08,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3086,15,3081,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,"CASEII,SRM2/2,TUR(2/2/-,SRM2/2)",0,20,dark-age,c_jf
7740,Butcherbird (Ion Sparrow) B,,Butcherbird (Ion Sparrow),B,20,626,Clan,3707000,Advanced,455,RG11,455,RG11,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3147,16,3131,https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,False,True,1.0,BattleMech,Scout,BM,1,"16""/20""j",0,2,1,0,2,False,2,False,0,False,0,False,0,24,"CASE,JMPS1,OMNI,SRM1/1",0,20,dark-age,c_jf
189,Baboon (Howler)  ,,Baboon (Howler), ,20,645,Clan,1826240,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2871,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,2,0,1,False,1,False,1,False,0,False,0,20,"CASE,IF1",0,20,dark-age,c_jf
7738,Butcherbird (Ion Sparrow) Prime,,Butcherbird (Ion Sparrow),Prime,20,885,Clan,3978500,Advanced,455,RG11,455,RG11,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3147,16,3131,https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,True,True,1.0,BattleMech,Scout,BM,1,"16""/20""j",0,2,1,0,3,False,3,False,0,False,0,False,0,30,"CASE,JMPS1,OMNI",0,20,dark-age,c_jf
7741,Butcherbird (Ion Sparrow) C,,Butcherbird (Ion Sparrow),C,20,889,Clan,3467750,Advanced,455,RG11,455,RG11,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3147,16,3131,https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,False,True,1.0,BattleMech,Scout,BM,1,"16""/20""j",0,2,1,0,4,False,4,False,0,False,0,False,0,35,"ENE,JMPS1,OMNI",0,20,dark-age,c_jf
2981,Snow Fox 3,,Snow Fox,3,20,903,Clan,3201600,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/Brn6ywT/snow-fox-3060.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,1,0,2,False,2,False,0,True,0,False,0,24,"CASE,ECM",0,20,dark-age,c_jf
7742,Butcherbird (Ion Sparrow) D,,Butcherbird (Ion Sparrow),D,20,1121,Clan,3681500,Advanced,455,RG11,455,RG11,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3147,16,3131,https://i.ibb.co/LndtD0d/butcherbird-ion-sparrow.png,False,True,1.0,BattleMech,Scout,BM,1,"16""/20""j",0,2,1,0,3,False,3,False,0,False,0,False,0,30,"ENE,JMPS1,OMNI",0,20,dark-age,c_jf
7569,Baboon (Howler) 5,,Baboon (Howler),5,20,1363,Clan,2126240,Standard,539,RGv1,438,RG08,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,2,0,3,False,3,False,0,False,0,False,2,29,ENE,0,20,dark-age,c_jf
