Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3065,Stinger STG-5T,,Stinger,STG-5T,20,341,Inner Sphere,4412640,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/vHNbLn3/stinger-5r-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,1,0,1,False,1,False,0,True,0,False,0,14,IF0*,0,20,dark-age,cc
1138,Flea FLE-19,,Flea,FLE-19,20,381,Inner Sphere,1483500,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,1,False,0,True,0,False,0,15,,0,20,dark-age,cc
3063,Stinger STG-5M,,Stinger,STG-5M,20,432,Inner Sphere,1768440,Standard,539,RGv1,510,RSFP:Wave 1,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3050,13,3050,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,15,AMS,0,20,dark-age,cc
703,Cossack C-SK1,,Cossack,C-SK1,20,465,Inner Sphere,2362440,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/jhmq1pX/cossack-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,2,1,0,2,False,2,False,0,False,0,False,0,17,,0,20,dark-age,cc
3531,Wasp WSP-7MAF,,Wasp,WSP-7MAF,20,488,Inner Sphere,3023920,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/h14bPpZ/wasp-3085.png,False,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,1,0,2,False,1,False,0,True,0,False,0,19,IF0*,0,20,dark-age,cc
3064,Stinger STG-5R,,Stinger,STG-5R,20,492,Inner Sphere,3831840,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/vHNbLn3/stinger-5r-pp.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,ENE,0,20,dark-age,cc
8125,Stinger STG-6G,,Stinger,STG-6G,20,503,Inner Sphere,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3103,254,3101,https://i.ibb.co/0KwFP6Y/stinger-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"14""j",0,2,1,0,2,False,1,False,0,False,0,False,0,18,,0,20,dark-age,cc
8126,Stinger STG-6M,,Stinger,STG-6M,20,503,Inner Sphere,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3097,15,3081,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,15,"AMS, ENE",0,20,dark-age,cc
1137,Flea FLE-17,,Flea,FLE-17,20,510,Inner Sphere,1728000,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,"ENE,REAR1/-/-",0,20,dark-age,cc
1909,Locust LCT-5T,,Locust,LCT-5T,20,520,Inner Sphere,2462500,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3070,14,3068,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,1,0,2,False,2,False,0,False,0,False,0,22,CASE,0,20,dark-age,cc
