Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8366,"Celerity CLR-03-OMM ""Rajah""",,Celerity,"CLR-03-OMM ""Rajah""",15,278,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3142,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,1,1,0,1,False,1,False,0,False,0,False,0,14,"DRO,ENE,MEL",0,15,dark-age,unq
8102,Porcupine PRC-3N,,Porcupine,PRC-3N,20,511,Inner Sphere,0,Experimental,470,XTR:Caveat,470,XTR:Caveat,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3132,16,3131,"https://i.ibb.co/Ntdqfkx/porcupine-3n-xtr.png
",True,True,1.0,BattleMech,Striker,BM,1,"28""",0,2,1,0,0,False,0,False,0,False,0,False,0,17,"AMS,ENE,IRA,MEL,STL",0,20,dark-age,unq
8367,"Gunsmith CH11-NGC ""Cinderella""",,Gunsmith,"CH11-NGC ""Cinderella""",25,1519,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/hZf2gh8/gunsmith-3145.png,True,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,3,False,3,False,0,False,0,False,0,31,"AMS,ENE,RFA",0,25,dark-age,unq
7632,Uller (Kit Fox) BLO,,Uller (Kit Fox),BLO,30,988,Mixed,6279244,Standard,436,TR:CI,448,SO:UF,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/brWWLTp/uller-kit-fox-rg.png,False,True,2.0,BattleMech,Skirmisher,BM,1,"12""",0,3,2,0,3,False,3,False,2,False,0,False,0,29,"C3I,CASE,MHQ2,OMNI",0,30,dark-age,unq
9635,"Jackalope JLP-BD-L ""Harvey""",,Jackalope,"JLP-BD-L ""Harvey""",30,1028,Mixed,0,Advanced,544,Shrap16,464,ShrapRS,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3136,16,3131,https://i.ibb.co/mv6yJBt/jackalope-shrap.png,False,True,1.0,BattleMech,Striker,bm,1,"24""/8""j",0,3,2,0,1,False,1,False,0,False,0,False,0,27,"CASE,JMPW3,RAMS",0,30,dark-age,unq
5540,Pack Hunter II (Isis),,Pack Hunter II,(Isis),30,1276,Clan,7422740,Standard,202,TR:3085,357,DTP:Vega,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,Unknown,16,3131,https://i.ibb.co/9g5VR4J/pack-hunter-ii-3085.png,False,True,2.0,BattleMech,Striker,BM,1,"14""j",0,3,2,0,4,False,3,False,0,False,0,False,0,33,CASE,0,30,dark-age,unq
8155,Arctic Wolf II (Lana),,Arctic Wolf II,(Lana),40,0,Clan,0,Standard,462,Shrap04,192,None,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3148,16,3131,https://i.ibb.co/tQmVNXx/arctic-wolf-ii-3085.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,40,dark-age,unq
8370,"Vulcan VL-5ML ""Aladdin""",,Vulcan,"VL-5ML ""Aladdin""",40,947,Inner Sphere,0,Standard,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3143,16,3131,https://i.ibb.co/q0Gx2rJ/vulcan-rg.png,True,True,1.0,BattleMech,Sniper,BM,2,"12""j",0,3,3,0,1,False,1,False,1,False,0,False,0,29,"AECM,IF1,MEL,SAW,STL",0,40,dark-age,unq
8371,"Watchman WTC-4MB ""Belle""",,Watchman,"WTC-4MB ""Belle""",40,1234,Inner Sphere,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3144,16,3131,https://i.ibb.co/FYWgj4m/watchman-3055u.png,True,True,1.0,BattleMech,Scout,BM,2,"10""",0,4,2,0,3,False,3,False,0,False,0,False,0,31,"DCC1,ECM,ENE,LPRB,RCN,WAT",0,40,dark-age,unq
8369,"Clint IIC 2L ""Leia""",,Clint IIC,"2L ""Leia""",40,1497,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3141,16,3131,https://i.ibb.co/TLwZndc/clint-iic-3060.png,True,True,1.0,BattleMech,Striker,BM,2,"12""",0,4,2,0,4,False,3,False,0,False,0,False,1,29,"BRA,ENE",0,40,dark-age,unq
8368,"Calliope CAL-1MAFW ""Snow White""",,Calliope,"CAL-1MAFW ""Snow White""",40,1668,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3141,16,3131,https://i.ibb.co/tmQDBRt/calliope-3150.png,True,True,1.0,BattleMech,Brawler,bm,2,"10""",0,5,3,0,3,False,3,False,1,False,0,False,1,32,"CASE,CR",0,40,dark-age,unq
