Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3520,Wasp WSP-1A,,Wasp,WSP-1A,20,384,Inner Sphere,1646640,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2471,9,2005,https://i.ibb.co/0XxvcQF/wasp-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,early-republic,ei
1901,Locust LCT-1V,,Locust,LCT-1V,20,432,Inner Sphere,1512400,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2499,9,2005,https://i.ibb.co/J2R4dnD/locust-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,18,,0,20,early-republic,ei
3058,Stinger STG-3G,,Stinger,STG-3G,20,497,Inner Sphere,1662240,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2581,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,ENE,0,20,early-republic,ei
3191,Thorn THE-N,,Thorn,THE-N,20,546,Inner Sphere,1653120,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2549,9,2005,https://i.ibb.co/8Mq68tW/thorn-3050u.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,"CASE,IF0*",0,20,early-republic,ei
2172,Mercury MCY-99,,Mercury,MCY-99,20,586,Inner Sphere,1796440,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2742,10,2571,https://i.ibb.co/SdyFM0N/mercury-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"20""",0,2,2,0,2,False,1,False,0,False,0,False,0,22,ENE,0,20,early-republic,ei
2980,Snow Fox 2,,Snow Fox,2,20,604,Clan,1883200,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3015,255,2901,https://i.ibb.co/Brn6ywT/snow-fox-3060.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"20""",0,2,2,0,1,False,1,False,1,False,0,False,0,23,"CASE,IF1",0,20,early-republic,ei
838,Dasher (Fire Moth) A,,Dasher (Fire Moth),A,20,639,Clan,4421800,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2874,11,2781,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"26""",0,1,1,0,1,False,1,False,0,False,0,False,0,20,"AMS,CASE,OMNI,PRB,RCN,TAG",0,20,early-republic,ei
189,Baboon (Howler)  ,,Baboon (Howler), ,20,645,Clan,1826240,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2871,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,2,0,1,False,1,False,1,False,0,False,0,20,"CASE,IF1",0,20,early-republic,ei
7601,Locust C,,Locust,C,20,672,Mixed,1550200,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,ENE,0,20,early-republic,ei
840,Dasher (Fire Moth) C,,Dasher (Fire Moth),C,20,741,Clan,4088800,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2874,11,2781,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"26""",0,1,1,0,1,False,1,False,1,False,0,False,0,19,"AMS,CASE,IF1,OMNI",0,20,early-republic,ei
844,Dasher (Fire Moth) H,,Dasher (Fire Moth),H,20,779,Clan,3821800,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"26""",0,1,1,0,5,False,0,False,0,False,0,False,1,25,"ENE,OMNI",0,20,early-republic,ei
2979,Snow Fox  ,,Snow Fox, ,20,807,Clan,1826200,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3015,255,2901,https://i.ibb.co/Brn6ywT/snow-fox-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"20""",0,2,2,0,2,False,2,False,0,False,0,False,0,27,ENE,0,20,early-republic,ei
842,Dasher (Fire Moth) E,,Dasher (Fire Moth),E,20,822,Clan,4127800,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"26""",0,1,1,0,2,False,1,False,1,False,0,False,0,18,"CASE,OMNI",0,20,early-republic,ei
