Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
6547,Koshi (Standard),,Koshi (Standard),,25,760,Clan,3945833,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3091,15,3081,https://i.ibb.co/4p5Q7X3/koshi-3150.png,True,True,1.0,BattleMech,Striker,BM,1,"14""/12""j",0,2,1,0,3,False,3,False,0,False,0,False,0,30,"CASE,JMPW1,LTAG,PRB,RCN,SRM2/2",0,25,early-republic,is_clan
6549,Koshi (Standard) 3,,Koshi (Standard),3,25,777,Clan,0,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3095,15,3081,https://i.ibb.co/4p5Q7X3/koshi-3150.png,False,True,1.0,BattleMech,Scout,BM,1,"18""/12""j",0,2,1,0,4,False,0,False,0,False,0,False,0,26,"ECM,ENE,LTAG,PRB,RCN,JMPW1",0,25,early-republic,is_clan
6548,Koshi (Standard) 2,,Koshi (Standard),2,25,948,Clan,0,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3095,15,3081,https://i.ibb.co/4p5Q7X3/koshi-3150.png,False,True,1.0,BattleMech,Striker,BM,1,"14""/12""j",0,2,1,0,3,False,3,False,0,False,0,False,0,27,"CASE,LTAG,JMPW1",0,25,early-republic,is_clan
1916,Locust IIC 3,,Locust IIC,3,25,980,Clan,2147292,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2853,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,2,False,2,False,1,False,0,False,0,28,ENE,0,25,early-republic,is_clan
1914,Locust IIC  ,,Locust IIC, ,25,1100,Clan,2044792,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,5,False,5,False,0,False,0,False,0,42,ENE,0,25,early-republic,is_clan
1585,Hussar HSR-200-D,,Hussar,HSR-200-D,30,636,Inner Sphere,2790840,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2620,10,2571,https://i.ibb.co/nQjTYDT/hussar-3050u.png,True,True,1.0,BattleMech,Scout,BM,1,"18""",0,1,3,0,1,False,1,False,1,False,0,False,0,18,ENE,0,30,early-republic,is_clan
2392,Pack Hunter  ,,Pack Hunter, ,30,1369,Clan,3206840,Standard,229,TR:3060,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/80tQ6rf/pack-hunter-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,3,0,2,False,2,False,2,False,0,False,0,27,ENE,0,30,early-republic,is_clan
707,Cougar D,,Cougar,D,35,1309,Clan,6114797,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Sniper,BM,1,"10""",0,4,2,0,4,False,4,False,3,False,0,False,0,33,"CASE,OMNI,SRM1/1",0,35,early-republic,is_clan
711,Cougar H,,Cougar,H,35,1323,Clan,6403022,Standard,489,RG19,489,RG19,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""/8""j",0,4,2,0,4,False,4,False,1,False,0,False,0,33,"CASE,ECM,JMPW1,OMNI",0,35,early-republic,is_clan
709,Cougar F,,Cougar,F,35,1401,Clan,6078094,Standard,489,RG19,489,RG19,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/stg2Nr0/cougar-rg.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""j",0,4,2,0,6,False,4,False,0,False,0,False,0,32,"CASE,OMNI",0,35,early-republic,is_clan
