Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3527,Wasp WSP-3L,,Wasp,WSP-3L,20,534,Inner Sphere,4210320,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/rkZXR1P/wasp-3l-pp.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,0,True,0,True,0,True,0,False,0,18,"ECM,ENE,STL",0,20,early-republic,pir
1902,Locust LCT-1V2,,Locust,LCT-1V2,20,568,Inner Sphere,1576000,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3065,247,3062,https://i.ibb.co/8Dkn5dC/locust-1v2-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,True,0,False,0,19,ENE,0,20,early-republic,pir
5653,Brigand LDT-X3,,Brigand,LDT-X3,25,695,Inner Sphere,3273750,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3075,14,3068,https://i.ibb.co/TR6710f/brigand-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"12""j",0,2,1,0,2,False,1,False,1,False,0,False,0,15,ENE,0,25,early-republic,pir
7312,Brigand LDT-5,,Brigand,LDT-5,25,762,Inner Sphere,3494583,Advanced,412,HTP:Tortuga,412,HTP:Tortuga,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3083,15,3081,https://i.ibb.co/TR6710f/brigand-3067.png,True,True,1.2,BattleMech,Striker,BM,1,"14""j",0,3,1,0,2,False,2,False,0,False,0,False,0,26,"ENE,MEL",0,25,early-republic,pir
3861,Brigand LDT-X2,,Brigand,LDT-X2,25,764,Inner Sphere,2293750,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3066,247,3062,https://i.ibb.co/TR6710f/brigand-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,ENE,0,25,early-republic,pir
3859,Brigand LDT-1,,Brigand,LDT-1,25,771,Inner Sphere,2286250,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3065,247,3062,https://i.ibb.co/TR6710f/brigand-3067.png,True,True,1.2,BattleMech,Striker,BM,1,"12""j",0,2,2,0,3,False,3,False,0,False,0,False,0,22,ENE,0,25,early-republic,pir
3860,Brigand LDT-X1,,Brigand,LDT-X1,25,937,Inner Sphere,2336250,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3066,247,3062,https://i.ibb.co/TR6710f/brigand-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"12""j",0,2,2,0,3,False,3,False,0,False,0,False,0,22,ENE,0,25,early-republic,pir
5654,Brigand LDT-X4,,Brigand,LDT-X4,25,1038,Inner Sphere,3498750,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3078,14,3068,https://i.ibb.co/TR6710f/brigand-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"12""j",0,3,1,0,2,False,2,False,1,False,0,False,0,21,"ENE,TSM",0,25,early-republic,pir
677,Commando COM-7S2 (Freyr),,Commando,COM-7S2 (Freyr),25,1105,Mixed,3666250,Experimental,170,XTR:Pirates,170,XTR:Pirates,https://i.ibb.co/4jf2wfz/era05-jihad.png,3070,14,3068,https://i.ibb.co/K77x55d/commando-xtr.png,True,True,1.0,BattleMech,Striker,BM,1,"10""/12""j",0,4,1,0,3,False,3,False,0,False,0,False,0,26,"CASE,CR",0,25,early-republic,pir
1676,Javelin JVN-10P,,Javelin,JVN-10P,30,590,Inner Sphere,2370940,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/VLykXhJ/javelin-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,2,3,0,2,False,2,False,0,False,0,False,0,19,,0,30,early-republic,pir
