Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
1840,Koto KT-P2,,Koto,KT-P2,25,631,Inner Sphere,3428229,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/t2Y3MzK/koto-3055u.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,3,1,0,2,False,1,False,0,False,0,False,0,21,CASE,0,25,early-republic,sol_7
1838,Koto KTO-3A,,Koto,KTO-3A,25,806,Inner Sphere,3452604,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3062,247,3062,https://i.ibb.co/t2Y3MzK/koto-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,3,False,2,False,0,False,0,False,0,26,ENE,0,25,early-republic,sol_7
1837,Koto KTO-2A,,Koto,KTO-2A,25,977,Inner Sphere,3677604,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3057,13,3050,https://i.ibb.co/t2Y3MzK/koto-3055u.png,True,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,2,False,2,False,0,False,0,False,1,26,ENE,0,25,early-republic,sol_7
1839,Koto KTO-4A,,Koto,KTO-4A,25,1073,Inner Sphere,3708854,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/t2Y3MzK/koto-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,2,False,2,False,1,False,0,False,1,27,ENE,0,25,early-republic,sol_7
2309,Nyx NX-90,,Nyx,NX-90,30,613,Inner Sphere,5231200,Experimental,463,TR:J,534,RS:J,https://i.ibb.co/4jf2wfz/era05-jihad.png,3080,14,3068,https://i.ibb.co/DRXJmn5/nyx-3085.png,False,True,1.0,BattleMech,Scout,BM,1,"20""",0,3,1,0,1,False,1,False,0,False,0,False,0,24,MEL,0,30,early-republic,sol_7
1122,Flashfire FLS-P5,,Flashfire,FLS-P5,30,654,Inner Sphere,3800550,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/jDN3kTT/flashfire-3055u.png,True,True,1.0,BattleMech,Striker,BM,1,"12""/8""j",0,3,1,0,2,False,2,False,0,False,0,False,0,20,"JMPW1,MEL",0,30,early-republic,sol_7
2027,Mantis SA-MN,,Mantis,SA-MN,30,704,Inner Sphere,5582850,Advanced,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/DGJXwFR/mantis-3055u.png,False,True,1.0,BattleMech,Scout,BM,1,"22""",0,3,1,0,2,False,1,False,0,False,0,False,0,25,"ENE,MEL",0,30,early-republic,sol_7
1121,Flashfire FLS-P4,,Flashfire,FLS-P4,30,712,Inner Sphere,3992300,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3055,13,3050,https://i.ibb.co/jDN3kTT/flashfire-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,1,0,3,False,2,False,0,False,0,False,1,22,HT1/-/-,0,30,early-republic,sol_7
1120,Flashfire FLS-P2,,Flashfire,FLS-P2,30,718,Inner Sphere,3815500,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3054,13,3050,https://i.ibb.co/jDN3kTT/flashfire-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,3,1,0,3,False,2,False,0,False,0,False,1,22,"HT1/-/-,SRM1/1",0,30,early-republic,sol_7
3371,Valiant VLN-3T,,Valiant,VLN-3T,30,852,Inner Sphere,3310840,Experimental,463,TR:J,534,RS:J,https://i.ibb.co/4jf2wfz/era05-jihad.png,3074,14,3068,https://i.ibb.co/CJzLHKq/valiant-3075.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,3,0,2,False,2,False,0,False,0,False,0,25,"ENE,MEL,SHLD",0,30,early-republic,sol_7
