Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8103,Wasp WSP-3X,,Wasp,WSP-3X,20,521,Inner Sphere,0,Experimental,470,XTR:Caveat,470,XTR:Caveat,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3088,15,3081,"https://i.ibb.co/8bqsTX7/wasp-alt-rg.png
",True,True,1.0,BattleMech,Missile Boat,BM,1,"12""j",0,1,1,0,1,False,2,False,1,False,0,False,0,15,IF1,0,20,early-republic,unq
5781,Fireball ALM-XF,,Fireball,ALM-XF,20,612,Inner Sphere,16909240,Experimental,369,XTR:Most Wanted,369,XTR:Most Wanted,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/hMJTvDz/fireball-xtr.png,True,True,1.0,BattleMech,Scout,BM,1,"48""",0,2,1,0,1,False,1,False,0,False,0,False,0,25,ENE,0,20,early-republic,unq
837,Dasher (Fire Moth) (Aletha),,Dasher (Fire Moth),(Aletha),20,1388,Clan,4178425,Standard,193,JTP:Dieron,193,JTP:Dieron,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"26""",0,1,1,0,3,False,3,False,1,False,0,False,0,31,"ECM,ENE,OMNI",0,20,early-republic,unq
6979,Duan Gung (Vaughn),,Duan Gung,(Vaughn),25,851,Inner Sphere,3407083,Standard,400,BD:YZ,400,BD:YZ,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/GPP8M82/duan-gung-3060.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""/12""j",0,3,1,0,2,False,2,False,1,False,0,False,0,27,"IF1,JMPW1",0,25,early-republic,unq
677,Commando COM-7S2 (Freyr),,Commando,COM-7S2 (Freyr),25,1105,Mixed,3666250,Experimental,170,XTR:Pirates,170,XTR:Pirates,https://i.ibb.co/4jf2wfz/era05-jihad.png,3070,14,3068,https://i.ibb.co/K77x55d/commando-xtr.png,True,True,1.0,BattleMech,Striker,BM,1,"10""/12""j",0,4,1,0,3,False,3,False,0,False,0,False,0,26,"CASE,CR",0,25,early-republic,unq
3370,"Valiant VAL-NT-JX ""Hot Knife""",,Valiant,"VAL-NT-JX ""Hot Knife""",30,989,Inner Sphere,6828640,Experimental,179,XTR:Gladiators,179,XTR:Gladiators,https://i.ibb.co/4jf2wfz/era05-jihad.png,3076,14,3068,https://i.ibb.co/dmX4yJw/valiant-xtr.png,True,True,1.0,BattleMech,Striker,BM,1,"18""",0,3,2,0,2,False,2,False,0,False,0,False,0,28,"ENE,MEL,SHLD",0,30,early-republic,unq
5562,Anubis ABS-3MC,,Anubis,ABS-3MC,30,1074,Inner Sphere,6010940,Experimental,361,XTR:Periphery,361,XTR:Periphery,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3081,15,3081,https://i.ibb.co/mJ1X25t/anubis-xtr.png,True,True,2.0,BattleMech,Missile Boat,BM,1,"16""",0,3,1,0,2,False,2,False,1,False,0,False,0,32,"AECM,IF1,STL",0,30,early-republic,unq
5808,Javelin JVN-11D (Farrell),,Javelin,JVN-11D (Farrell),30,1155,Inner Sphere,4569240,Standard,365,BD:BH,365,BD:BH,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/VLykXhJ/javelin-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,1,0,3,False,3,False,0,False,0,False,1,27,"ENE,PRB,RCN",0,30,early-republic,unq
1697,Jenner JR7-K (Samuli),,Jenner,JR7-K (Samuli),35,1001,Inner Sphere,5821425,Standard,236,RS:UM,236,RS:UM,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/2cQmRWW/jenner-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"14""/10""j",0,2,2,0,2,False,2,False,1,False,0,False,1,26,"CASE,IF1,JMPW1",0,35,early-republic,unq
9239,Rattlesnake JR7-31P,,Rattlesnake,JR7-31P,35,1323,Inner Sphere,0,Standard,508,Shrap09,464,ShrapRS,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3043,256,3020,https://i.ibb.co/2cQmRWW/jenner-rg.png,True,True,1.0,BattleMech,Striker,bm,1,"14""j",0,4,2,0,4,False,4,False,0,False,0,False,0,43,"C3S,ENE,MHQ1",0,35,early-republic,unq
