Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,early-succession-war,c_b
8128,Stinger C 2,,Stinger,C 2,20,754,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2838,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,ENE,0,20,early-succession-war,c_b
3538,Whitworth WTH-1,,Whitworth,WTH-1,40,982,Inner Sphere,2912933,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2689,10,2571,https://i.ibb.co/CsRjY19/whitworth-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,2,"8""j",0,4,3,0,2,False,2,False,2,False,0,False,1,25,IF1,0,40,early-succession-war,c_b
3597,Wyvern WVE-5N,Wyvern,Wyvern,WVE-5N,45,1089,Inner Sphere,3475215,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2660,10,2571,https://i.ibb.co/6yt14B6/wyvern-3050u.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""j",0,5,4,0,2,False,2,False,1,False,0,False,1,27,"CASE,IF1",0,45,early-succession-war,c_b
1284,Great Wyrm  ,,Great Wyrm, ,45,1331,Clan,4064133,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2844,11,2781,https://i.ibb.co/rcpb8f2/great-wyrm-3060.png,True,True,1.0,BattleMech,Brawler,BM,2,"10""",0,4,4,0,4,False,4,False,2,False,0,False,0,36,"CASE,IF1",0,45,early-succession-war,c_b
3601,Wyvern IIC  ,,Wyvern IIC, ,45,1624,Clan,4060290,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2843,11,2781,https://i.ibb.co/Sc3kKQW/wyvern-iic-3060.png,True,True,1.0,BattleMech,Skirmisher,BM,2,"8""j",0,5,4,0,4,False,4,False,2,False,0,False,1,34,"CASE,IF1",0,45,early-succession-war,c_b
1552,Hunchback HBK-4G,,Hunchback,HBK-4G,50,1041,Inner Sphere,3467875,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2572,10,2571,https://i.ibb.co/xL9wy34/hunchback-rg.png,True,True,1.0,BattleMech,Juggernaut,BM,2,"8""",0,5,4,0,4,False,3,False,0,False,0,False,0,28,AC2/2/-,0,50,early-succession-war,c_b
7626,Lancelot C,,Lancelot,C,60,1960,Clan,13305600,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/ccGh0QD/lancelot-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,3,"12""",0,5,3,0,4,False,4,False,4,False,0,False,0,39,ENE,0,60,early-succession-war,c_b
7638,Vision Quest  ,,Vision Quest, ,60,2458,Clan,12484480,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/F6g02Vy/vision-quest.png,False,True,2.0,BattleMech,Brawler,BM,3,"10""",0,7,3,0,4,False,4,False,2,False,0,False,3,43,CASE,0,60,early-succession-war,c_b
7627,Lancelot C 2,,Lancelot,C 2,60,2571,Clan,14771200,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2857,11,2781,https://i.ibb.co/ccGh0QD/lancelot-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"16""",0,5,3,0,4,False,3,False,4,False,0,False,1,48,ENE,0,60,early-succession-war,c_b
533,Cestus CTS-6Y,,Cestus,CTS-6Y,65,1701,Inner Sphere,11327360,Standard,240,TR:3058U,255,RS:3058Uu-C,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2766,10,2571,https://i.ibb.co/0QdWhDy/cestus-3058u.png,True,True,1.0,BattleMech,Brawler,BM,3,"8""",0,7,3,0,4,False,5,False,2,False,0,False,0,37,,0,65,early-succession-war,c_b
9236,Spirit Walker A,,Spirit Walker,A,75,1990,Clan,0,Standard,507,TP:Foster,507,TP:Foster,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Fg8KWrd/black-knight-rg.png,False,True,1.0,BattleMech,Brawler,bm,3,"8""",0,6,6,0,6,False,6,False,2,False,0,False,0,46,"CASE,PRB,RCN,OMNI",0,75,early-succession-war,c_b
9237,Spirit Walker Prime,,Spirit Walker,Prime,75,2115,Clan,0,Standard,507,TP:Foster,507,TP:Foster,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Fg8KWrd/black-knight-rg.png,False,True,1.0,BattleMech,Sniper,bm,3,"8""",0,6,6,0,4,False,4,False,2,False,0,False,4,43,"ENE,OVL,PRB,RCN,OMNI",0,75,early-succession-war,c_b
3403,Victor C,,Victor,C,80,1925,Mixed,8532120,Standard,497,Shrap06,464,ShrapRS,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2835,11,2781,https://i.ibb.co/MM4ZZHL/victor-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,4,"8""j",0,6,6,0,4,False,4,False,2,False,0,False,0,38,CASE,0,80,early-succession-war,c_b
2934,Shogun SHG-2H,,Shogun,SHG-2H,85,2087,Inner Sphere,9100150,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2777,10,2571,https://i.ibb.co/mDZbXFn/shogun-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,4,"6""j",0,9,7,0,4,False,5,False,4,False,0,False,2,52,"CASE,IF2",0,85,early-succession-war,c_b
726,Crockett CRK-5003-1b,Crockett,Crockett,CRK-5003-1b,85,2307,Inner Sphere,8538675,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2752,10,2571,https://i.ibb.co/Y2Xz4hw/crockett-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""j",0,9,7,0,5,False,5,False,4,False,0,False,2,51,,0,85,early-succession-war,c_b
2931,Shogun C,,Shogun,C,85,3032,Clan,10139850,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2850,11,2781,https://i.ibb.co/mDZbXFn/shogun-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,4,"6""j",0,8,7,0,7,False,7,False,5,False,0,False,2,58,"CASE,IF2",0,85,early-succession-war,c_b
38,Annihilator ANH-1X,,Annihilator,ANH-1X,100,1926,Inner Sphere,9945167,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2779,10,2571,https://i.ibb.co/rfgsB66/annihilator-rg.png,True,True,1.0,BattleMech,Juggernaut,BM,4,"4""",0,10,8,0,5,False,4,False,3,False,0,False,1,48,"CASE,FLK2/2/3",0,100,early-succession-war,c_b
1772,King Crab KGC-000b,,King Crab,KGC-000b,100,2039,Inner Sphere,10546000,Standard,189,TR:3075,228,RS:3075u-AW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/5rQwn1f/king-crab-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,10,8,0,6,False,6,False,1,False,0,False,0,54,"AC4/4/-,CASE,IF1",0,100,early-succession-war,c_b
1607,Imp IMP-1A,,Imp,IMP-1A,100,2215,Inner Sphere,10828500,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2793,11,2781,https://i.ibb.co/dJyX68Y/imp-opk.png,True,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,10,8,0,5,False,5,False,4,False,0,False,2,55,"CASE,IF1",0,100,early-succession-war,c_b
3750,Atlas C,,Atlas,C,100,2340,Mixed,10424000,Standard,539,RGv1,494,RG24,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2830,11,2781,https://i.ibb.co/VtHKQ7Q/atlas-rg.png,False,True,2.0,BattleMech,Juggernaut,BM,4,"6""",0,10,8,0,6,False,6,False,2,False,0,False,0,55,"CASE,IF1,LRM1/1/1,REAR1/1/-",0,100,early-succession-war,c_b
1608,Imp IMP-1B,,Imp,IMP-1B,100,2349,Inner Sphere,11258000,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2821,11,2781,https://i.ibb.co/dJyX68Y/imp-opk.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,10,8,0,5,False,5,False,4,False,0,False,2,57,"CASE,ECM,IF1",0,100,early-succession-war,c_b
1609,Imp IMP-1C,,Imp,IMP-1C,100,2480,Inner Sphere,10736500,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2825,11,2781,https://i.ibb.co/dJyX68Y/imp-opk.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,10,8,0,5,False,5,False,4,False,0,False,2,56,ECM,0,100,early-succession-war,c_b
3222,Thunder Hawk TDK-7X,,Thunder Hawk,TDK-7X,100,2577,Inner Sphere,22162000,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2771,10,2571,https://i.ibb.co/qg0ntpt/thunder-hawk-rg.png,True,True,1.0,BattleMech,Sniper,BM,4,"6""",0,10,4,0,5,False,5,False,5,False,0,False,2,51,,0,100,early-succession-war,c_b
1606,Imp C,,Imp,C,100,3070,Clan,11010000,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2863,11,2781,https://i.ibb.co/dJyX68Y/imp-opk.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,10,8,0,8,False,8,False,5,False,0,False,1,65,"CASE,IF1",0,100,early-succession-war,c_b
