Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8127,Stinger C,,Stinger,C,20,592,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,CASE,0,20,early-succession-war,c_ih
3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,early-succession-war,c_ih
1602,Icestorm  ,,Icestorm, ,25,728,Clan,4423750,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2830,11,2781,https://i.ibb.co/wLLWmM2/icestorm-3060.png,True,True,1.0,BattleMech,Scout,BM,1,"24""",0,2,1,0,1,False,1,False,0,False,0,False,0,20,"CASE,TAG",0,25,early-succession-war,c_ih
1915,Locust IIC 2,,Locust IIC,2,25,937,Clan,2162292,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2837,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,3,False,3,False,0,False,0,False,0,32,CASE,0,25,early-succession-war,c_ih
7603,Mongoose C,,Mongoose,C,25,1386,Clan,3856979,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2833,11,2781,https://i.ibb.co/WvKsqBs/mongoose-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,3,1,0,3,False,3,False,1,False,0,False,0,34,"ENE,PRB,RCN",0,25,early-succession-war,c_ih
7605,Drift Shag  ,,Drift Shag, ,30,1512,Clan,4783740,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2827,11,2781,https://i.ibb.co/qFMxvt6/falcon-3050u.png,True,True,1.0,BattleMech,Scout,BM,1,"14""/12""j",0,3,2,0,4,False,4,False,1,False,0,False,0,38,"ENE,JMPW1",0,30,early-succession-war,c_ih
3152,Talon TLN-5V,,Talon,TLN-5V,35,1075,Inner Sphere,5899275,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2670,10,2571,https://i.ibb.co/d0LZ28G/talon-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,4,2,0,2,False,2,False,1,False,0,False,0,31,ENE,0,35,early-succession-war,c_ih
3002,Spector SPR-4F,,Spector,SPR-4F,35,1224,Inner Sphere,8756730,Experimental,422,TR:SW,255,RS:3058Uu-C,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2640,10,2571,https://i.ibb.co/gZ1zkJq/spector-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""j",0,4,2,0,2,False,2,False,0,False,0,False,0,35,"ECM,ENE,STL",0,35,early-succession-war,c_ih
7677,Talon TLN-5W-EC,,Talon,TLN-5W-EC,35,1364,Mixed,6034275,Experimental,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2823,11,2781,https://i.ibb.co/d0LZ28G/talon-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,4,2,0,3,False,3,False,2,False,0,False,0,37,ENE,0,35,early-succession-war,c_ih
2472,Peregrine (Horned Owl)  ,,Peregrine (Horned Owl), ,35,1434,Clan,3487860,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2835,11,2781,https://i.ibb.co/Wpj8r3z/peregrine-horned-owl-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,3,0,3,False,3,False,2,False,0,False,0,28,ENE,0,35,early-succession-war,c_ih
