Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3523,Wasp WSP-1L,,Wasp,WSP-1L,20,335,Inner Sphere,1656720,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2799,11,2781,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,early-succession-war,cc
1897,Locust LCT-1E,,Locust,LCT-1E,20,553,Inner Sphere,1574200,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2811,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,2,False,1,False,0,False,0,False,0,19,ENE,0,20,early-succession-war,cc
4624,Mercury MCY-98,,Mercury,MCY-98,20,553,Inner Sphere,1580440,Introductory,321,TR:3025r,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2810,11,2781,https://i.ibb.co/SdyFM0N/mercury-rg.png,False,True,2.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,2,False,1,False,0,False,0,False,0,19,ENE,0,20,early-succession-war,cc
2967,Sling SL-1G,,Sling,SL-1G,25,578,Inner Sphere,3277083,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2766,10,2571,https://i.ibb.co/xGWFJtF/sling-hok.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""/12""j",0,2,1,0,1,False,1,False,1,False,0,False,0,19,"IF1,TAG,JMPW1",0,25,early-succession-war,cc
1485,Hermes HER-1A,,Hermes,HER-1A,30,601,Inner Sphere,2569970,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/6ng4fnN/hermes-3039.png,True,True,1.0,BattleMech,Scout,BM,1,"18""",0,2,3,0,2,False,1,False,0,False,0,False,0,21,ENE,0,30,early-succession-war,cc
1022,Falcon FLC-4N,,Falcon,FLC-4N,30,610,Inner Sphere,2249390,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2582,10,2571,https://i.ibb.co/6Xrnn8p/falcon-3039.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,1,False,0,False,0,False,0,19,REAR0*/-/-,0,30,early-succession-war,cc
1486,Hermes HER-1B,,Hermes,HER-1B,30,687,Inner Sphere,2612220,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/6ng4fnN/hermes-3039.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,3,0,2,False,2,False,0,False,0,False,0,25,ENE,0,30,early-succession-war,cc
1487,Hermes HER-1S,,Hermes,HER-1S,30,716,Inner Sphere,2701270,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2632,10,2571,https://i.ibb.co/QYqFYmz/hermes-3050u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,3,3,0,2,False,1,False,0,False,0,False,0,25,ENE,0,30,early-succession-war,cc
4172,Firefly FFL-3A,,Firefly,FFL-3A,30,797,Inner Sphere,3692000,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2679,10,2571,https://i.ibb.co/Zdv8xTB/firefly-rg.png,False,True,2.0,BattleMech,Striker,BM,1,"10""/8""j",0,4,1,0,3,False,2,False,0,True,0,False,0,24,"CASE,IF0*,JMPW1,TAG",0,30,early-succession-war,cc
2424,Panther PNT-8Z,,Panther,PNT-8Z,35,741,Inner Sphere,2366910,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2739,10,2571,https://i.ibb.co/TbxKkyQ/panther-rg.png,False,True,1.0,BattleMech,Brawler,BM,1,"8""j",0,4,3,0,2,False,2,False,0,False,0,False,0,20,,0,35,early-succession-war,cc
1097,Firestarter FS9-K,,Firestarter,FS9-K,35,763,Inner Sphere,3069225,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2550,9,2005,https://i.ibb.co/vY5ch3G/firestarter-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,1,False,0,False,0,False,0,19,"ENE,REAR0*/-/-",0,35,early-succession-war,cc
2425,Panther PNT-9R,,Panther,PNT-9R,35,769,Inner Sphere,2485710,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2759,10,2571,https://i.ibb.co/TbxKkyQ/panther-rg.png,True,True,1.0,BattleMech,Brawler,BM,1,"8""j",0,3,3,0,2,False,2,False,1,False,0,False,0,19,,0,35,early-succession-war,cc
1079,Firebee FRB-2E,,Firebee,FRB-2E,35,808,Inner Sphere,2536830,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2524,9,2005,https://i.ibb.co/KGHy6Tb/firebee-pc.png,True,True,1.0,BattleMech,Brawler,BM,1,"10""j",0,3,3,0,1,False,1,False,0,False,0,False,1,18,,0,35,early-succession-war,cc
648,Clint CLNT-2-4T,,Clint,CLNT-2-4T,40,619,Inner Sphere,3143280,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,Unknown,10,2571,https://i.ibb.co/K02WmGs/clint-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"12""",0,2,3,0,1,False,1,False,0,True,0,False,0,16,,0,40,early-succession-war,cc
592,Cicada CDA-2B,,Cicada,CDA-2B,40,626,Inner Sphere,3692967,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2840,11,2781,https://i.ibb.co/WWrgL7c/cicada-rg.png,False,True,1.0,BattleMech,Scout,BM,2,"16""",0,2,3,0,2,False,1,False,0,False,0,False,0,22,ENE,0,40,early-succession-war,cc
643,Clint CLNT-1-2R,,Clint,CLNT-1-2R,40,707,Inner Sphere,3220280,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2607,10,2571,https://i.ibb.co/K02WmGs/clint-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"12""",0,2,3,0,2,False,2,False,0,False,0,False,0,19,AC1/1/-,0,40,early-succession-war,cc
