Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
1136,Flea FLE-15,,Flea,FLE-15,20,430,Inner Sphere,1520400,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2523,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,2,2,0,2,False,1,False,0,False,0,False,0,14,REAR1/-/-,0,20,early-succession-war,oa
1140,Flea FLE-4,,Flea,FLE-4,20,432,Inner Sphere,1519200,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2501,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,1,2,0,2,False,1,False,0,False,0,False,0,12,"ENE,REAR0*/-/-",0,20,early-succession-war,oa
1545,Hornet HNT-151,,Hornet,HNT-151,20,488,Inner Sphere,1248700,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2760,10,2571,https://i.ibb.co/sFLhSFb/hornet-wdsb.png,True,True,1.0,BattleMech,Striker,BM,1,"10""j",0,2,2,0,1,False,1,False,0,True,0,False,0,14,IF0*,0,20,early-succession-war,oa
3191,Thorn THE-N,,Thorn,THE-N,20,546,Inner Sphere,1653120,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2549,9,2005,https://i.ibb.co/8Mq68tW/thorn-3050u.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,"CASE,IF0*",0,20,early-succession-war,oa
2208,Mongoose MON-66,,Mongoose,MON-66,25,758,Inner Sphere,2229479,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2660,10,2571,https://i.ibb.co/WvKsqBs/mongoose-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,3,2,0,2,False,2,False,0,False,0,False,0,30,"ENE,PRB,RCN",0,25,early-succession-war,oa
3354,UrbanMech UM-R60,,UrbanMech,UM-R60,30,504,Inner Sphere,1471925,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2675,10,2571,https://i.ibb.co/yPv4pnB/urbanmech-rg.png,True,True,1.0,BattleMech,Ambusher,BM,1,"4""j",0,3,3,0,2,False,1,False,0,False,0,False,0,11,AC1/1/-,0,30,early-succession-war,oa
1675,Javelin JVN-10N,,Javelin,JVN-10N,30,594,Inner Sphere,2400840,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2751,10,2571,https://i.ibb.co/VLykXhJ/javelin-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,2,3,0,2,False,2,False,0,False,0,False,0,19,SRM2/2,0,30,early-succession-war,oa
1022,Falcon FLC-4N,,Falcon,FLC-4N,30,610,Inner Sphere,2249390,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2582,10,2571,https://i.ibb.co/6Xrnn8p/falcon-3039.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,1,False,0,False,0,False,0,19,REAR0*/-/-,0,30,early-succession-war,oa
3010,Spider SDR-5V,,Spider,SDR-5V,30,622,Inner Sphere,2984540,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2650,10,2571,https://i.ibb.co/w7RvDYD/spider-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,3,0,1,False,1,False,0,False,0,False,0,21,ENE,0,30,early-succession-war,oa
7429,Javelin JVN-10A,,Javelin,JVN-10A,30,653,Inner Sphere,2389140,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2752,10,2571,https://i.ibb.co/VLykXhJ/javelin-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""j",0,2,3,0,0,True,1,False,1,False,0,False,0,17,IF1,0,30,early-succession-war,oa
1487,Hermes HER-1S,,Hermes,HER-1S,30,716,Inner Sphere,2701270,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2632,10,2571,https://i.ibb.co/QYqFYmz/hermes-3050u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,3,3,0,2,False,1,False,0,False,0,False,0,25,ENE,0,30,early-succession-war,oa
1692,Jenner JR7-D,,Jenner,JR7-D,35,875,Inner Sphere,3198375,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2785,11,2781,https://i.ibb.co/2cQmRWW/jenner-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"14""/10""j",0,2,3,0,2,False,2,False,0,False,0,False,1,26,JMPW1,0,35,early-succession-war,oa
