Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8126,Stinger STG-6M,,Stinger,STG-6M,20,503,Inner Sphere,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3097,15,3081,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,15,"AMS, ENE",0,20,ilclan,fwl_cp
7495,Wasp WSP-5A,,Wasp,WSP-5A,20,517,Inner Sphere,3192640,Standard,539,RGv1,432,RG04,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3114,254,3101,https://i.ibb.co/0XxvcQF/wasp-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,1,0,1,False,1,False,0,False,0,False,0,17,CASEII,0,20,ilclan,fwl_cp
8202,Locust LCT-7V2,,Locust,LCT-7V2,20,634,Inner Sphere,0,Standard,539,RGv1,474,RG16,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3112,254,3101,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Sniper,BM,1,"20""",0,2,1,0,1,False,2,False,1,False,0,False,0,25,ENE,0,20,ilclan,fwl_cp
7601,Locust C,,Locust,C,20,672,Mixed,1550200,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,ENE,0,20,ilclan,fwl_cp
2534,Piranha 4,,Piranha,4,20,1063,Clan,2758140,Standard,436,TR:CI,257,RS:3085u-ONN,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/bdG1GbP/piranha-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,1,0,3,False,2,False,0,False,0,False,0,23,CASE,0,20,ilclan,fwl_cp
8122,Piranha 5,,Piranha,5,20,1132,Clan,0,Standard,471,RG13,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3140,16,3131,https://i.ibb.co/bdG1GbP/piranha-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"22""",0,2,1,0,5,False,3,False,0,False,0,False,0,33,CASE,0,20,ilclan,fwl_cp
2537,Piranha 3,,Piranha,3,20,1142,Clan,2844240,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/bdG1GbP/piranha-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,1,0,5,False,2,False,0,False,0,False,0,28,"ENE,LPRB,RCN",0,20,ilclan,fwl_cp
6500,Gambit GBT-1G,,Gambit,GBT-1G,25,777,Inner Sphere,3218750,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3136,16,3131,https://i.ibb.co/41xs7X1/gambit-3145.png,True,True,1.0,BattleMech,Striker,BM,1,"14""",0,3,1,0,2,False,2,False,2,False,0,False,0,27,"CASE,IF0*",0,25,ilclan,fwl_cp
6501,Gambit GBT-1L,,Gambit,GBT-1L,25,796,Inner Sphere,3150000,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3136,16,3131,https://i.ibb.co/41xs7X1/gambit-3145.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,3,1,0,1,False,2,False,2,False,0,False,0,26,"ENE,TAG",0,25,ilclan,fwl_cp
61,Arbalest 3,,Arbalest,3,25,921,Clan,2190417,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3081,15,3081,https://i.ibb.co/89B7WZX/arbalest-3085.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""",0,3,2,0,4,False,4,False,2,False,0,False,0,30,"CASE,IF1,LRM1/1/1",0,25,ilclan,fwl_cp
62,Arbalest  ,,Arbalest, ,25,1029,Clan,2515417,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/89B7WZX/arbalest-3085.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"10""",0,2,2,0,3,False,3,False,2,False,0,False,0,26,"CASE,ECM,IF1,LRM1/1/1",0,25,ilclan,fwl_cp
60,Arbalest 2,,Arbalest,2,25,1098,Clan,2477917,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/4jf2wfz/era05-jihad.png,3079,14,3068,https://i.ibb.co/89B7WZX/arbalest-3085.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"12""",0,3,2,0,2,False,2,False,1,False,0,False,0,24,"CASE,ECM,IF1",0,25,ilclan,fwl_cp
722,Crimson Hawk 2,,Crimson Hawk,2,25,1271,Clan,3259167,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/4jf2wfz/era05-jihad.png,3073,14,3068,https://i.ibb.co/5Rg2Fcj/crimson-hawk-3075.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""j",0,3,1,0,2,False,2,False,0,False,0,False,2,20,ENE,0,25,ilclan,fwl_cp
5097,Solitaire  ,,Solitaire, ,25,1284,Clan,4507083,Standard,463,TR:J,534,RS:J,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3064,247,3062,https://i.ibb.co/71V7X2G/solitaire-3067.png,True,True,1.2,BattleMech,Striker,BM,1,"20""",0,3,1,0,3,False,3,False,0,False,0,False,1,36,ENE,0,25,ilclan,fwl_cp
721,Crimson Hawk  ,,Crimson Hawk, ,25,1285,Clan,3134167,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/5Rg2Fcj/crimson-hawk-3075.png,True,True,1.0,BattleMech,Sniper,BM,1,"10""j",0,3,1,0,2,False,2,False,2,False,0,False,0,21,ENE,0,25,ilclan,fwl_cp
6944,Crimson Hawk 4,,Crimson Hawk,4,25,1372,Clan,3108229,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3099,15,3081,https://i.ibb.co/5Rg2Fcj/crimson-hawk-3075.png,False,True,1.0,BattleMech,Striker,BM,1,"10""/6""j",0,3,1,0,3,False,3,False,2,False,0,False,0,25,"CASE,JMPW1",0,25,ilclan,fwl_cp
5655,Solitaire 2,,Solitaire,2,25,1471,Clan,4694583,Standard,463,TR:J,367,RS:3067u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3080,14,3068,https://i.ibb.co/71V7X2G/solitaire-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"26""",0,3,1,0,3,False,2,False,0,False,0,False,1,32,ENE,0,25,ilclan,fwl_cp
8306,Spider SDR-9M,,Spider,SDR-9M,30,687,Inner Sphere,0,Standard,489,RG19,489,RG19,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3096,15,3081,https://i.ibb.co/w7RvDYD/spider-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,3,1,0,3,False,2,False,0,False,0,False,0,27,ENE,0,30,ilclan,fwl_cp
3443,Vixen (Incubus) 3,,Vixen (Incubus),3,30,1324,Clan,5326490,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3025,256,3020,https://i.ibb.co/ncN4JKP/vixen-incubus-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,4,2,0,4,False,3,False,0,False,0,False,0,36,CASE,0,30,ilclan,fwl_cp
