Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
6671,Celerity CLR-03-O,,Celerity,CLR-03-O,15,187,Inner Sphere,9911563,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,True,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,False,0,False,0,False,0,False,0,15,"C3S,DRO,ENE,MHQ1,OMNI,TAG",0,15,ilclan,merc
6706,Celerity CLR-03-OC,,Celerity,CLR-03-OC,15,202,Inner Sphere,9841125,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,False,0,False,0,False,0,False,0,16,"DRO,ENE,OMNI,PRB,RCN,RSD1",0,15,ilclan,merc
6704,Celerity CLR-03-OA,,Celerity,CLR-03-OA,15,275,Mixed,9741938,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,True,0,True,0,False,0,False,0,16,"DRO,ENE,OMNI",0,15,ilclan,merc
6707,Celerity CLR-03-OD,,Celerity,CLR-03-OD,15,304,Inner Sphere,9523438,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,True,0,True,0,False,0,False,0,16,"DRO,ENE,OMNI",0,15,ilclan,merc
6705,Celerity CLR-03-OB,,Celerity,CLR-03-OB,15,339,Inner Sphere,10558438,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,False,0,False,0,False,0,False,0,16,"AECM,DRO,ENE,OMNI",0,15,ilclan,merc
7292,Roadrunner (Emerald Harrier) RD-1R,,Roadrunner (Emerald Harrier),RD-1R,15,888,Clan,2689850,Experimental,441,TR:3150,375,XTR:RotS 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2920,255,2901,https://i.ibb.co/V2FSLgK/roadrunner-emerald-harrier-3150.jpg,True,True,1.0,BattleMech,Scout,BM,1,"28""",0,1,1,0,2,False,2,False,0,False,0,False,0,22,ENE,0,15,ilclan,merc
6708,Celerity CLR-03-OE,,Celerity,CLR-03-OE,15,919,Mixed,9810938,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,2,False,2,False,0,False,0,False,0,27,"DRO,OMNI",0,15,ilclan,merc
3065,Stinger STG-5T,,Stinger,STG-5T,20,341,Inner Sphere,4412640,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/vHNbLn3/stinger-5r-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,1,0,1,False,1,False,0,True,0,False,0,14,IF0*,0,20,ilclan,merc
3530,Wasp WSP-3W,,Wasp,WSP-3W,20,342,Inner Sphere,1658640,Standard,539,RGv1,432,RG04,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3050,13,3050,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,1,2,0,2,False,0,False,0,False,0,False,0,10,ENE,0,20,ilclan,merc
3061,Stinger STG-3R,,Stinger,STG-3R,20,359,Inner Sphere,1615440,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2479,9,2005,https://i.ibb.co/0KwFP6Y/stinger-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,ilclan,merc
