Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8366,"Celerity CLR-03-OMM ""Rajah""",,Celerity,"CLR-03-OMM ""Rajah""",15,278,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3142,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,1,1,0,1,False,1,False,0,False,0,False,0,14,"DRO,ENE,MEL",0,15,ilclan,sol_7
8122,Piranha 5,,Piranha,5,20,1132,Clan,0,Standard,471,RG13,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3140,16,3131,https://i.ibb.co/bdG1GbP/piranha-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"22""",0,2,1,0,5,False,3,False,0,False,0,False,0,33,CASE,0,20,ilclan,sol_7
1837,Koto KTO-2A,,Koto,KTO-2A,25,977,Inner Sphere,3677604,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3057,13,3050,https://i.ibb.co/t2Y3MzK/koto-3055u.png,True,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,2,False,2,False,0,False,0,False,1,26,ENE,0,25,ilclan,sol_7
1839,Koto KTO-4A,,Koto,KTO-4A,25,1073,Inner Sphere,3708854,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/t2Y3MzK/koto-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,2,False,2,False,1,False,0,False,1,27,ENE,0,25,ilclan,sol_7
8367,"Gunsmith CH11-NGC ""Cinderella""",,Gunsmith,"CH11-NGC ""Cinderella""",25,1519,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/hZf2gh8/gunsmith-3145.png,True,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,3,False,3,False,0,False,0,False,0,31,"AMS,ENE,RFA",0,25,ilclan,sol_7
2309,Nyx NX-90,,Nyx,NX-90,30,613,Inner Sphere,5231200,Experimental,463,TR:J,534,RS:J,https://i.ibb.co/4jf2wfz/era05-jihad.png,3080,14,3068,https://i.ibb.co/DRXJmn5/nyx-3085.png,False,True,1.0,BattleMech,Scout,BM,1,"20""",0,3,1,0,1,False,1,False,0,False,0,False,0,24,MEL,0,30,ilclan,sol_7
1122,Flashfire FLS-P5,,Flashfire,FLS-P5,30,654,Inner Sphere,3800550,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/jDN3kTT/flashfire-3055u.png,True,True,1.0,BattleMech,Striker,BM,1,"12""/8""j",0,3,1,0,2,False,2,False,0,False,0,False,0,20,"JMPW1,MEL",0,30,ilclan,sol_7
1121,Flashfire FLS-P4,,Flashfire,FLS-P4,30,712,Inner Sphere,3992300,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3055,13,3050,https://i.ibb.co/jDN3kTT/flashfire-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,1,0,3,False,2,False,0,False,0,False,1,22,HT1/-/-,0,30,ilclan,sol_7
3371,Valiant VLN-3T,,Valiant,VLN-3T,30,852,Inner Sphere,3310840,Experimental,463,TR:J,534,RS:J,https://i.ibb.co/4jf2wfz/era05-jihad.png,3074,14,3068,https://i.ibb.co/CJzLHKq/valiant-3075.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,3,0,2,False,2,False,0,False,0,False,0,25,"ENE,MEL,SHLD",0,30,ilclan,sol_7
3368,Valiant V4-LNT-J3,,Valiant,V4-LNT-J3,30,926,Inner Sphere,3946215,Experimental,463,TR:J,534,RS:J,https://i.ibb.co/4jf2wfz/era05-jihad.png,3074,14,3068,https://i.ibb.co/CJzLHKq/valiant-3075.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,4,2,0,3,False,2,False,0,False,0,False,0,31,"ENE,MEL,SHLD",0,30,ilclan,sol_7
2022,Mantis MTS-L,,Mantis,MTS-L,30,1176,Inner Sphere,9448920,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3064,247,3062,https://i.ibb.co/DGJXwFR/mantis-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"22""",0,3,1,0,3,False,3,False,0,False,0,False,0,37,"ENE,MEL,TSM",0,30,ilclan,sol_7
2024,Mantis MTS-T,,Mantis,MTS-T,30,1312,Inner Sphere,6145750,Advanced,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3063,247,3062,https://i.ibb.co/DGJXwFR/mantis-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"22""",0,3,1,0,3,False,3,False,0,False,0,False,0,36,"ENE,MEL",0,30,ilclan,sol_7
2025,Mantis MTS-T2,,Mantis,MTS-T2,30,1380,Inner Sphere,6243250,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3063,247,3062,https://i.ibb.co/DGJXwFR/mantis-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"22""",0,3,1,0,3,False,3,False,0,False,0,False,0,36,"ENE,MEL,RFA",0,30,ilclan,sol_7
2026,Mantis MTS-T3,,Mantis,MTS-T3,30,1380,Inner Sphere,6243250,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3063,247,3062,https://i.ibb.co/DGJXwFR/mantis-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"22""",0,3,1,0,3,False,3,False,0,False,0,False,0,37,"ENE,MEL,RCA",0,30,ilclan,sol_7
8008,Vixen (Incubus) 6,,Vixen (Incubus),6,30,1599,Clan,0,Experimental,441,TR:3150,467,RS:3150,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3113,254,3101,https://i.ibb.co/k4kx8Bc/vixen-incubus-pp.png,False,True,1.0,BattleMech,Brawler,BM,1,"18""",0,4,1,0,3,False,2,False,2,False,0,False,1,33,"CASE, MEL",0,30,ilclan,sol_7
1946,Longshot LNG-1B,,Longshot,LNG-1B,35,899,Inner Sphere,5760405,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3054,13,3050,https://i.ibb.co/0q57jVz/longshot-3055u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,3,2,0,4,False,3,False,0,False,0,False,0,33,"SNARC,SRM2/2",0,35,ilclan,sol_7
1947,Longshot LNG-2,,Longshot,LNG-2,35,1215,Inner Sphere,6218730,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/0q57jVz/longshot-3055u.png,True,True,1.0,BattleMech,Striker,BM,1,"14""",0,3,2,0,3,False,3,False,0,False,0,False,1,33,RCA,0,35,ilclan,sol_7
6720,Night Stalker NSR-K7,,Night Stalker,NSR-K7,40,857,Inner Sphere,9360377,Advanced,514,TR:DA,535,RS:DA,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3136,16,3131,https://i.ibb.co/6nYfxWG/night-stalker-3145.png,False,True,1.0,BattleMech,Scout,BM,2,"16""",0,4,2,0,2,False,0,True,0,False,0,False,0,27,"ENE,IRA,MEL,TSM",0,40,ilclan,sol_7
8370,"Vulcan VL-5ML ""Aladdin""",,Vulcan,"VL-5ML ""Aladdin""",40,947,Inner Sphere,0,Standard,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3143,16,3131,https://i.ibb.co/q0Gx2rJ/vulcan-rg.png,True,True,1.0,BattleMech,Sniper,BM,2,"12""j",0,3,3,0,1,False,1,False,1,False,0,False,0,29,"AECM,IF1,MEL,SAW,STL",0,40,ilclan,sol_7
2660,Raptor II RPT-5X,,Raptor II,RPT-5X,40,1124,Inner Sphere,10393133,Experimental,463,TR:J,534,RS:J,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3084,15,3081,https://i.ibb.co/5RqYN6M/raptor-ii-3085.png,False,True,1.0,BattleMech,Sniper,BM,2,"14""/10""j",0,4,2,0,2,False,2,False,1,False,0,False,1,36,"ECM,IF1,MAS,OVL,JMPW1",0,40,ilclan,sol_7
8371,"Watchman WTC-4MB ""Belle""",,Watchman,"WTC-4MB ""Belle""",40,1234,Inner Sphere,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3144,16,3131,https://i.ibb.co/FYWgj4m/watchman-3055u.png,True,True,1.0,BattleMech,Scout,BM,2,"10""",0,4,2,0,3,False,3,False,0,False,0,False,0,31,"DCC1,ECM,ENE,LPRB,RCN,WAT",0,40,ilclan,sol_7
3312,Tsunami TS-P1D,,Tsunami,TS-P1D,40,1298,Inner Sphere,4693360,Advanced,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3063,247,3062,https://i.ibb.co/MP39Qn0/tsunami-3055u.png,True,True,1.0,BattleMech,Striker,BM,2,"12""/8""j",0,4,3,0,3,False,3,False,0,False,0,False,0,29,"CASE,TSM,JMPW1",0,40,ilclan,sol_7
2659,Raptor II RPT-3X,,Raptor II,RPT-3X,40,1304,Inner Sphere,10945433,Experimental,463,TR:J,534,RS:J,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3084,15,3081,https://i.ibb.co/5RqYN6M/raptor-ii-3085.png,True,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,3,False,3,False,0,False,0,False,1,39,"ECM,MAS",0,40,ilclan,sol_7
8369,"Clint IIC 2L ""Leia""",,Clint IIC,"2L ""Leia""",40,1497,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3141,16,3131,https://i.ibb.co/TLwZndc/clint-iic-3060.png,True,True,1.0,BattleMech,Striker,BM,2,"12""",0,4,2,0,4,False,3,False,0,False,0,False,1,29,"BRA,ENE",0,40,ilclan,sol_7
8368,"Calliope CAL-1MAFW ""Snow White""",,Calliope,"CAL-1MAFW ""Snow White""",40,1668,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3141,16,3131,https://i.ibb.co/tmQDBRt/calliope-3150.png,True,True,1.0,BattleMech,Brawler,bm,2,"10""",0,5,3,0,3,False,3,False,1,False,0,False,1,32,"CASE,CR",0,40,ilclan,sol_7
6919,Dasher II 4,,Dasher II,4,40,1749,Mixed,26752997,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3136,16,3131,https://i.ibb.co/Q65WQF3/dasher-ii-3085.png,False,True,1.0,BattleMech,Striker,BM,2,"12""/16""j",0,4,2,0,3,False,2,False,2,False,0,False,1,36,"CASE,CR,IF1,JMPS1,MEL,TSM",0,40,ilclan,sol_7
6918,Raptor II RPT-2X2,,Raptor II,RPT-2X2,40,1868,Inner Sphere,12665333,Experimental,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3109,254,3101,https://i.ibb.co/FnV3G2g/raptor-ii-jsbd.png,False,True,1.0,BattleMech,Striker,BM,2,"18""",0,4,2,0,2,False,1,False,0,False,0,False,1,36,"AECM,MAS,TSEMP1",0,40,ilclan,sol_7
8352,Kontio  ,,Kontio, ,40,1912,Clan,0,Standard,491,RG21,491,RG21,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3145,16,3131,https://i.ibb.co/P6Y59qm/kontio-rg.png,True,True,1.0,BattleMech,Striker,BM,2,"18""",0,5,2,0,4,False,4,False,0,False,0,False,1,52,"ECM,ENE,MEL,STL,TSM",0,40,ilclan,sol_7
792,Daedalus DAD-4B,,Daedalus,DAD-4B,45,1431,Inner Sphere,12004695,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/6tfNYqK/daedalus-3055u.png,False,True,1.0,BattleMech,Striker,BM,2,"16""/12""j",0,5,2,0,4,False,4,False,0,False,0,False,0,45,JMPW1,0,45,ilclan,sol_7
791,Daedalus DAD-4A,,Daedalus,DAD-4A,45,1466,Inner Sphere,13109595,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3064,247,3062,https://i.ibb.co/6tfNYqK/daedalus-3055u.png,False,True,1.0,BattleMech,Striker,BM,2,"16""/12""j",0,5,2,0,4,False,4,False,0,False,0,False,0,46,"JMPW1,TSM",0,45,ilclan,sol_7
8372,"Phoenix Hawk PXH-7KJ ""Jasmine""",,Phoenix Hawk,"PXH-7KJ ""Jasmine""",45,1513,Inner Sphere,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3142,16,3131,https://i.ibb.co/SxhV7wX/phoenix-hawk-3085.png,True,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,2,0,2,False,2,False,0,True,0,False,0,29,"AECM,DCC1,ENE",0,45,ilclan,sol_7
790,Daedalus DAD-3D,,Daedalus,DAD-3D,45,1729,Inner Sphere,9336695,Experimental,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3062,247,3062,https://i.ibb.co/6tfNYqK/daedalus-3055u.png,True,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,2,0,3,False,3,False,0,False,0,False,1,32,"ENE,TSM",0,45,ilclan,sol_7
