Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3531,Wasp WSP-7MAF,,Wasp,WSP-7MAF,20,488,Inner Sphere,3023920,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/h14bPpZ/wasp-3085.png,False,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,1,0,2,False,1,False,0,True,0,False,0,19,IF0*,0,20,ilclan,tc
1909,Locust LCT-5T,,Locust,LCT-5T,20,520,Inner Sphere,2462500,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3070,14,3068,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,1,0,2,False,2,False,0,False,0,False,0,22,CASE,0,20,ilclan,tc
3527,Wasp WSP-3L,,Wasp,WSP-3L,20,534,Inner Sphere,4210320,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/rkZXR1P/wasp-3l-pp.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,0,True,0,True,0,True,0,False,0,18,"ECM,ENE,STL",0,20,ilclan,tc
3062,Stinger STG-5G,,Stinger,STG-5G,20,614,Inner Sphere,4807040,Experimental,539,RGv1,471,RG13,https://i.ibb.co/4jf2wfz/era05-jihad.png,3076,14,3068,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""/12""j",0,2,1,0,0,True,1,False,1,False,0,False,0,17,"ENE,JMPW1",0,20,ilclan,tc
8202,Locust LCT-7V2,,Locust,LCT-7V2,20,634,Inner Sphere,0,Standard,539,RGv1,474,RG16,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3112,254,3101,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Sniper,BM,1,"20""",0,2,1,0,1,False,2,False,1,False,0,False,0,25,ENE,0,20,ilclan,tc
6452,Gùn GN-2OB,,Gùn,GN-2OB,20,639,Inner Sphere,0,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3134,16,3131,https://i.ibb.co/hHh8dvG/gun-3145.png,False,True,1.0,BattleMech,Sniper,BM,1,"10""",0,2,2,0,1,False,1,False,1,False,0,False,0,21,"AECM,BH,ENE,OMNI,RCN,TAG",0,20,ilclan,tc
7601,Locust C,,Locust,C,20,672,Mixed,1550200,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,ENE,0,20,ilclan,tc
6451,Gùn GN-2OA,,Gùn,GN-2OA,20,685,Inner Sphere,0,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3134,16,3131,https://i.ibb.co/hHh8dvG/gun-3145.png,False,True,1.0,BattleMech,Sniper,BM,1,"10""",0,2,2,0,2,False,2,False,2,False,0,False,0,19,"ENE,OMNI",0,20,ilclan,tc
6450,Gùn GN-2O,,Gùn,GN-2O,20,775,Inner Sphere,0,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3134,16,3131,https://i.ibb.co/hHh8dvG/gun-3145.png,False,True,1.0,BattleMech,Striker,BM,1,"10""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,"ENE,OMNI",0,20,ilclan,tc
935,Duan Gung D9-G9,,Duan Gung,D9-G9,25,737,Inner Sphere,3344583,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/GPP8M82/duan-gung-3060.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""/12""j",0,2,1,0,2,False,2,False,1,False,0,False,0,24,"IF1,JMPW1",0,25,ilclan,tc
