Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
7568,Baboon (Howler) 4,,Baboon (Howler),4,20,506,Clan,1929440,Standard,539,RGv1,438,RG08,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2877,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""j",0,2,2,0,0,True,0,True,0,True,0,False,0,17,"CASE,IF0*",0,20,jihad,c_b
189,Baboon (Howler)  ,,Baboon (Howler), ,20,645,Clan,1826240,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2871,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,2,0,1,False,1,False,1,False,0,False,0,20,"CASE,IF1",0,20,jihad,c_b
7601,Locust C,,Locust,C,20,672,Mixed,1550200,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,ENE,0,20,jihad,c_b
3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,jihad,c_b
8128,Stinger C 2,,Stinger,C 2,20,754,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2838,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,ENE,0,20,jihad,c_b
5638,Cephalus B,,Cephalus,B,25,785,Mixed,20793490,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Scout,BM,1,"20""",0,3,1,0,0,True,0,False,0,False,0,False,0,29,"CASE,CR,ECM,LTAG,MHQ1,MTAS1,NOVA,OMNI,PRB,RCN,STL",0,25,jihad,c_b
1917,Locust IIC 4,,Locust IIC,4,25,795,Clan,2122292,Standard,199,TR:PP,266,RS:3085u-PP,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3064,247,3062,https://i.ibb.co/DbQBVFX/locust-iic-4.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,3,2,0,5,False,1,False,0,False,0,False,0,26,ENE,0,25,jihad,c_b
3929,Cephalus A,,Cephalus,A,25,809,Mixed,20954427,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Scout,BM,1,"20""/14""j",0,3,1,0,0,False,0,False,0,False,0,False,0,30,"AMS,CR,ECM,ENE,JMPW1,MHQ1,NOVA,OMNI,PRB,RCN,STL,TAG",0,25,jihad,c_b
5642,Cephalus U,,Cephalus,U,25,878,Mixed,20891927,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Scout,BM,1,"20""/14""s",0,3,1,0,0,False,0,False,0,False,0,False,0,26,"CASE,CR,ECM,MHQ1,NOVA,OMNI,PRB,RCN,STL,SUBW1,TOR0*/0*/0*,UMU",0,25,jihad,c_b
1916,Locust IIC 3,,Locust IIC,3,25,980,Clan,2147292,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2853,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,2,False,2,False,1,False,0,False,0,28,ENE,0,25,jihad,c_b
