Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
5638,Cephalus B,,Cephalus,B,25,785,Mixed,20793490,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Scout,BM,1,"20""",0,3,1,0,0,True,0,False,0,False,0,False,0,29,"CASE,CR,ECM,LTAG,MHQ1,MTAS1,NOVA,OMNI,PRB,RCN,STL",0,25,jihad,c_c
3929,Cephalus A,,Cephalus,A,25,809,Mixed,20954427,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Scout,BM,1,"20""/14""j",0,3,1,0,0,False,0,False,0,False,0,False,0,30,"AMS,CR,ECM,ENE,JMPW1,MHQ1,NOVA,OMNI,PRB,RCN,STL,TAG",0,25,jihad,c_c
1063,Fire Falcon A,,Fire Falcon,A,25,822,Clan,4450130,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/TtnSQ7D/fire-falcon-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,2,False,2,False,1,False,0,False,0,27,"CASE,IF1,OMNI",0,25,jihad,c_c
1066,Fire Falcon D,,Fire Falcon,D,25,826,Clan,4774740,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/TtnSQ7D/fire-falcon-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,2,False,2,False,0,False,0,False,0,27,"CASE,OMNI,SNARC,SRM1/1,TAG",0,25,jihad,c_c
1918,Locust IIC 5,,Locust IIC,5,25,878,Clan,2394792,Standard,199,TR:PP,266,RS:3085u-PP,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/pvJG9wC/locust-iic-5.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,2,False,2,False,0,True,0,False,0,27,CASE,0,25,jihad,c_c
5642,Cephalus U,,Cephalus,U,25,878,Mixed,20891927,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Scout,BM,1,"20""/14""s",0,3,1,0,0,False,0,False,0,False,0,False,0,26,"CASE,CR,ECM,MHQ1,NOVA,OMNI,PRB,RCN,STL,SUBW1,TOR0*/0*/0*,UMU",0,25,jihad,c_c
5643,Koshi (Mist Lynx) Z,,Koshi (Mist Lynx),Z,25,970,Clan,6704167,Experimental,436,TR:CI,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/9vCM3CW/koshi-mist-lynx-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""/10""j",0,3,1,0,2,False,2,False,1,False,0,False,0,28,"CASE,ECM,IATM2/1/1,MHQ1,NOVA,OMNI,PRB,RCN",0,25,jihad,c_c
1065,Fire Falcon C,,Fire Falcon,C,25,1004,Clan,4813411,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/TtnSQ7D/fire-falcon-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,4,False,3,False,0,False,0,False,0,34,"CASE,OMNI,PRB,RCN,SRM1/1",0,25,jihad,c_c
3930,Cephalus Prime,,Cephalus,Prime,25,1038,Mixed,21180990,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Scout,BM,1,"18""",0,4,1,0,0,False,0,False,0,False,0,False,0,29,"AMS,CR,ECM,ENE,LTAG,MHQ1,NOVA,OMNI,PRB,RCN,STL",0,25,jihad,c_c
1067,Fire Falcon E,,Fire Falcon,E,25,1094,Clan,4860677,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3061,13,3050,https://i.ibb.co/TtnSQ7D/fire-falcon-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,3,False,2,False,1,False,0,False,0,27,"CASE,OMNI",0,25,jihad,c_c
1068,Fire Falcon F,,Fire Falcon,F,25,1135,Clan,4721615,Standard,473,RG15,473,RG15,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/TtnSQ7D/fire-falcon-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,4,False,2,False,1,False,0,False,0,31,"CASE,OMNI,PRB,RCN",0,25,jihad,c_c
1069,Fire Falcon H,,Fire Falcon,H,25,1162,Clan,4474740,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3062,247,3062,https://i.ibb.co/TtnSQ7D/fire-falcon-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,5,False,4,False,0,False,0,False,0,36,"ENE,OMNI",0,25,jihad,c_c
5639,Cephalus C,,Cephalus,C,25,1209,Mixed,20942708,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Scout,BM,1,"20""",0,3,1,0,0,True,0,False,0,False,0,False,0,29,"CR,ECM,ENE,HT1/1/1,MHQ1,NOVA,OMNI,PRB,RCN,STL",0,25,jihad,c_c
5641,Cephalus E,,Cephalus,E,25,1284,Mixed,20721615,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Sniper,BM,1,"20""",0,3,1,0,1,False,1,False,1,False,0,False,0,33,"CR,ECM,ENE,LTAG,MHQ1,NOVA,OMNI,PRB,RCN,STL",0,25,jihad,c_c
5640,Cephalus D,,Cephalus,D,25,1450,Mixed,21180990,Experimental,279,WoR,366,WoRS,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/NSMq1gL/cephalus-wor.png,False,True,1.1,BattleMech,Striker,BM,1,"20""",0,3,1,0,2,False,1,False,0,False,0,False,1,34,"CASE,CR,ECM,MHQ1,NOVA,OMNI,PRB,RCN,STL",0,25,jihad,c_c
1070,Fire Falcon Prime,,Fire Falcon,Prime,25,1451,Clan,4706771,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/TtnSQ7D/fire-falcon-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,1,0,5,False,5,False,0,False,0,False,0,40,"CASE,OMNI",0,25,jihad,c_c
