Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,jihad,c_ds
2534,Piranha 4,,Piranha,4,20,1063,Clan,2758140,Standard,436,TR:CI,257,RS:3085u-ONN,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/bdG1GbP/piranha-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,1,0,3,False,2,False,0,False,0,False,0,23,CASE,0,20,jihad,c_ds
722,Crimson Hawk 2,,Crimson Hawk,2,25,1271,Clan,3259167,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/4jf2wfz/era05-jihad.png,3073,14,3068,https://i.ibb.co/5Rg2Fcj/crimson-hawk-3075.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""j",0,3,1,0,2,False,2,False,0,False,0,False,2,20,ENE,0,25,jihad,c_ds
5097,Solitaire  ,,Solitaire, ,25,1284,Clan,4507083,Standard,463,TR:J,534,RS:J,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3064,247,3062,https://i.ibb.co/71V7X2G/solitaire-3067.png,True,True,1.2,BattleMech,Striker,BM,1,"20""",0,3,1,0,3,False,3,False,0,False,0,False,1,36,ENE,0,25,jihad,c_ds
721,Crimson Hawk  ,,Crimson Hawk, ,25,1285,Clan,3134167,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/5Rg2Fcj/crimson-hawk-3075.png,True,True,1.0,BattleMech,Sniper,BM,1,"10""j",0,3,1,0,2,False,2,False,2,False,0,False,0,21,ENE,0,25,jihad,c_ds
5655,Solitaire 2,,Solitaire,2,25,1471,Clan,4694583,Standard,463,TR:J,367,RS:3067u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3080,14,3068,https://i.ibb.co/71V7X2G/solitaire-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"26""",0,3,1,0,3,False,2,False,0,False,0,False,1,32,ENE,0,25,jihad,c_ds
5844,Ostscout IIC  ,,Ostscout IIC, ,35,520,Mixed,0,Experimental,382,XTR:Boondoggles,382,XTR:Boondoggles,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3063,247,3062,https://i.ibb.co/bJ2G90P/ostscout-iic-xtr.png,True,True,1.0,BattleMech,Scout,BM,1,"22""/26""j",0,1,1,0,0,False,0,False,0,False,0,False,0,19,"AECM,BH,ENE,RCN,TAG",0,35,jihad,c_ds
848,Dasher II  ,,Dasher II, ,40,522,Clan,8633893,Standard,202,TR:3085,253,RS:3085u-CE,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/Q65WQF3/dasher-ii-3085.png,True,True,1.0,BattleMech,Scout,BM,2,"20""",0,2,2,0,2,False,0,False,0,False,0,False,0,22,ENE,0,40,jihad,c_ds
2861,Sentinel STN-3Lb,,Sentinel,STN-3Lb,40,1260,Inner Sphere,6323030,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2715,10,2571,https://i.ibb.co/fr8FY6w/sentinel-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"12""",0,4,2,0,3,False,2,False,2,False,0,False,0,26,,0,40,jihad,c_ds
1288,Grendel (Mongrel) C,,Grendel (Mongrel),C,45,1465,Clan,12457947,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/Trxv4hp/grendel-mongrel-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"14""j",0,5,2,0,2,False,2,False,1,False,0,False,0,36,"AMS,CASE,FLK1/1/1,OMNI",0,45,jihad,c_ds
