Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
1912,Locust LCT-5W2,,Locust,LCT-5W2,20,787,Inner Sphere,3480000,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3079,14,3068,https://i.ibb.co/Qb0GcNv/locust-3085.png,True,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,1,False,1,False,0,False,0,False,0,24,"C3S,ECM,ENE,MHQ1,TAG",0,20,jihad,c_wie
1602,Icestorm  ,,Icestorm, ,25,728,Clan,4423750,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2830,11,2781,https://i.ibb.co/wLLWmM2/icestorm-3060.png,True,True,1.0,BattleMech,Scout,BM,1,"24""",0,2,1,0,1,False,1,False,0,False,0,False,0,20,"CASE,TAG",0,25,jihad,c_wie
723,Crimson Hawk 3,,Crimson Hawk,3,25,1029,Clan,3377917,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/4jf2wfz/era05-jihad.png,3075,14,3068,https://i.ibb.co/5Rg2Fcj/crimson-hawk-3075.png,False,True,1.0,BattleMech,Brawler,BM,1,"10""/12""j",0,3,1,0,2,False,2,False,1,False,0,False,0,20,ENE,0,25,jihad,c_wie
721,Crimson Hawk  ,,Crimson Hawk, ,25,1285,Clan,3134167,Standard,514,TR:DA,535,RS:DA,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/5Rg2Fcj/crimson-hawk-3075.png,True,True,1.0,BattleMech,Sniper,BM,1,"10""j",0,3,1,0,2,False,2,False,2,False,0,False,0,21,ENE,0,25,jihad,c_wie
93,Arctic Fox AF1B,,Arctic Fox,AF1B,30,735,Inner Sphere,5006463,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/DrN7R8s/arctic-fox-3060.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,3,1,0,2,False,2,False,1,False,0,False,0,20,"FLK1/1/1,OMNI",0,30,jihad,c_wie
95,Arctic Fox AF1D,,Arctic Fox,AF1D,30,744,Inner Sphere,5090800,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/DrN7R8s/arctic-fox-3060.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"12""",0,3,1,0,1,False,2,False,2,False,0,False,0,21,"IF1,OMNI",0,30,jihad,c_wie
98,Arctic Fox AF1U,,Arctic Fox,AF1U,30,821,Inner Sphere,5107213,Experimental,229,TR:3060,257,RS:3085u-ONN,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/DrN7R8s/arctic-fox-3060.png,False,True,1.0,BattleMech,Sniper,BM,1,"12""/10""s",0,3,1,0,0,True,1,False,1,False,0,False,0,15,"OMNI,TOR0*/1/1,UMU",0,30,jihad,c_wie
92,Arctic Fox AF1A,,Arctic Fox,AF1A,30,858,Inner Sphere,5064800,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/DrN7R8s/arctic-fox-3060.png,False,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,1,0,4,False,3,False,0,False,0,False,0,24,"ENE,OMNI",0,30,jihad,c_wie
97,Arctic Fox AF1F,,Arctic Fox,AF1F,30,891,Inner Sphere,5069675,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/DrN7R8s/arctic-fox-3060.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,3,1,0,3,False,3,False,1,False,0,False,0,25,"IF1,OMNI",0,30,jihad,c_wie
94,Arctic Fox AF1C,,Arctic Fox,AF1C,30,948,Inner Sphere,5011338,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/DrN7R8s/arctic-fox-3060.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,3,1,0,2,False,2,False,1,False,0,False,0,20,"ENE,OMNI",0,30,jihad,c_wie
