Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3064,Stinger STG-5R,,Stinger,STG-5R,20,492,Inner Sphere,3831840,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3067,247,3062,https://i.ibb.co/vHNbLn3/stinger-5r-pp.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,ENE,0,20,jihad,cf
829,Dart DRT-4S,,Dart,DRT-4S,25,656,Inner Sphere,2273750,Introductory,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/kyRc6fm/dart-3055u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,ENE,0,25,jihad,cf
3861,Brigand LDT-X2,,Brigand,LDT-X2,25,764,Inner Sphere,2293750,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3066,247,3062,https://i.ibb.co/TR6710f/brigand-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,ENE,0,25,jihad,cf
3859,Brigand LDT-1,,Brigand,LDT-1,25,771,Inner Sphere,2286250,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3065,247,3062,https://i.ibb.co/TR6710f/brigand-3067.png,True,True,1.2,BattleMech,Striker,BM,1,"12""j",0,2,2,0,3,False,3,False,0,False,0,False,0,22,ENE,0,25,jihad,cf
3860,Brigand LDT-X1,,Brigand,LDT-X1,25,937,Inner Sphere,2336250,Standard,246,TR:3067,367,RS:3067u,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3066,247,3062,https://i.ibb.co/TR6710f/brigand-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"12""j",0,2,2,0,3,False,3,False,0,False,0,False,0,22,ENE,0,25,jihad,cf
1653,Jackal JA-KL-1532,,Jackal,JA-KL-1532,30,918,Inner Sphere,4635540,Standard,237,TR:3055U,230,RS:3055Uu,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/9rLVbFh/jackal-3055u.png,True,True,1.0,BattleMech,Striker,BM,1,"14""",0,3,1,0,1,False,1,False,1,False,0,False,1,23,AMS,0,30,jihad,cf
1111,Firestarter FS9-C,,Firestarter,FS9-C,35,940,Inner Sphere,3338550,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3064,247,3062,https://i.ibb.co/vY5ch3G/firestarter-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,3,0,2,False,2,False,0,True,0,False,0,22,ENE,0,35,jihad,cf
3560,Wolfhound WLF-1,,Wolfhound,WLF-1,35,949,Inner Sphere,5253930,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3028,256,3020,https://i.ibb.co/V9qnp94/wolfhound-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,4,3,0,2,False,2,False,0,False,0,False,1,24,"ENE,REAR1/1/-",0,35,jihad,cf
3003,Spector SPR-5F,,Spector,SPR-5F,35,1183,Inner Sphere,6136718,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/gZ1zkJq/spector-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"14""j",0,4,2,0,3,False,2,False,0,False,0,False,0,33,"ECM,ENE",0,35,jihad,cf
646,Clint CLNT-2-3U,,Clint,CLNT-2-3U,40,1081,Inner Sphere,3951080,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3050,13,3050,https://i.ibb.co/K02WmGs/clint-rg.png,True,True,1.0,BattleMech,Striker,BM,2,"12""j",0,2,3,0,2,False,2,False,1,False,0,False,1,22,ENE,0,40,jihad,cf
2503,Phoenix Hawk PXH-4L,,Phoenix Hawk,PXH-4L,45,1282,Inner Sphere,7757065,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/QjhjKwr/era04-civil-war.png,3066,247,3062,https://i.ibb.co/D5gMqxm/phoenix-hawk-4l-pp.png,True,True,1.0,BattleMech,Striker,BM,2,"12""j",0,4,4,0,2,False,2,False,1,False,0,False,0,35,"ECM,STL",0,45,jihad,cf
2279,Nightsky NGS-4S,,Nightsky,NGS-4S,50,1159,Inner Sphere,9420000,Standard,436,TR:CI,528,RSFP:KH,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3053,13,3050,https://i.ibb.co/x8B7BnW/nightsky-rg.png,True,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,2,0,3,False,3,False,0,False,0,False,0,30,"ENE,MEL",0,50,jihad,cf
1893,Lineholder KW1-LH2,,Lineholder,KW1-LH2,55,1280,Inner Sphere,4515667,Introductory,240,TR:3058U,254,RS:3058Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/rMngVp5/lineholder-3058u.png,True,True,1.0,BattleMech,Skirmisher,BM,2,"10""",0,5,5,0,2,False,3,False,1,False,0,False,1,34,IF1,0,55,jihad,cf
2906,Shadow Hawk SHD-5M,,Shadow Hawk,SHD-5M,55,1430,Inner Sphere,10296857,Standard,539,RGv1,456,RG12,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/NpNFRL1/shadow-hawk-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"10""j",0,6,3,0,2,False,3,False,2,False,0,False,0,35,"CASE,IF1",0,55,jihad,cf
