Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3522,Wasp WSP-1K,,Wasp,WSP-1K,20,376,Inner Sphere,1615440,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2818,11,2781,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,jihad,dc
3528,Wasp WSP-3M,,Wasp,WSP-3M,20,394,Inner Sphere,1783440,Standard,539,RGv1,432,RG04,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3051,13,3050,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,1,2,0,1,False,1,False,0,False,0,False,0,12,CASE,0,20,jihad,dc
3196,Thorn THE-T,,Thorn,THE-T,20,500,Inner Sphere,1590720,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3038,256,3020,https://i.ibb.co/MRcw6Vj/thorn-3039.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,,0,20,jihad,dc
3195,Thorn THE-S,,Thorn,THE-S,20,510,Inner Sphere,1558320,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3035,256,3020,https://i.ibb.co/MRcw6Vj/thorn-3039.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,IF0*,0,20,jihad,dc
1728,Kabuto KBO-7A,,Kabuto,KBO-7A,20,524,Inner Sphere,2413040,Standard,463,TR:J,534,RS:J,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/s3pxCJW/kabuto-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,1,0,2,False,2,False,0,False,0,False,0,21,,0,20,jihad,dc
1729,Kabuto KBO-7B,,Kabuto,KBO-7B,20,635,Inner Sphere,2494640,Standard,463,TR:J,222,RS:3060u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/s3pxCJW/kabuto-3060.png,False,True,1.0,BattleMech,Scout,BM,1,"14""",0,2,1,0,1,False,1,False,1,False,0,False,0,17,ENE,0,20,jihad,dc
7601,Locust C,,Locust,C,20,672,Mixed,1550200,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,ENE,0,20,jihad,dc
1912,Locust LCT-5W2,,Locust,LCT-5W2,20,787,Inner Sphere,3480000,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3079,14,3068,https://i.ibb.co/Qb0GcNv/locust-3085.png,True,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,1,False,1,False,0,False,0,False,0,24,"C3S,ECM,ENE,MHQ1,TAG",0,20,jihad,dc
2651,Raptor RTX1-OD,,Raptor,RTX1-OD,25,490,Inner Sphere,4540885,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,1,0,3,False,2,False,0,False,0,False,0,28,"C3S,MHQ1,OMNI,PRB,RCN,TAG",0,25,jihad,dc
2652,Raptor RTX1-OE,,Raptor,RTX1-OE,25,597,Inner Sphere,3820964,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3058,13,3050,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,1,0,3,False,2,False,0,False,0,False,0,22,OMNI,0,25,jihad,dc
2649,Raptor RTX1-OB,,Raptor,RTX1-OB,25,613,Inner Sphere,4030339,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,1,0,3,False,3,False,0,False,0,False,0,26,"OMNI,SRM2/2",0,25,jihad,dc
4655,Mongoose MON-68,,Mongoose,MON-68,25,676,Inner Sphere,1794583,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3039,256,3020,https://i.ibb.co/WvKsqBs/mongoose-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""",0,3,2,0,1,False,1,False,0,False,0,False,0,21,ENE,0,25,jihad,dc
2647,Raptor RTX1-O,,Raptor,RTX1-O,25,721,Inner Sphere,3917448,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,1,0,3,False,2,False,1,False,0,False,0,24,"IF1,OMNI",0,25,jihad,dc
2648,Raptor RTX1-OA,,Raptor,RTX1-OA,25,783,Inner Sphere,3918620,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,1,0,3,False,2,False,0,False,0,False,0,22,"ENE,OMNI",0,25,jihad,dc
2654,Raptor RTX1-OG,,Raptor,RTX1-OG,25,857,Inner Sphere,4145964,Standard,436,TR:CI,254,RS:3058Uu-I,https://i.ibb.co/4jf2wfz/era05-jihad.png,3070,14,3068,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,1,0,3,False,2,False,0,False,0,False,0,22,"ENE,OMNI",0,25,jihad,dc
2650,Raptor RTX1-OC,,Raptor,RTX1-OC,25,870,Inner Sphere,4156510,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3052,13,3050,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,1,0,4,False,3,False,0,False,0,False,0,28,"AMS,OMNI",0,25,jihad,dc
2215,Mongoose MON-86,,Mongoose,MON-86,25,887,Inner Sphere,4214375,Standard,202,TR:3085,257,RS:3085u-ONN,https://i.ibb.co/4jf2wfz/era05-jihad.png,3078,14,3068,https://i.ibb.co/WvKsqBs/mongoose-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,3,1,0,2,False,2,False,1,False,0,False,0,29,"ENE,PRB,RCN",0,25,jihad,dc
2214,Mongoose MON-76,,Mongoose,MON-76,25,894,Inner Sphere,3879479,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/WvKsqBs/mongoose-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"20""",0,3,1,0,3,False,2,False,0,False,0,False,0,32,"ECM,ENE",0,25,jihad,dc
2656,Raptor RTX1-OU,,Raptor,RTX1-OU,25,914,Inner Sphere,4540885,Experimental,436,TR:CI,257,RS:3085u-ONN,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""/14""s",0,2,1,0,2,False,2,False,0,False,0,False,0,24,"OMNI,TOR1/1/-,UMU",0,25,jihad,dc
2653,Raptor RTX1-OF,,Raptor,RTX1-OF,25,1029,Inner Sphere,4589323,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3060,13,3050,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""j",0,2,1,0,3,False,3,False,0,False,0,False,0,27,"ENE,OMNI",0,25,jihad,dc
2655,Raptor RTX1-OR,,Raptor,RTX1-OR,25,1393,Mixed,4836589,Experimental,436,TR:CI,254,RS:3058Uu-I,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3059,13,3050,https://i.ibb.co/crtFHGB/raptor-3058u.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,1,0,3,False,3,False,2,False,0,False,1,31,"C3S,ENE,MHQ1,OMNI",0,25,jihad,dc
