Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3061,Stinger STG-3R,,Stinger,STG-3R,20,359,Inner Sphere,1615440,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2479,9,2005,https://i.ibb.co/0KwFP6Y/stinger-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,jihad,pg
1138,Flea FLE-19,,Flea,FLE-19,20,381,Inner Sphere,1483500,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,1,False,0,True,0,False,0,15,,0,20,jihad,pg
3520,Wasp WSP-1A,,Wasp,WSP-1A,20,384,Inner Sphere,1646640,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2471,9,2005,https://i.ibb.co/0XxvcQF/wasp-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,jihad,pg
1901,Locust LCT-1V,,Locust,LCT-1V,20,432,Inner Sphere,1512400,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2499,9,2005,https://i.ibb.co/J2R4dnD/locust-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,18,,0,20,jihad,pg
1545,Hornet HNT-151,,Hornet,HNT-151,20,488,Inner Sphere,1248700,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2760,10,2571,https://i.ibb.co/sFLhSFb/hornet-wdsb.png,True,True,1.0,BattleMech,Striker,BM,1,"10""j",0,2,2,0,1,False,1,False,0,True,0,False,0,14,IF0*,0,20,jihad,pg
3060,Stinger STG-3P,,Stinger,STG-3P,20,489,Inner Sphere,1775040,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/4mbR2xN/stinger-3085.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,0,True,1,False,1,False,0,False,0,14,ENE,0,20,jihad,pg
1907,Locust LCT-3V,,Locust,LCT-3V,20,490,Inner Sphere,1553800,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3004,255,2901,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,2,False,1,False,0,False,0,False,0,19,,0,20,jihad,pg
3058,Stinger STG-3G,,Stinger,STG-3G,20,497,Inner Sphere,1662240,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2581,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,ENE,0,20,jihad,pg
1137,Flea FLE-17,,Flea,FLE-17,20,510,Inner Sphere,1728000,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/k6ySqKN/era03-clan-invasion.png,3049,13,3050,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,"ENE,REAR1/-/-",0,20,jihad,pg
3195,Thorn THE-S,,Thorn,THE-S,20,510,Inner Sphere,1558320,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3035,256,3020,https://i.ibb.co/MRcw6Vj/thorn-3039.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,IF0*,0,20,jihad,pg
