Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
5781,Fireball ALM-XF,,Fireball,ALM-XF,20,612,Inner Sphere,16909240,Experimental,369,XTR:Most Wanted,369,XTR:Most Wanted,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/hMJTvDz/fireball-xtr.png,True,True,1.0,BattleMech,Scout,BM,1,"48""",0,2,1,0,1,False,1,False,0,False,0,False,0,25,ENE,0,20,jihad,unq
837,Dasher (Fire Moth) (Aletha),,Dasher (Fire Moth),(Aletha),20,1388,Clan,4178425,Standard,193,JTP:Dieron,193,JTP:Dieron,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"26""",0,1,1,0,3,False,3,False,1,False,0,False,0,31,"ECM,ENE,OMNI",0,20,jihad,unq
6979,Duan Gung (Vaughn),,Duan Gung,(Vaughn),25,851,Inner Sphere,3407083,Standard,400,BD:YZ,400,BD:YZ,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/GPP8M82/duan-gung-3060.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""/12""j",0,3,1,0,2,False,2,False,1,False,0,False,0,27,"IF1,JMPW1",0,25,jihad,unq
677,Commando COM-7S2 (Freyr),,Commando,COM-7S2 (Freyr),25,1105,Mixed,3666250,Experimental,170,XTR:Pirates,170,XTR:Pirates,https://i.ibb.co/4jf2wfz/era05-jihad.png,3070,14,3068,https://i.ibb.co/K77x55d/commando-xtr.png,True,True,1.0,BattleMech,Striker,BM,1,"10""/12""j",0,4,1,0,3,False,3,False,0,False,0,False,0,26,"CASE,CR",0,25,jihad,unq
4384,Jackal JA-KL-1578,,Jackal,JA-KL-1578,30,0,Inner Sphere,0,Experimental,223,XTR:Marik,192,None,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/Mn9d4jk/jackal-xtr.png,False,True,1.1,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,30,jihad,unq
5547,Uller (Kit Fox) (Rood),,Uller (Kit Fox),(Rood),30,0,Clan,0,Standard,359,OP:Ice Storm 1,192,None,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/brWWLTp/uller-kit-fox-rg.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,30,jihad,unq
1993,Malak C-MK-O (Mi),,Malak,C-MK-O (Mi),30,758,Inner Sphere,10101406,Advanced,208,SB:W&B,208,SB:W&B,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/PGXQ3Km/malak-b-3075.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,3,2,0,3,False,2,False,0,False,0,False,0,31,"C3I,ENE,MHQ2,OMNI",0,30,jihad,unq
903,Dola DOL-1A,,Dola,DOL-1A,30,911,Inner Sphere,6911840,Experimental,196,XTR:Liao,196,XTR:Liao,https://i.ibb.co/4jf2wfz/era05-jihad.png,3079,14,3068,https://i.ibb.co/9cr3PfY/dola-proto.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,3,1,0,1,False,1,False,0,False,0,False,0,24,"AECM,ENE,MEL",0,30,jihad,unq
3370,"Valiant VAL-NT-JX ""Hot Knife""",,Valiant,"VAL-NT-JX ""Hot Knife""",30,989,Inner Sphere,6828640,Experimental,179,XTR:Gladiators,179,XTR:Gladiators,https://i.ibb.co/4jf2wfz/era05-jihad.png,3076,14,3068,https://i.ibb.co/dmX4yJw/valiant-xtr.png,True,True,1.0,BattleMech,Striker,BM,1,"18""",0,3,2,0,2,False,2,False,0,False,0,False,0,28,"ENE,MEL,SHLD",0,30,jihad,unq
5808,Javelin JVN-11D (Farrell),,Javelin,JVN-11D (Farrell),30,1155,Inner Sphere,4569240,Standard,365,BD:BH,365,BD:BH,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/VLykXhJ/javelin-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,1,0,3,False,3,False,0,False,0,False,1,27,"ENE,PRB,RCN",0,30,jihad,unq
