Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8127,Stinger C,,Stinger,C,20,592,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,CASE,0,20,late-succession-war-lostech,c_cc
838,Dasher (Fire Moth) A,,Dasher (Fire Moth),A,20,639,Clan,4421800,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2874,11,2781,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"26""",0,1,1,0,1,False,1,False,0,False,0,False,0,20,"AMS,CASE,OMNI,PRB,RCN,TAG",0,20,late-succession-war-lostech,c_cc
189,Baboon (Howler)  ,,Baboon (Howler), ,20,645,Clan,1826240,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2871,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,2,0,1,False,1,False,1,False,0,False,0,20,"CASE,IF1",0,20,late-succession-war-lostech,c_cc
7601,Locust C,,Locust,C,20,672,Mixed,1550200,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,ENE,0,20,late-succession-war-lostech,c_cc
840,Dasher (Fire Moth) C,,Dasher (Fire Moth),C,20,741,Clan,4088800,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2874,11,2781,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"26""",0,1,1,0,1,False,1,False,1,False,0,False,0,19,"AMS,CASE,IF1,OMNI",0,20,late-succession-war-lostech,c_cc
839,Dasher (Fire Moth) B,,Dasher (Fire Moth),B,20,1064,Clan,4100800,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2874,11,2781,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"26""",0,1,1,0,2,False,2,False,0,False,0,False,0,24,"CASE,ECM,OMNI",0,20,late-succession-war-lostech,c_cc
846,Dasher (Fire Moth) Prime,,Dasher (Fire Moth),Prime,20,1251,Clan,4208800,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2874,11,2781,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"26""",0,1,1,0,3,False,3,False,0,False,0,False,0,28,"CASE,OMNI,SRM1/1",0,20,late-succession-war-lostech,c_cc
841,Dasher (Fire Moth) D,,Dasher (Fire Moth),D,20,2307,Clan,4154050,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2874,11,2781,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"26""",0,1,1,0,4,False,3,False,0,False,0,False,1,30,"ENE,OMNI",0,20,late-succession-war-lostech,c_cc
1915,Locust IIC 2,,Locust IIC,2,25,937,Clan,2162292,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2837,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,3,False,3,False,0,False,0,False,0,32,CASE,0,25,late-succession-war-lostech,c_cc
1086,Firefly FFL-3SLE,,Firefly,FFL-3SLE,30,876,Inner Sphere,3887000,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2790,11,2781,https://i.ibb.co/Zdv8xTB/firefly-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"10""/8""j",0,4,1,0,3,False,2,False,0,True,0,False,0,25,"CASE,ECM,IF0*,JMPW1",0,30,late-succession-war-lostech,c_cc
3347,Uller (Kit Fox) Prime,,Uller (Kit Fox),Prime,30,1085,Clan,5359088,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2890,11,2781,https://i.ibb.co/brWWLTp/uller-kit-fox-rg.png,True,True,1.0,BattleMech,Sniper,BM,1,"12""",0,3,2,0,3,False,3,False,2,False,0,False,0,26,"CASE,FLK0*/0*/0*,OMNI",0,30,late-succession-war-lostech,c_cc
