Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
8127,Stinger C,,Stinger,C,20,592,Clan,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2832,11,2781,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,bm,1,"12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,18,CASE,0,20,late-succession-war-lostech,c_ih
2980,Snow Fox 2,,Snow Fox,2,20,604,Clan,1883200,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3015,255,2901,https://i.ibb.co/Brn6ywT/snow-fox-3060.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"20""",0,2,2,0,1,False,1,False,1,False,0,False,0,23,"CASE,IF1",0,20,late-succession-war-lostech,c_ih
1903,Locust LCT-1Vb,,Locust,LCT-1Vb,20,642,Inner Sphere,2598400,Standard,539,RGv1,474,RG16,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2610,10,2571,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,3,False,2,False,0,False,0,False,0,23,ENE,0,20,late-succession-war-lostech,c_ih
189,Baboon (Howler)  ,,Baboon (Howler), ,20,645,Clan,1826240,Standard,539,RGv1,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2871,11,2781,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"14""",0,2,2,0,1,False,1,False,1,False,0,False,0,20,"CASE,IF1",0,20,late-succession-war-lostech,c_ih
3194,Thorn THE-Nb,,Thorn,THE-Nb,20,740,Inner Sphere,2518620,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2743,10,2571,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,late-succession-war-lostech,c_ih
2979,Snow Fox  ,,Snow Fox, ,20,807,Clan,1826200,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3015,255,2901,https://i.ibb.co/Brn6ywT/snow-fox-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"20""",0,2,2,0,2,False,2,False,0,False,0,False,0,27,ENE,0,20,late-succession-war-lostech,c_ih
1602,Icestorm  ,,Icestorm, ,25,728,Clan,4423750,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2830,11,2781,https://i.ibb.co/wLLWmM2/icestorm-3060.png,True,True,1.0,BattleMech,Scout,BM,1,"24""",0,2,1,0,1,False,1,False,0,False,0,False,0,20,"CASE,TAG",0,25,late-succession-war-lostech,c_ih
1915,Locust IIC 2,,Locust IIC,2,25,937,Clan,2162292,Standard,539,RGv1,474,RG16,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2837,11,2781,https://i.ibb.co/sQBKz7Y/locust-iic-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,3,False,3,False,0,False,0,False,0,32,CASE,0,25,late-succession-war-lostech,c_ih
678,Commando IIC  ,,Commando IIC, ,25,978,Clan,2372500,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/G0xW7WP/commando-iic-3060.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,4,False,4,False,0,False,0,False,0,25,"CASE,SRM2/2",0,25,late-succession-war-lostech,c_ih
7603,Mongoose C,,Mongoose,C,25,1386,Clan,3856979,Standard,445,TR:GC,445,TR:GC,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2833,11,2781,https://i.ibb.co/WvKsqBs/mongoose-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,3,1,0,3,False,3,False,1,False,0,False,0,34,"ENE,PRB,RCN",0,25,late-succession-war-lostech,c_ih
