Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
4321,Hermes II HER-2X,,Hermes II,HER-2X,0,0,Inner Sphere,0,Unknown,231,TR:3050U,192,None,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,Unknown,10,2571,https://i.ibb.co/GJLV05M/hermes-ii-rg.png,False,True,1.1,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,,late-succession-war-lostech,ext
4923,Rising Star RST-4R,,Rising Star,RST-4R,0,0,Inner Sphere,0,Unknown,463,TR:J,192,None,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2692,10,2571,https://i.ibb.co/5TGJ8px/mul-blank.png,False,True,1.2,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,,late-succession-war-lostech,ext
7407,Trooper TP-1R,,Trooper,TP-1R,20,236,Primitive,1439800,Advanced,380,XTR:Primitives V,380,XTR:Primitives V,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2475,9,2005,https://i.ibb.co/WWgfvK7/trooper-xtr.png,True,True,1.0,BattleMech,Scout,BM,1,"12""",0,1,2,0,1,False,0,False,0,False,0,False,0,8,,0,20,late-succession-war-lostech,ext
3519,Wasp WSP-1,,Wasp,WSP-1,20,314,Primitive,1172520,Experimental,276,XTR:Primitives II,276,XTR:Primitives II,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2464,9,2005,https://i.ibb.co/ZXVpwd6/wasp-prim.png,True,True,1.0,BattleMech,Scout,BM,1,"10""j",0,1,2,0,1,False,1,False,0,False,0,False,0,11,ENE,0,20,late-succession-war-lostech,ext
3190,Thorn THE-F,,Thorn,THE-F,20,510,Inner Sphere,1558320,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2490,9,2005,https://i.ibb.co/MRcw6Vj/thorn-3039.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,IF0*,0,20,late-succession-war-lostech,ext
4624,Mercury MCY-98,,Mercury,MCY-98,20,553,Inner Sphere,1580440,Introductory,321,TR:3025r,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2810,11,2781,https://i.ibb.co/SdyFM0N/mercury-rg.png,False,True,2.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,2,False,1,False,0,False,0,False,0,19,ENE,0,20,late-succession-war-lostech,ext
1656,Jackrabbit JKR-8T,,Jackrabbit,JKR-8T,25,414,Inner Sphere,1850000,Standard,463,TR:J,534,RS:J,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2765,10,2571,https://i.ibb.co/c205Pfx/jackrabbit-3075.png,True,True,1.0,BattleMech,Sniper,BM,1,"12""",0,2,2,0,1,False,1,False,0,True,0,False,0,14,,0,25,late-succession-war-lostech,ext
666,Commando COM-1A,,Commando,COM-1A,25,475,Primitive,1705000,Advanced,172,XTR:Primitives I,172,XTR:Primitives I,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2463,9,2005,https://i.ibb.co/NnMW0g6/commando-prim.png,True,True,1.0,BattleMech,Scout,BM,1,"10""",0,2,2,0,1,False,1,False,0,False,0,False,0,13,ENE,0,25,late-succession-war-lostech,ext
1657,"Jackrabbit JKR-9R ""Joker""",,Jackrabbit,"JKR-9R ""Joker""",25,614,Inner Sphere,1840000,Standard,463,TR:J,534,RS:J,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2768,10,2571,https://i.ibb.co/c205Pfx/jackrabbit-3075.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,3,2,0,2,False,2,False,0,False,0,False,0,20,,0,25,late-succession-war-lostech,ext
2968,Sling SL-1H,,Sling,SL-1H,25,731,Inner Sphere,3319583,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2766,10,2571,https://i.ibb.co/xGWFJtF/sling-hok.png,False,True,1.0,BattleMech,Striker,BM,1,"14""/12""j",0,3,1,0,2,False,2,False,0,False,0,False,0,26,"ENE,TAG,JMPW1",0,25,late-succession-war-lostech,ext
