Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3061,Stinger STG-3R,,Stinger,STG-3R,20,359,Inner Sphere,1615440,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2479,9,2005,https://i.ibb.co/0KwFP6Y/stinger-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,late-succession-war-lostech,wd
3525,Wasp WSP-1W,,Wasp,WSP-1W,20,373,Inner Sphere,1633320,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3009,255,2901,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,2,False,0,False,0,False,0,False,0,12,ENE,0,20,late-succession-war-lostech,wd
3520,Wasp WSP-1A,,Wasp,WSP-1A,20,384,Inner Sphere,1646640,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2471,9,2005,https://i.ibb.co/0XxvcQF/wasp-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,late-succession-war-lostech,wd
1136,Flea FLE-15,,Flea,FLE-15,20,430,Inner Sphere,1520400,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2523,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,2,2,0,2,False,1,False,0,False,0,False,0,14,REAR1/-/-,0,20,late-succession-war-lostech,wd
1140,Flea FLE-4,,Flea,FLE-4,20,432,Inner Sphere,1519200,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2501,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,1,2,0,2,False,1,False,0,False,0,False,0,12,"ENE,REAR0*/-/-",0,20,late-succession-war-lostech,wd
1901,Locust LCT-1V,,Locust,LCT-1V,20,432,Inner Sphere,1512400,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2499,9,2005,https://i.ibb.co/J2R4dnD/locust-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,18,,0,20,late-succession-war-lostech,wd
1546,Hornet HNT-152,,Hornet,HNT-152,20,475,Inner Sphere,1281100,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2997,255,2901,https://i.ibb.co/3vVxQSq/hornet-3039.png,False,True,1.0,BattleMech,Striker,BM,1,"10""j",0,2,2,0,2,False,2,False,0,False,0,False,0,17,,0,20,late-succession-war-lostech,wd
1545,Hornet HNT-151,,Hornet,HNT-151,20,488,Inner Sphere,1248700,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2760,10,2571,https://i.ibb.co/sFLhSFb/hornet-wdsb.png,True,True,1.0,BattleMech,Striker,BM,1,"10""j",0,2,2,0,1,False,1,False,0,True,0,False,0,14,IF0*,0,20,late-succession-war-lostech,wd
1907,Locust LCT-3V,,Locust,LCT-3V,20,490,Inner Sphere,1553800,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3004,255,2901,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,2,False,1,False,0,False,0,False,0,19,,0,20,late-succession-war-lostech,wd
3058,Stinger STG-3G,,Stinger,STG-3G,20,497,Inner Sphere,1662240,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2581,10,2571,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,ENE,0,20,late-succession-war-lostech,wd
670,Commando COM-2D,,Commando,COM-2D,25,541,Inner Sphere,1891250,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2486,9,2005,https://i.ibb.co/tcxdcYf/commando-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,SRM1/1,0,25,late-succession-war-lostech,wd
2210,Mongoose MON-67,,Mongoose,MON-67,25,741,Inner Sphere,1885729,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2830,11,2781,https://i.ibb.co/WvKsqBs/mongoose-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,3,2,0,2,False,2,False,0,False,0,False,0,27,ENE,0,25,late-succession-war-lostech,wd
5139,Stinger LAM STG-A5,,Stinger LAM,STG-A5,30,0,Inner Sphere,2422940,Experimental,202,TR:3085,253,RS:3085u-CE,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2701,10,2571,https://i.ibb.co/5hM7QYv/stinger-lam-3025.png,False,True,1.1,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,2,False,0,False,0,False,0,26,"ENE,FUEL4,LAM(36""g/6a)",0,30,late-succession-war-lostech,wd
5389,Wasp LAM WSP-105,,Wasp LAM,WSP-105,30,0,Inner Sphere,2325115,Experimental,202,TR:3085,253,RS:3085u-CE,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2701,10,2571,https://i.ibb.co/TLdxmPK/wasp-lam-3025.png,False,True,1.1,BattleMech,Scout,BM,1,"12""j",0,3,3,0,1,False,1,False,0,False,0,False,0,22,"FUEL4,LAM(36""g/6a)",0,30,late-succession-war-lostech,wd
1675,Javelin JVN-10N,,Javelin,JVN-10N,30,594,Inner Sphere,2400840,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2751,10,2571,https://i.ibb.co/VLykXhJ/javelin-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""j",0,2,3,0,2,False,2,False,0,False,0,False,0,19,SRM2/2,0,30,late-succession-war-lostech,wd
1022,Falcon FLC-4N,,Falcon,FLC-4N,30,610,Inner Sphere,2249390,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2582,10,2571,https://i.ibb.co/6Xrnn8p/falcon-3039.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,1,False,0,False,0,False,0,19,REAR0*/-/-,0,30,late-succession-war-lostech,wd
3010,Spider SDR-5V,,Spider,SDR-5V,30,622,Inner Sphere,2984540,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2650,10,2571,https://i.ibb.co/w7RvDYD/spider-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,3,0,1,False,1,False,0,False,0,False,0,21,ENE,0,30,late-succession-war-lostech,wd
3378,Valkyrie VLK-QF,,Valkyrie,VLK-QF,30,653,Inner Sphere,2163070,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2967,255,2901,https://i.ibb.co/FYf5ZmT/valkyrie-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"10""j",0,3,3,0,1,False,1,False,1,False,0,False,0,19,IF1,0,30,late-succession-war-lostech,wd
3372,Valkyrie VLK-QA,,Valkyrie,VLK-QA,30,723,Inner Sphere,2205320,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2787,11,2781,https://i.ibb.co/FYf5ZmT/valkyrie-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"10""j",0,3,3,0,1,False,2,False,1,False,0,False,0,22,IF1,0,30,late-succession-war-lostech,wd
1087,Firefly FFL-4A,,Firefly,FFL-4A,30,831,Inner Sphere,2203500,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2801,11,2781,https://i.ibb.co/Zdv8xTB/firefly-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"10""/8""j",0,3,3,0,2,False,2,False,0,True,0,False,0,22,"IF0*,JMPW1",0,30,late-succession-war-lostech,wd
1674,"Javelin JVN-10F ""Fire Javelin""",,Javelin,"JVN-10F ""Fire Javelin""",30,835,Inner Sphere,2361840,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2819,11,2781,https://i.ibb.co/VLykXhJ/javelin-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,3,0,2,False,2,False,0,False,0,False,0,22,ENE,0,30,late-succession-war-lostech,wd
2366,Ostscout OTT-7J,,Ostscout,OTT-7J,35,596,Inner Sphere,3416760,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2600,10,2571,https://i.ibb.co/30jR8z1/ostscout-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,3,0,1,False,1,False,0,False,0,False,0,21,ENE,0,35,late-succession-war-lostech,wd
1096,Firestarter FS9-H,,Firestarter,FS9-H,35,694,Inner Sphere,3046950,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2703,10,2571,https://i.ibb.co/vY5ch3G/firestarter-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,1,False,0,False,0,False,0,20,"HT1/-/-,REAR0*/-/-",0,35,late-succession-war-lostech,wd
2425,Panther PNT-9R,,Panther,PNT-9R,35,769,Inner Sphere,2485710,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2759,10,2571,https://i.ibb.co/TbxKkyQ/panther-rg.png,True,True,1.0,BattleMech,Brawler,BM,1,"8""j",0,3,3,0,2,False,2,False,1,False,0,False,0,19,,0,35,late-succession-war-lostech,wd
1692,Jenner JR7-D,,Jenner,JR7-D,35,875,Inner Sphere,3198375,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2785,11,2781,https://i.ibb.co/2cQmRWW/jenner-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"14""/10""j",0,2,3,0,2,False,2,False,0,False,0,False,1,26,JMPW1,0,35,late-succession-war-lostech,wd
