Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
3523,Wasp WSP-1L,,Wasp,WSP-1L,20,335,Inner Sphere,1656720,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2799,11,2781,https://i.ibb.co/0XxvcQF/wasp-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,14,,0,20,late-succession-war-renaissance,cc
1898,Locust LCT-1L,,Locust,LCT-1L,20,474,Inner Sphere,1848400,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3030,256,3020,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,19,TSM,0,20,late-succession-war-renaissance,cc
1897,Locust LCT-1E,,Locust,LCT-1E,20,553,Inner Sphere,1574200,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2811,11,2781,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,2,False,1,False,0,False,0,False,0,19,ENE,0,20,late-succession-war-renaissance,cc
3355,UrbanMech UM-R60L,,UrbanMech,UM-R60L,30,470,Inner Sphere,1581125,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2925,255,2901,https://i.ibb.co/yPv4pnB/urbanmech-rg.png,False,True,1.0,BattleMech,Ambusher,BM,1,"4""j",0,2,3,0,2,False,2,False,0,False,0,False,0,11,AC2/2/-,0,30,late-succession-war-renaissance,cc
1485,Hermes HER-1A,,Hermes,HER-1A,30,601,Inner Sphere,2569970,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/6ng4fnN/hermes-3039.png,True,True,1.0,BattleMech,Scout,BM,1,"18""",0,2,3,0,2,False,1,False,0,False,0,False,0,21,ENE,0,30,late-succession-war-renaissance,cc
2662,Raven RVN-1X,,Raven,RVN-1X,35,639,Inner Sphere,2936025,Experimental,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3024,256,3020,https://i.ibb.co/2KvPD39/raven-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"10""",0,2,3,0,2,False,2,False,0,False,0,False,0,23,"ECM,LPRB,RCN",0,35,late-succession-war-renaissance,cc
2665,Raven RVN-3X,,Raven,RVN-3X,35,691,Inner Sphere,3597525,Experimental,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3028,256,3020,https://i.ibb.co/2KvPD39/raven-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"10""",0,2,3,0,2,False,2,False,0,False,0,False,0,24,"ECM,LPRB,RCN,TSM",0,35,late-succession-war-renaissance,cc
2664,Raven RVN-3L,,Raven,RVN-3L,35,708,Inner Sphere,5688225,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/2KvPD39/raven-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,3,2,0,2,False,2,False,0,False,0,False,0,26,"CASE,ECM,PRB,RCN,SNARC,TAG",0,35,late-succession-war-renaissance,cc
2425,Panther PNT-9R,,Panther,PNT-9R,35,769,Inner Sphere,2485710,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2759,10,2571,https://i.ibb.co/TbxKkyQ/panther-rg.png,True,True,1.0,BattleMech,Brawler,BM,1,"8""j",0,3,3,0,2,False,2,False,1,False,0,False,0,19,,0,35,late-succession-war-renaissance,cc
2669,Raven RVN-4X,,Raven,RVN-4X,35,820,Inner Sphere,2552625,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3031,256,3020,https://i.ibb.co/2KvPD39/raven-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"10""j",0,4,3,0,3,False,2,False,0,False,0,False,0,24,,0,35,late-succession-war-renaissance,cc
648,Clint CLNT-2-4T,,Clint,CLNT-2-4T,40,619,Inner Sphere,3143280,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,Unknown,10,2571,https://i.ibb.co/K02WmGs/clint-rg.png,False,True,1.0,BattleMech,Sniper,BM,2,"12""",0,2,3,0,1,False,1,False,0,True,0,False,0,16,,0,40,late-succession-war-renaissance,cc
592,Cicada CDA-2B,,Cicada,CDA-2B,40,626,Inner Sphere,3692967,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2840,11,2781,https://i.ibb.co/WWrgL7c/cicada-rg.png,False,True,1.0,BattleMech,Scout,BM,2,"16""",0,2,3,0,2,False,1,False,0,False,0,False,0,22,ENE,0,40,late-succession-war-renaissance,cc
643,Clint CLNT-1-2R,,Clint,CLNT-1-2R,40,707,Inner Sphere,3220280,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2607,10,2571,https://i.ibb.co/K02WmGs/clint-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"12""",0,2,3,0,2,False,2,False,0,False,0,False,0,19,AC1/1/-,0,40,late-succession-war-renaissance,cc
593,Cicada CDA-3C,,Cicada,CDA-3C,40,771,Inner Sphere,3306333,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2840,11,2781,https://i.ibb.co/WWrgL7c/cicada-rg.png,False,True,1.0,BattleMech,Scout,BM,2,"14""",0,2,3,0,2,False,1,False,1,False,0,False,0,22,,0,40,late-succession-war-renaissance,cc
1497,Hermes II HER-2S,,Hermes II,HER-2S,40,784,Inner Sphere,3165680,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2798,11,2781,https://i.ibb.co/GJLV05M/hermes-ii-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"12""",0,4,3,0,2,False,1,False,1,False,0,False,0,22,,0,40,late-succession-war-renaissance,cc
3831,Blackjack BJ-3X,,Blackjack,BJ-3X,45,0,Inner Sphere,0,Experimental,422,TR:SW,192,None,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3029,256,3020,https://i.ibb.co/pyTwkmx/blackjack-rg.png,False,True,1.1,BattleMech,Sniper,BM,2,"8""j",0,5,4,0,2,False,2,False,2,False,0,False,2,28,ENE,0,45,late-succession-war-renaissance,cc
3421,"Vindicator VND-1AA ""Avenging Angel""",,Vindicator,"VND-1AA ""Avenging Angel""",45,966,Inner Sphere,3820533,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2863,11,2781,https://i.ibb.co/W0mJgCj/vindicator-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"10""j",0,2,4,0,2,False,2,False,2,False,0,False,0,23,IF0*,0,45,late-succession-war-renaissance,cc
3425,Vindicator VND-1X,,Vindicator,VND-1X,45,1008,Inner Sphere,3177095,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2826,11,2781,https://i.ibb.co/W0mJgCj/vindicator-rg.png,False,True,1.0,BattleMech,Brawler,BM,2,"8""j",0,5,4,0,2,False,2,False,2,False,0,False,0,27,IF0*,0,45,late-succession-war-renaissance,cc
3422,Vindicator VND-1R,,Vindicator,VND-1R,45,1024,Inner Sphere,3181083,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2826,11,2781,https://i.ibb.co/W0mJgCj/vindicator-rg.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""j",0,5,4,0,2,False,2,False,2,False,0,False,0,27,IF0*,0,45,late-succession-war-renaissance,cc
1670,JagerMech JM6-S,,JagerMech,JM6-S,65,901,Inner Sphere,5232425,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2774,10,2571,https://i.ibb.co/4PdgF4m/jagermech-rg.png,True,True,1.0,BattleMech,Sniper,BM,3,"8""",0,3,5,0,3,False,3,False,2,False,0,False,0,26,AC1/1/1,0,65,late-succession-war-renaissance,cc
479,"Catapult CPLT-C1 (Jenny) ""Butterbee""",,Catapult,"CPLT-C1 (Jenny) ""Butterbee""",65,1242,Inner Sphere,5641625,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3027,256,3020,https://i.ibb.co/gT50xFk/catapult-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"8""j",0,5,5,0,3,False,3,False,0,False,0,False,3,31,SRM2/2,0,65,late-succession-war-renaissance,cc
477,Catapult CPLT-A1,,Catapult,CPLT-A1,65,1285,Inner Sphere,5658125,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2563,9,2005,https://i.ibb.co/gT50xFk/catapult-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"8""j",0,6,5,0,1,False,2,False,2,False,0,False,0,31,"IF2,LRM1/2/2",0,65,late-succession-war-renaissance,cc
751,Crusader CRD-3L,,Crusader,CRD-3L,65,1297,Inner Sphere,5722310,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2753,10,2571,https://i.ibb.co/VNLfwbr/crusader-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"8""j",0,6,5,0,2,False,3,False,2,False,0,False,1,34,IF1,0,65,late-succession-war-renaissance,cc
482,Catapult CPLT-C4,,Catapult,CPLT-C4,65,1358,Inner Sphere,5893250,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2565,9,2005,https://i.ibb.co/gT50xFk/catapult-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"8""j",0,5,5,0,2,False,2,False,2,False,0,False,1,31,"IF2,LRM1/2/2,OVL",0,65,late-succession-war-renaissance,cc
5382,Warhammer WHM-6L-DC,,Warhammer,WHM-6L-DC,70,0,Inner Sphere,0,Unknown,204,MWC,192,None,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2827,11,2781,https://i.ibb.co/Mgn3hRd/warhammer-rg.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,70,late-succession-war-renaissance,cc
5795,Cataphract CTF-0X,,Cataphract,CTF-0X,70,1258,Inner Sphere,6661903,Experimental,368,XTR:SW,368,XTR:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3025,256,3020,https://i.ibb.co/s39cC7g/cataphract-xtr.png,True,True,1.0,BattleMech,Sniper,BM,3,"8""",0,6,6,0,2,False,3,False,2,False,0,False,0,38,"ECM,LPRB,RCN,RSD1",0,70,late-succession-war-renaissance,cc
3487,Warhammer WHM-6L,,Warhammer,WHM-6L,70,1311,Inner Sphere,6077783,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2825,11,2781,https://i.ibb.co/Mgn3hRd/warhammer-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,5,6,0,3,False,2,False,2,False,0,False,2,31,,0,70,late-succession-war-renaissance,cc
466,Cataphract CTF-1X,,Cataphract,CTF-1X,70,1316,Inner Sphere,5998053,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3025,256,3020,https://i.ibb.co/0srNqDB/cataphract-rg.png,True,True,1.0,BattleMech,Brawler,BM,3,"8""",0,6,6,0,3,False,3,False,1,False,0,False,0,33,"AC1/1/-,REAR1/1/-",0,70,late-succession-war-renaissance,cc
467,Cataphract CTF-2X,,Cataphract,CTF-2X,70,1344,Inner Sphere,5877353,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3027,256,3020,https://i.ibb.co/0srNqDB/cataphract-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,7,6,0,3,False,3,False,0,False,0,False,1,35,,0,70,late-succession-war-renaissance,cc
2036,Marauder MAD-3L,,Marauder,MAD-3L,75,1369,Inner Sphere,6467125,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2905,255,2901,https://i.ibb.co/rps20YY/marauder-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,6,6,0,3,False,3,False,2,False,0,False,1,35,,0,75,late-succession-war-renaissance,cc
562,Charger CGR-1L,,Charger,CGR-1L,80,980,Inner Sphere,7662120,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3022,256,3020,https://i.ibb.co/R2Ysksm/charger-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,4,"10""",0,3,6,0,2,False,2,False,0,False,0,False,0,26,ENE,0,80,late-succession-war-renaissance,cc
3407,Victor VTR-9A,,Victor,VTR-9A,80,1236,Inner Sphere,8027220,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2508,9,2005,https://i.ibb.co/MM4ZZHL/victor-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,4,"8""j",0,5,6,0,3,False,3,False,0,False,0,False,1,31,AC1/1/-,0,80,late-succession-war-renaissance,cc
3408,Victor VTR-9A1,,Victor,VTR-9A1,80,1302,Inner Sphere,8036220,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2508,9,2005,https://i.ibb.co/MM4ZZHL/victor-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,4,"8""j",0,5,6,0,4,False,4,False,0,False,0,False,0,33,AC2/2/-,0,80,late-succession-war-renaissance,cc
560,Charger CGR-1A5,,Charger,CGR-1A5,80,1468,Inner Sphere,7756770,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3023,256,3020,https://i.ibb.co/R2Ysksm/charger-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"8""",0,8,6,0,4,False,3,False,0,False,0,False,1,38,"AC2/2/-,SRM1/1",0,80,late-succession-war-renaissance,cc
3094,Striker STC-2C,,Striker,STC-2C,80,1488,Inner Sphere,7721220,Introductory,240,TR:3058U,255,RS:3058Uu-C,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2571,10,2571,https://i.ibb.co/TcTSh6W/striker-3058u.png,True,True,1.0,BattleMech,Brawler,BM,4,"8""",0,7,6,0,2,False,3,False,2,False,0,False,1,36,,0,80,late-succession-war-renaissance,cc
9543,Mauler MAL-1PT6,Mauler,Mauler,MAL-1PT6,90,1270,Inner Sphere,0,Introductory,542,Shrap15,464,ShrapRS,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3022,256,3020,https://i.ibb.co/NLrqZX1/mauler-rg.png,False,True,1.0,BattleMech,Sniper,BM,4,"4""",0,7,7,0,2,False,2,False,3,False,0,False,3,47,IF2,0,90,late-succession-war-renaissance,cc
9542,Mauler MAL-1PT5,Mauler,Mauler,MAL-1PT5,90,1400,Inner Sphere,0,Introductory,542,Shrap15,464,ShrapRS,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3022,256,3020,https://i.ibb.co/NLrqZX1/mauler-rg.png,False,True,1.0,BattleMech,Sniper,bm,4,"6""",0,7,7,0,2,False,3,False,3,False,0,False,1,40,"IF2,LRM1/1/2",0,90,late-succession-war-renaissance,cc
4032,Cyclops CP-11-A-DC,,Cyclops,CP-11-A-DC,90,1507,Inner Sphere,10125860,Advanced,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3045,256,3020,https://i.ibb.co/dG1cSG6/cyclops-rg.png,False,True,1.0,BattleMech,Sniper,BM,4,"8""",0,5,7,0,3,False,4,False,2,False,0,False,0,37,"IF1,MHQ1",0,90,late-succession-war-renaissance,cc
1517,Highlander HGN-733,,Highlander,HGN-733,90,1801,Inner Sphere,8307180,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Nr9LwY8/highlander-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""j",0,9,7,0,3,False,3,False,2,False,0,False,1,44,IF1,0,90,late-succession-war-renaissance,cc
1518,Highlander HGN-733C,,Highlander,HGN-733C,90,1857,Inner Sphere,8395530,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Nr9LwY8/highlander-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""j",0,9,7,0,3,False,3,False,2,False,0,False,2,44,"AC1/1/-,IF1",0,90,late-succession-war-renaissance,cc
1519,Highlander HGN-733P,,Highlander,HGN-733P,90,1865,Inner Sphere,8310980,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Nr9LwY8/highlander-rg.png,False,True,1.0,BattleMech,Sniper,BM,4,"6""j",0,9,7,0,3,False,4,False,3,False,0,False,0,46,"IF1,LRM1/1/1",0,90,late-succession-war-renaissance,cc
7433,Atlas AS7-A,,Atlas,AS7-A,100,1787,Inner Sphere,9527000,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2954,255,2901,https://i.ibb.co/VtHKQ7Q/atlas-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,10,8,0,4,False,5,False,2,False,0,False,2,52,"IF1,SRM3/3",0,100,late-succession-war-renaissance,cc
