Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
5769,Flea FLE-14,,Flea,FLE-14,15,270,Inner Sphere,1336875,Experimental,368,XTR:SW,368,XTR:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2519,9,2005,https://i.ibb.co/c6JXCzJ/flea-xtr.png,True,True,1.0,BattleMech,Scout,BM,1,"18""/8""j",0,1,1,0,1,False,1,False,0,False,0,False,0,14,"ENE,JMPW2",0,15,late-succession-war-renaissance,fwl
1136,Flea FLE-15,,Flea,FLE-15,20,430,Inner Sphere,1520400,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2523,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,2,2,0,2,False,1,False,0,False,0,False,0,14,REAR1/-/-,0,20,late-succession-war-renaissance,fwl
1140,Flea FLE-4,,Flea,FLE-4,20,432,Inner Sphere,1519200,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2501,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,1,2,0,2,False,1,False,0,False,0,False,0,12,"ENE,REAR0*/-/-",0,20,late-succession-war-renaissance,fwl
5390,Wasp LAM WSP-105M,,Wasp LAM,WSP-105M,30,0,Inner Sphere,2374840,Experimental,202,TR:3085,253,RS:3085u-CE,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3024,256,3020,https://i.ibb.co/TLdxmPK/wasp-lam-3025.png,False,True,1.1,BattleMech,Scout,BM,1,"12""j",0,3,3,0,1,False,1,False,0,True,0,False,0,23,"FUEL4,IF0*,LAM(36""g/6a)",0,30,late-succession-war-renaissance,fwl
1485,Hermes HER-1A,,Hermes,HER-1A,30,601,Inner Sphere,2569970,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/6ng4fnN/hermes-3039.png,True,True,1.0,BattleMech,Scout,BM,1,"18""",0,2,3,0,2,False,1,False,0,False,0,False,0,21,ENE,0,30,late-succession-war-renaissance,fwl
1489,Hermes HER-3S,,Hermes,HER-3S,30,649,Inner Sphere,3588520,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3047,256,3020,https://i.ibb.co/QYqFYmz/hermes-3050u.png,True,True,1.0,BattleMech,Scout,BM,1,"22""",0,1,3,0,1,False,1,False,0,False,0,False,0,22,"ENE,PRB,RCN",0,30,late-succession-war-renaissance,fwl
1486,Hermes HER-1B,,Hermes,HER-1B,30,687,Inner Sphere,2612220,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2856,11,2781,https://i.ibb.co/6ng4fnN/hermes-3039.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,3,0,2,False,2,False,0,False,0,False,0,25,ENE,0,30,late-succession-war-renaissance,fwl
127,Assassin ASN-21,,Assassin,ASN-21,40,749,Inner Sphere,3765813,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2676,10,2571,https://i.ibb.co/Vt52ZRM/assassin-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"14""j",0,2,3,0,1,False,1,False,0,True,0,False,0,22,IF0*,0,40,late-succession-war-renaissance,fwl
1497,Hermes II HER-2S,,Hermes II,HER-2S,40,784,Inner Sphere,3165680,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2798,11,2781,https://i.ibb.co/GJLV05M/hermes-ii-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"12""",0,4,3,0,2,False,1,False,1,False,0,False,0,22,,0,40,late-succession-war-renaissance,fwl
1496,"Hermes II HER-2M ""Mercury""",,Hermes II,"HER-2M ""Mercury""",40,910,Inner Sphere,3262514,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2802,11,2781,https://i.ibb.co/GJLV05M/hermes-ii-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"14""",0,4,3,0,3,False,2,False,0,False,0,False,0,33,,0,40,late-succession-war-renaissance,fwl
2499,Phoenix Hawk PXH-3M,,Phoenix Hawk,PXH-3M,45,1307,Inner Sphere,8458140,Standard,539,RGv1,455,RG11,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3045,256,3020,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,4,2,0,2,False,2,False,2,False,0,False,1,27,"AMS,CASE",0,45,late-succession-war-renaissance,fwl
1561,Hunchback HBK-5M,,Hunchback,HBK-5M,50,1056,Inner Sphere,3643000,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3046,256,3020,https://i.ibb.co/xL9wy34/hunchback-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,2,"8""",0,5,4,0,3,False,3,False,0,False,0,False,0,27,"AC2/2/-,CASE",0,50,late-succession-war-renaissance,fwl
3296,Trebuchet TBT-5J,,Trebuchet,TBT-5J,50,1191,Inner Sphere,4383500,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2850,11,2781,https://i.ibb.co/7zxsmgX/trebuchet-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"10""j",0,4,4,0,2,False,3,False,1,False,0,False,0,30,IF1,0,50,late-succession-war-renaissance,fwl
3300,Trebuchet TBT-7M,,Trebuchet,TBT-7M,50,1348,Inner Sphere,9006500,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/7zxsmgX/trebuchet-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,2,"10""j",0,4,2,0,3,False,3,False,2,False,0,False,0,31,"CASE,IF1,LRM1/1/1,SNARC",0,50,late-succession-war-renaissance,fwl
3572,Wolverine WVR-6M,Wolverine,Wolverine,WVR-6M,55,1291,Inner Sphere,4865657,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2816,11,2781,https://i.ibb.co/F8jQ7xL/wolverine-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"10""j",0,6,5,0,2,False,2,False,0,False,0,False,1,32,,0,55,late-succession-war-renaissance,fwl
4020,Cronus CNS-3M,,Cronus,CNS-3M,55,1339,Inner Sphere,4896657,Introductory,246,TR:3067,367,RS:3067u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3031,256,3020,https://i.ibb.co/fSpc2P4/cronus-3060.png,False,True,1.2,BattleMech,Skirmisher,BM,2,"10""j",0,6,5,0,2,False,2,False,0,False,0,False,1,32,,0,55,late-succession-war-renaissance,fwl
2906,Shadow Hawk SHD-5M,,Shadow Hawk,SHD-5M,55,1430,Inner Sphere,10296857,Standard,539,RGv1,456,RG12,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/NpNFRL1/shadow-hawk-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,2,"10""j",0,6,3,0,2,False,3,False,2,False,0,False,0,35,"CASE,IF1",0,55,late-succession-war-renaissance,fwl
2353,Ostroc OSR-2M,,Ostroc,OSR-2M,60,1239,Inner Sphere,5253760,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2793,11,2781,https://i.ibb.co/KDcQ3RV/ostroc-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"10""j",0,5,5,0,2,False,2,False,0,False,0,False,0,29,ENE,0,60,late-succession-war-renaissance,fwl
5187,Tempest TMP-2M,,Tempest,TMP-2M,65,0,Inner Sphere,0,Unknown,463,TR:J,192,None,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3046,256,3020,https://i.ibb.co/cJc23wF/tempest-3055u.png,False,True,1.1,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,65,late-succession-war-renaissance,fwl
4147,Exterminator EXT-4A,,Exterminator,EXT-4A,65,1372,Inner Sphere,6537272,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3007,255,2901,https://i.ibb.co/Jjc3HSm/exterminator-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"10""j",0,6,5,0,2,False,2,False,1,False,0,False,1,35,IF1,0,65,late-succession-war-renaissance,fwl
1340,Guillotine GLT-4P,,Guillotine,GLT-4P,70,1376,Inner Sphere,6198483,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2833,11,2781,https://i.ibb.co/wWmYrPg/guillotine-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,3,"8""j",0,5,6,0,4,False,4,False,1,False,0,False,0,34,,0,70,late-succession-war-renaissance,fwl
