Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
4267,Hatchetman HCT-3G,,Hatchetman,HCT-3G,0,0,Inner Sphere,0,Unknown,307,Recognition Cards,192,None,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3023,256,3020,https://i.ibb.co/sKrQj5m/hatchetman-rg.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,,late-succession-war-renaissance,lc
1900,Locust LCT-1S,,Locust,LCT-1S,20,440,Inner Sphere,1543600,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2567,9,2005,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,18,,0,20,late-succession-war-renaissance,lc
668,Commando COM-1C,,Commando,COM-1C,25,458,Inner Sphere,1743750,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3020,256,3020,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,1,False,1,False,0,True,0,False,0,14,,0,25,late-succession-war-renaissance,lc
672,Commando COM-3A,,Commando,COM-3A,25,540,Inner Sphere,1879375,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3025,256,3020,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,SRM1/1,0,25,late-succession-war-renaissance,lc
670,Commando COM-2D,,Commando,COM-2D,25,541,Inner Sphere,1891250,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2486,9,2005,https://i.ibb.co/tcxdcYf/commando-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,SRM1/1,0,25,late-succession-war-renaissance,lc
669,Commando COM-1D,,Commando,COM-1D,25,558,Inner Sphere,1845000,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2480,9,2005,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,,0,25,late-succession-war-renaissance,lc
667,Commando COM-1B,,Commando,COM-1B,25,616,Inner Sphere,1820000,Introductory,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3015,255,2901,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,,0,25,late-succession-war-renaissance,lc
3979,Commando COM-7X,,Commando,COM-7X,25,623,Inner Sphere,0,Introductory,544,Shrap16,464,ShrapRS,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3018,255,2901,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,2.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,3,False,3,False,0,False,0,False,0,21,,0,25,late-succession-war-renaissance,lc
3378,Valkyrie VLK-QF,,Valkyrie,VLK-QF,30,653,Inner Sphere,2163070,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2967,255,2901,https://i.ibb.co/FYf5ZmT/valkyrie-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,1,"10""j",0,3,3,0,1,False,1,False,1,False,0,False,0,19,IF1,0,30,late-succession-war-renaissance,lc
3372,Valkyrie VLK-QA,,Valkyrie,VLK-QA,30,723,Inner Sphere,2205320,Introductory,180,TR:3039,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2787,11,2781,https://i.ibb.co/FYf5ZmT/valkyrie-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,1,"10""j",0,3,3,0,1,False,2,False,1,False,0,False,0,22,IF1,0,30,late-succession-war-renaissance,lc
2425,Panther PNT-9R,,Panther,PNT-9R,35,769,Inner Sphere,2485710,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2759,10,2571,https://i.ibb.co/TbxKkyQ/panther-rg.png,True,True,1.0,BattleMech,Brawler,BM,1,"8""j",0,3,3,0,2,False,2,False,1,False,0,False,0,19,,0,35,late-succession-war-renaissance,lc
1098,"Firestarter FS9-M ""Mirage""",,Firestarter,"FS9-M ""Mirage""",35,798,Inner Sphere,3065175,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2893,11,2781,https://i.ibb.co/vY5ch3G/firestarter-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,4,3,0,2,False,1,False,0,False,0,False,0,21,,0,35,late-succession-war-renaissance,lc
3560,Wolfhound WLF-1,,Wolfhound,WLF-1,35,949,Inner Sphere,5253930,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3028,256,3020,https://i.ibb.co/V9qnp94/wolfhound-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,4,3,0,2,False,2,False,0,False,0,False,1,24,"ENE,REAR1/1/-",0,35,late-succession-war-renaissance,lc
3561,Wolfhound WLF-1A,,Wolfhound,WLF-1A,35,967,Inner Sphere,5202630,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3028,256,3020,https://i.ibb.co/V9qnp94/wolfhound-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,4,3,0,2,False,2,False,0,False,0,False,1,24,ENE,0,35,late-succession-war-renaissance,lc
3562,Wolfhound WLF-1B,,Wolfhound,WLF-1B,35,967,Inner Sphere,5253930,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3028,256,3020,https://i.ibb.co/V9qnp94/wolfhound-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,4,3,0,2,False,2,False,0,False,0,False,1,24,ENE,0,35,late-succession-war-renaissance,lc
7797,Vulcan VL-2T (Timms),,Vulcan,VL-2T (Timms),40,603,Inner Sphere,3435250,Introductory,422,TR:SW,459,TP:39V,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3034,256,3020,https://i.ibb.co/q0Gx2rJ/vulcan-rg.png,False,True,1.0,BattleMech,Scout,BM,2,"12""j",0,3,3,0,1,False,0,True,0,True,0,False,0,18,HT1/-/-,0,40,late-succession-war-renaissance,lc
127,Assassin ASN-21,,Assassin,ASN-21,40,749,Inner Sphere,3765813,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2676,10,2571,https://i.ibb.co/Vt52ZRM/assassin-rg.png,True,True,1.0,BattleMech,Scout,BM,2,"14""j",0,2,3,0,1,False,1,False,0,True,0,False,0,22,IF0*,0,40,late-succession-war-renaissance,lc
645,Clint CLNT-2-3T (Denton),,Clint,CLNT-2-3T (Denton),40,873,Inner Sphere,3542280,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3033,256,3020,https://i.ibb.co/K02WmGs/clint-rg.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,2,3,0,2,False,2,False,0,False,0,False,0,20,ENE,0,40,late-succession-war-renaissance,lc
1410,Hatchetman HCT-3F,,Hatchetman,HCT-3F,45,854,Inner Sphere,5630640,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3023,256,3020,https://i.ibb.co/sKrQj5m/hatchetman-rg.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""j",0,3,4,0,2,False,2,False,0,False,0,False,0,20,"AC1/1/-,MEL",0,45,late-succession-war-renaissance,lc
2502,Phoenix Hawk PXH-3S,,Phoenix Hawk,PXH-3S,45,1237,Inner Sphere,8909090,Standard,539,RGv1,455,RG11,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3042,256,3020,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,1.0,BattleMech,Striker,BM,2,"16""/12""j",0,5,2,0,3,False,2,False,0,False,0,False,0,37,"AMS,CASE,JMPW1",0,45,late-succession-war-renaissance,lc
976,Enforcer ENF-4R,,Enforcer,ENF-4R,50,1032,Inner Sphere,3536875,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2777,10,2571,https://i.ibb.co/4FsbQH1/enforcer-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,2,"8""j",0,5,4,0,3,False,2,False,0,False,0,False,0,25,AC1/1/-,0,50,late-succession-war-renaissance,lc
9402,Griffin GRF-1RG,,Griffin,GRF-1RG,55,1167,Inner Sphere,0,Introductory,539,RGv1,425,RG01,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2597,10,2571,https://i.ibb.co/JRfrnbh/griffin-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"10""",0,5,5,0,4,False,3,False,0,False,0,False,0,33,,0,55,late-succession-war-renaissance,lc
9401,Griffin GRF-3RG,,Griffin,GRF-3RG,55,1213,Inner Sphere,0,Standard,539,RGv1,425,RG01,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/JRfrnbh/griffin-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"10""",0,5,5,0,4,False,3,False,0,False,0,False,0,33,CASE,0,55,late-succession-war-renaissance,lc
1298,Griffin GRF-1S,,Griffin,GRF-1S,55,1253,Inner Sphere,4783507,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2857,11,2781,https://i.ibb.co/JRfrnbh/griffin-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"10""j",0,5,5,0,2,False,2,False,0,True,0,False,1,31,IF0*,0,55,late-succession-war-renaissance,lc
1295,"Griffin GRF-1E ""Sparky""",,Griffin,"GRF-1E ""Sparky""",55,1449,Inner Sphere,5037707,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3035,256,3020,https://i.ibb.co/JRfrnbh/griffin-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,2,"10""j",0,6,5,0,2,False,2,False,1,False,0,False,2,34,ENE,0,55,late-succession-war-renaissance,lc
3241,Thunderbolt TDR-5SS,,Thunderbolt,TDR-5SS,65,1337,Inner Sphere,5320535,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2930,255,2901,https://i.ibb.co/YQRy8Kf/thunderbolt-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,7,5,0,3,False,3,False,1,False,0,False,1,35,,0,65,late-succession-war-renaissance,lc
184,Axman AXM-1N,,Axman,AXM-1N,65,1374,Inner Sphere,11840510,Standard,436,TR:CI,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/0sFsJYD/axman-rg.png,True,True,1.0,BattleMech,Skirmisher,BM,3,"8""j",0,6,3,0,4,False,4,False,0,False,0,False,1,33,"AC2/2/-,CASE,MEL",0,65,late-succession-war-renaissance,lc
76,Archer ARC-2S,,Archer,ARC-2S,70,1393,Inner Sphere,6425773,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2915,255,2901,https://i.ibb.co/j5VhJJF/archer-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"8""",0,7,6,0,2,False,2,False,2,False,0,False,2,36,"IF2,REAR1/1/-",0,70,late-succession-war-renaissance,lc
360,Black Knight BL-7-KNT,,Black Knight,BL-7-KNT,75,1443,Inner Sphere,6594438,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2809,11,2781,https://i.ibb.co/Fg8KWrd/black-knight-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,6,6,0,3,False,3,False,1,False,0,False,2,34,ENE,0,75,late-succession-war-renaissance,lc
1123,Flashman FLS-7K,,Flashman,FLS-7K,75,1480,Inner Sphere,6341125,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2796,11,2781,https://i.ibb.co/zZXL7BP/flashman-rg.png,False,True,1.0,BattleMech,Brawler,BM,3,"8""",0,7,6,0,4,False,3,False,0,False,0,False,1,36,"ENE,REAR1/1/-",0,75,late-succession-war-renaissance,lc
5436,Zeus ZEU-6S1,,Zeus,ZEU-6S1,80,0,Inner Sphere,0,Introductory,258,MW1e,192,None,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3001,255,2901,https://i.ibb.co/GRNM37R/zeus-rg.png,False,True,1.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,80,late-succession-war-renaissance,lc
5437,Zeus ZEU-6S-DC,,Zeus,ZEU-6S-DC,80,0,Inner Sphere,0,Unknown,204,MWC,192,None,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3001,255,2901,https://i.ibb.co/GRNM37R/zeus-rg.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,80,late-succession-war-renaissance,lc
559,Charger CGR-1A1,,Charger,CGR-1A1,80,981,Inner Sphere,7520370,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2665,10,2571,https://i.ibb.co/R2Ysksm/charger-rg.png,True,True,1.0,BattleMech,Scout,BM,4,"10""",0,5,6,0,2,False,0,False,0,False,0,False,0,18,ENE,0,80,late-succession-war-renaissance,lc
3642,Zeus ZEU-6S,,Zeus,ZEU-6S,80,1348,Inner Sphere,7617900,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2898,11,2781,https://i.ibb.co/GRNM37R/zeus-rg.png,True,True,1.0,BattleMech,Sniper,BM,4,"8""",0,6,6,0,3,False,3,False,2,False,0,False,0,35,"IF1,REAR1/1/-",0,80,late-succession-war-renaissance,lc
3414,Victor VTR-9S,,Victor,VTR-9S,80,1360,Inner Sphere,8062320,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2998,255,2901,https://i.ibb.co/MM4ZZHL/victor-rg.png,False,True,1.0,BattleMech,Skirmisher,BM,4,"8""j",0,6,6,0,4,False,4,False,0,False,0,False,0,36,AC2/2/-,0,80,late-succession-war-renaissance,lc
7432,Zeus ZEU-6A,,Zeus,ZEU-6A,80,1405,Inner Sphere,7856400,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2940,255,2901,https://i.ibb.co/GRNM37R/zeus-rg.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,6,6,0,3,False,3,False,1,False,0,False,2,35,"REAR1/1/-,SRM1/1",0,80,late-succession-war-renaissance,lc
3643,Zeus ZEU-6T,,Zeus,ZEU-6T,80,1436,Inner Sphere,7752000,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3026,256,3020,https://i.ibb.co/GRNM37R/zeus-rg.png,False,True,1.0,BattleMech,Sniper,BM,4,"8""",0,6,6,0,2,False,3,False,2,False,0,False,0,34,"IF1,REAR1/1/-",0,80,late-succession-war-renaissance,lc
1229,Goliath GOL-1H,,Goliath,GOL-1H,80,1449,Inner Sphere,7651200,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2652,10,2571,https://i.ibb.co/qBWQDxH/goliath-rg.png,True,True,1.0,BattleMech,Sniper,BM,4,"8""",0,8,6,0,2,False,3,False,3,False,0,False,0,39,"IF1,LRM1/1/1",0,80,late-succession-war-renaissance,lc
3096,Striker STC-2S,,Striker,STC-2S,80,1466,Inner Sphere,7689720,Introductory,240,TR:3058U,255,RS:3058Uu-C,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2845,11,2781,https://i.ibb.co/TcTSh6W/striker-3058u.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,7,6,0,3,False,3,False,1,False,0,False,1,36,,0,80,late-succession-war-renaissance,lc
3094,Striker STC-2C,,Striker,STC-2C,80,1488,Inner Sphere,7721220,Introductory,240,TR:3058U,255,RS:3058Uu-C,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2571,10,2571,https://i.ibb.co/TcTSh6W/striker-3058u.png,True,True,1.0,BattleMech,Brawler,BM,4,"8""",0,7,6,0,2,False,3,False,2,False,0,False,1,36,,0,80,late-succession-war-renaissance,lc
570,"Charger CGR-SB ""Challenger""",,Charger,"CGR-SB ""Challenger""",80,1604,Inner Sphere,6298920,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3025,256,3020,https://i.ibb.co/R2Ysksm/charger-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,8,6,0,4,False,4,False,0,False,0,False,0,39,ENE,0,80,late-succession-war-renaissance,lc
3644,Zeus ZEU-9S,,Zeus,ZEU-9S,80,1639,Inner Sphere,8614200,Standard,231,TR:3050U,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/GRNM37R/zeus-rg.png,False,True,1.0,BattleMech,Sniper,BM,4,"8""",0,7,6,0,3,False,4,False,3,False,0,False,0,40,"CASE,IF1,REAR1/1/-",0,80,late-succession-war-renaissance,lc
289,BattleMaster BLR-1S,,BattleMaster,BLR-1S,85,1507,Inner Sphere,8299593,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3025,256,3020,https://i.ibb.co/Jy1FLdL/battlemaster-rg.png,False,True,1.0,BattleMech,Brawler,BM,4,"8""",0,8,7,0,3,False,4,False,1,False,0,False,0,42,"IF1,LRM1/1/1",0,85,late-succession-war-renaissance,lc
9545,Mauler MAL-1X-AFFC,Mauler,Mauler,MAL-1X-AFFC,90,1286,Inner Sphere,0,Standard,542,Shrap15,464,ShrapRS,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3040,256,3020,https://i.ibb.co/NLrqZX1/mauler-rg.png,False,True,1.0,BattleMech,Juggernaut,bm,4,"6""",0,5,7,0,3,False,3,False,1,False,0,False,2,33,"CASE,SRM1/1",0,90,late-succession-war-renaissance,lc
788,Daboku DCMS-MX90-D,Mauler,Daboku,DCMS-MX90-D,90,1290,Inner Sphere,8012300,Standard,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3038,256,3020,https://i.ibb.co/NLrqZX1/mauler-rg.png,True,True,1.0,BattleMech,Sniper,BM,4,"6""",0,5,7,0,2,False,2,False,2,False,0,False,2,32,"CASE,IF1",0,90,late-succession-war-renaissance,lc
1517,Highlander HGN-733,,Highlander,HGN-733,90,1801,Inner Sphere,8307180,Introductory,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Nr9LwY8/highlander-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""j",0,9,7,0,3,False,3,False,2,False,0,False,1,44,IF1,0,90,late-succession-war-renaissance,lc
1518,Highlander HGN-733C,,Highlander,HGN-733C,90,1857,Inner Sphere,8395530,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Nr9LwY8/highlander-rg.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""j",0,9,7,0,3,False,3,False,2,False,0,False,2,44,"AC1/1/-,IF1",0,90,late-succession-war-renaissance,lc
1519,Highlander HGN-733P,,Highlander,HGN-733P,90,1865,Inner Sphere,8310980,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,2866,11,2781,https://i.ibb.co/Nr9LwY8/highlander-rg.png,False,True,1.0,BattleMech,Sniper,BM,4,"6""j",0,9,7,0,3,False,4,False,3,False,0,False,0,46,"IF1,LRM1/1/1",0,90,late-succession-war-renaissance,lc
245,Banshee BNC-3S,,Banshee,BNC-3S,95,1751,Inner Sphere,8870745,Introductory,422,TR:SW,526,RSFP:ELH,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3026,256,3020,https://i.ibb.co/GT7VY78/banshee-rg.png,True,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,8,8,0,4,False,4,False,2,False,0,False,2,45,,0,95,late-succession-war-renaissance,lc
894,Devastator DVS-2,,Devastator,DVS-2,100,2481,Inner Sphere,22398000,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3048,256,3020,https://i.ibb.co/k0yHwd6/devastator-rg.png,True,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,10,4,0,6,False,7,False,5,False,0,False,0,54,REAR1/1/-,0,100,late-succession-war-renaissance,lc
