Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
1900,Locust LCT-1S,,Locust,LCT-1S,20,440,Inner Sphere,1543600,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2567,9,2005,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,18,,0,20,star-league,lc
3191,Thorn THE-N,,Thorn,THE-N,20,546,Inner Sphere,1653120,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2549,9,2005,https://i.ibb.co/8Mq68tW/thorn-3050u.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,"CASE,IF0*",0,20,star-league,lc
2172,Mercury MCY-99,,Mercury,MCY-99,20,586,Inner Sphere,1796440,Standard,422,TR:SW,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2742,10,2571,https://i.ibb.co/SdyFM0N/mercury-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"20""",0,2,2,0,2,False,1,False,0,False,0,False,0,22,ENE,0,20,star-league,lc
666,Commando COM-1A,,Commando,COM-1A,25,475,Primitive,1705000,Advanced,172,XTR:Primitives I,172,XTR:Primitives I,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2463,9,2005,https://i.ibb.co/NnMW0g6/commando-prim.png,True,True,1.0,BattleMech,Scout,BM,1,"10""",0,2,2,0,1,False,1,False,0,False,0,False,0,13,ENE,0,25,star-league,lc
670,Commando COM-2D,,Commando,COM-2D,25,541,Inner Sphere,1891250,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2486,9,2005,https://i.ibb.co/tcxdcYf/commando-rg.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,SRM1/1,0,25,star-league,lc
669,Commando COM-1D,,Commando,COM-1D,25,558,Inner Sphere,1845000,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2480,9,2005,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,,0,25,star-league,lc
1022,Falcon FLC-4N,,Falcon,FLC-4N,30,610,Inner Sphere,2249390,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2582,10,2571,https://i.ibb.co/6Xrnn8p/falcon-3039.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,3,3,0,2,False,1,False,0,False,0,False,0,19,REAR0*/-/-,0,30,star-league,lc
1585,Hussar HSR-200-D,,Hussar,HSR-200-D,30,636,Inner Sphere,2790840,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2620,10,2571,https://i.ibb.co/nQjTYDT/hussar-3050u.png,True,True,1.0,BattleMech,Scout,BM,1,"18""",0,1,3,0,1,False,1,False,1,False,0,False,0,18,ENE,0,30,star-league,lc
1023,Falcon FLC-4Nb,,Falcon,FLC-4Nb,30,947,Inner Sphere,2760940,Standard,211,His:OK,187,RS:OK,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2776,10,2571,https://i.ibb.co/4jnDyVY/falcon-opk.png,False,True,1.0,BattleMech,Striker,BM,1,"12""j",0,3,3,0,2,False,2,False,0,False,0,False,0,22,ENE,0,30,star-league,lc
2366,Ostscout OTT-7J,,Ostscout,OTT-7J,35,596,Inner Sphere,3416760,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2600,10,2571,https://i.ibb.co/30jR8z1/ostscout-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,3,0,1,False,1,False,0,False,0,False,0,21,ENE,0,35,star-league,lc
