Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Availability Era,Faction
1136,Flea FLE-15,,Flea,FLE-15,20,430,Inner Sphere,1520400,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2523,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,2,2,0,2,False,1,False,0,False,0,False,0,14,REAR1/-/-,0,20,star-league,oa
1140,Flea FLE-4,,Flea,FLE-4,20,432,Inner Sphere,1519200,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2501,9,2005,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""",0,1,2,0,2,False,1,False,0,False,0,False,0,12,"ENE,REAR0*/-/-",0,20,star-league,oa
1487,Hermes HER-1S,,Hermes,HER-1S,30,716,Inner Sphere,2701270,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2632,10,2571,https://i.ibb.co/QYqFYmz/hermes-3050u.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,3,3,0,2,False,1,False,0,False,0,False,0,25,ENE,0,30,star-league,oa
644,Clint CLNT-2-3T,,Clint,CLNT-2-3T,40,770,Inner Sphere,3572380,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2608,10,2571,https://i.ibb.co/K02WmGs/clint-rg.png,True,True,1.0,BattleMech,Striker,BM,2,"12""j",0,2,3,0,2,False,2,False,1,False,0,False,0,21,,0,40,star-league,oa
1600,Icarus II ICR-1S,,Icarus II,ICR-1S,40,869,Inner Sphere,2794563,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2518,9,2005,https://i.ibb.co/crGmZpC/icarus-ii-pc.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""j",0,4,3,0,3,False,2,False,0,False,0,False,0,22,AC1/1/-,0,40,star-league,oa
3538,Whitworth WTH-1,,Whitworth,WTH-1,40,982,Inner Sphere,2912933,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2689,10,2571,https://i.ibb.co/CsRjY19/whitworth-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,2,"8""j",0,4,3,0,2,False,2,False,2,False,0,False,1,25,IF1,0,40,star-league,oa
2496,Phoenix Hawk PXH-2,,Phoenix Hawk,PXH-2,45,1145,Inner Sphere,4348840,Standard,201,TR:3025,266,RS:3085u-PP,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2599,10,2571,https://i.ibb.co/zbwpRDV/phoenix-hawk-rg2.png,False,True,1.0,BattleMech,Striker,BM,2,"12""j",0,5,4,0,2,False,2,False,0,False,0,False,0,30,"ECM,ENE",0,45,star-league,oa
4331,Hoplite HOP-4C,,Hoplite,HOP-4C,55,986,Inner Sphere,4093808,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2584,10,2571,https://i.ibb.co/6wHfbL7/hoplite-rg.png,False,True,1.0,BattleMech,Brawler,BM,2,"8""",0,6,5,0,2,False,2,False,0,True,0,False,0,28,"AC1/1/-,IF0*",0,55,star-league,oa
1198,Gladiator GLD-1R,,Gladiator,GLD-1R,55,1027,Primitive,4181848,Advanced,276,XTR:Primitives II,276,XTR:Primitives II,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2468,9,2005,https://i.ibb.co/9tVBGTM/gladiator-pc.png,True,True,1.0,BattleMech,Brawler,BM,2,"8""",0,6,5,0,2,False,2,False,0,False,0,False,0,27,ENE,0,55,star-league,oa
482,Catapult CPLT-C4,,Catapult,CPLT-C4,65,1358,Inner Sphere,5893250,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2565,9,2005,https://i.ibb.co/gT50xFk/catapult-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"8""j",0,5,5,0,2,False,2,False,2,False,0,False,1,31,"IF2,LRM1/2/2,OVL",0,65,star-league,oa
1821,Koschei KSC-3L,,Koschei,KSC-3L,65,1384,Inner Sphere,6118667,Introductory,189,TR:3075,228,RS:3075u-AW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2634,10,2571,https://i.ibb.co/N1z90gf/koschei-3075.png,False,True,1.0,BattleMech,Missile Boat,BM,3,"10""",0,6,5,0,2,False,2,False,1,False,0,False,1,34,IF1,0,65,star-league,oa
559,Charger CGR-1A1,,Charger,CGR-1A1,80,981,Inner Sphere,7520370,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2665,10,2571,https://i.ibb.co/R2Ysksm/charger-rg.png,True,True,1.0,BattleMech,Scout,BM,4,"10""",0,5,6,0,2,False,0,False,0,False,0,False,0,18,ENE,0,80,star-league,oa
2635,Rampage RMP-2G,,Rampage,RMP-2G,85,1444,Inner Sphere,7015755,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2735,10,2571,https://i.ibb.co/VN3mPt8/rampage-htpnd.png,False,True,1.0,BattleMech,Juggernaut,BM,4,"6""",0,7,7,0,4,False,4,False,1,False,0,False,0,40,"AC1/1/-,IF1",0,85,star-league,oa
1936,Longbow LGB-7Q,,Longbow,LGB-7Q,85,1618,Inner Sphere,7408325,Introductory,240,TR:3058U,511,RSFP:Wave 2,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2610,10,2571,https://i.ibb.co/x6pd5tC/longbow-rg.png,True,True,1.0,BattleMech,Missile Boat,BM,4,"6""",0,8,7,0,3,False,4,False,3,False,0,False,0,45,"IF3,LRM2/3/3",0,85,star-league,oa
8332,Longbow LGB-8C,,Longbow,LGB-8C,85,1653,Inner Sphere,0,Introductory,539,RGv1,490,RG20,https://i.ibb.co/fr2Wdf0/era01-age-of-war-star-league.png,2615,10,2571,https://i.ibb.co/x6pd5tC/longbow-rg.png,False,True,1.0,BattleMech,Missile Boat,BM,4,"6""",0,8,7,0,3,False,4,False,3,False,0,False,0,45,"IF3,LRM2/3/3,REAR1/1/-",0,85,star-league,oa
