Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Production Era
6671,Celerity CLR-03-O,,Celerity,CLR-03-O,15,187,Inner Sphere,9911563,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,True,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,False,0,False,0,False,0,False,0,15,"C3S,DRO,ENE,MHQ1,OMNI,TAG",0,15,dark-age
6706,Celerity CLR-03-OC,,Celerity,CLR-03-OC,15,202,Inner Sphere,9841125,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,False,0,False,0,False,0,False,0,16,"DRO,ENE,OMNI,PRB,RCN,RSD1",0,15,dark-age
6710,Celerity CLR-05-X,,Celerity,CLR-05-X,15,225,Inner Sphere,10374725,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,Unknown,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"48""",0,1,1,0,0,False,0,False,0,False,0,False,0,14,"DRO,ENE,IRA,MEL",0,15,dark-age
6704,Celerity CLR-03-OA,,Celerity,CLR-03-OA,15,275,Mixed,9741938,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,True,0,True,0,False,0,False,0,16,"DRO,ENE,OMNI",0,15,dark-age
8366,"Celerity CLR-03-OMM ""Rajah""",,Celerity,"CLR-03-OMM ""Rajah""",15,278,Mixed,0,Advanced,499,XTR:Royal Fantasy,499,XTR:Royal Fantasy,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3142,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,True,True,1.0,BattleMech,Scout,BM,1,"16""",0,1,1,0,1,False,1,False,0,False,0,False,0,14,"DRO,ENE,MEL",0,15,dark-age
6707,Celerity CLR-03-OD,,Celerity,CLR-03-OD,15,304,Inner Sphere,9523438,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,True,0,True,0,False,0,False,0,16,"DRO,ENE,OMNI",0,15,dark-age
8069,Prey Seeker PY-SR30,,Prey Seeker,PY-SR30,15,331,Inner Sphere,0,Advanced,441,TR:3150,467,RS:3150,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3141,16,3131,https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,False,True,1.0,BattleMech,Scout,BM,1,"24""",0,2,1,0,1,False,0,True,0,False,0,False,0,17,,0,15,dark-age
6705,Celerity CLR-03-OB,,Celerity,CLR-03-OB,15,339,Inner Sphere,10558438,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3138,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"40""",0,1,1,0,0,False,0,False,0,False,0,False,0,16,"AECM,DRO,ENE,OMNI",0,15,dark-age
6709,Celerity CLR-04-R,,Celerity,CLR-04-R,15,384,Inner Sphere,7532500,Advanced,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,Unknown,16,3131,https://i.ibb.co/njtxHmW/celerity-3145.png,False,True,1.0,BattleMech,Scout,BM,1,"30""",0,1,1,0,0,False,0,False,0,False,0,False,0,11,"DRO,TSEMP-O1",0,15,dark-age
6331,Prey Seeker PY-SR10,,Prey Seeker,PY-SR10,15,595,Inner Sphere,5717110,Advanced,441,TR:3150,467,RS:3150,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3136,16,3131,https://i.ibb.co/WkLHSR4/prey-seeker-3150.png,True,True,1.0,BattleMech,Striker,BM,1,"24""",0,2,1,0,2,False,2,False,0,False,0,False,0,26,"ENE,REL",0,15,dark-age
