Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Production Era
5136,Stinger IIC 2,,Stinger IIC,2,20,0,Clan,2158240,Standard,260,TR:Proto,192,None,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3086,15,3081,https://i.ibb.co/fxnCtbX/stinger-iic-proto.png,False,True,1.1,BattleMech,Scout,BM,1,"10""j",0,2,2,0,3,False,3,False,0,False,0,False,1,22,CASE,0,20,early-republic
3526,Wasp WSP-3A,,Wasp,WSP-3A,20,401,Inner Sphere,4508320,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3082,15,3081,https://i.ibb.co/h14bPpZ/wasp-3085.png,False,True,1.0,BattleMech,Scout,BM,1,"10""/16""j",0,2,1,0,1,False,1,False,0,False,0,False,0,16,"ENE,JMPS1",0,20,early-republic
8126,Stinger STG-6M,,Stinger,STG-6M,20,503,Inner Sphere,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3097,15,3081,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,1,False,1,False,0,False,0,False,0,15,"AMS, ENE",0,20,early-republic
8103,Wasp WSP-3X,,Wasp,WSP-3X,20,521,Inner Sphere,0,Experimental,470,XTR:Caveat,470,XTR:Caveat,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3088,15,3081,"https://i.ibb.co/8bqsTX7/wasp-alt-rg.png
",True,True,1.0,BattleMech,Missile Boat,BM,1,"12""j",0,1,1,0,1,False,2,False,1,False,0,False,0,15,IF1,0,20,early-republic
6950,Wasp WSP-3P,,Wasp,WSP-3P,20,537,Inner Sphere,3872720,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3086,15,3081,https://i.ibb.co/rkZXR1P/wasp-3l-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"14""j",0,2,2,0,1,False,1,False,0,True,0,False,0,19,ENE,0,20,early-republic
7570,Baboon (Howler) 6,,Baboon (Howler),6,20,550,Clan,2077040,Advanced,539,RGv1,438,RG08,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3086,15,3081,https://i.ibb.co/0BrdZXk/baboon-howler-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"14""",0,2,2,0,2,False,2,False,0,False,0,False,0,23,"CASEII,SRM2/2,TUR(2/2/-,SRM2/2)",0,20,early-republic
6947,Locust LCT-5M2,,Locust,LCT-5M2,20,693,Inner Sphere,3328000,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3087,15,3081,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,2,False,2,False,0,False,0,False,0,25,ENE,0,20,early-republic
5135,Stinger IIC  ,,Stinger IIC, ,20,730,Clan,2194440,Advanced,260,TR:Proto,428,RS:Proto,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3085,15,3081,https://i.ibb.co/fxnCtbX/stinger-iic-proto.png,True,True,1.1,BattleMech,Scout,BM,1,"12""j",0,2,2,0,3,False,3,False,0,False,0,False,0,22,CASE,0,20,early-republic
8305,Mercury MCY-105,,Mercury,MCY-105,20,795,Inner Sphere,0,Standard,489,RG19,489,RG19,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3092,15,3081,https://i.ibb.co/SdyFM0N/mercury-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"24""",0,2,1,0,2,False,2,False,0,False,0,False,0,26,ENE,0,20,early-republic
6948,Locust LCT-5M3,,Locust,LCT-5M3,20,929,Inner Sphere,2916000,Standard,440,TR:3145,536,RS:3145,https://i.ibb.co/VtCdwyP/era06-republic-dark-age.png,3088,15,3081,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"18""",0,2,1,0,2,False,2,False,1,False,0,False,0,23,ENE,0,20,early-republic
