Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Production Era
3065,Stinger STG-5T,,Stinger,STG-5T,20,341,Inner Sphere,4412640,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/vHNbLn3/stinger-5r-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,1,0,1,False,1,False,0,True,0,False,0,14,IF0*,0,20,jihad
1138,Flea FLE-19,,Flea,FLE-19,20,381,Inner Sphere,1483500,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,1,False,0,True,0,False,0,15,,0,20,jihad
3068,Stinger STG-7S,,Stinger,STG-7S,20,382,Inner Sphere,4920240,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/1qRqj7y/stinger-6l-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"12""/16""j",0,2,1,0,1,False,1,False,0,False,0,False,0,16,"ENE,JMPS1",0,20,jihad
3193,Thorn THE-N2,,Thorn,THE-N2,20,410,Inner Sphere,2341020,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/8Mq68tW/thorn-3050u.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,1,0,2,False,1,False,0,True,0,False,0,14,"CASE,IF0*",0,20,jihad
3532,Wasp WSP-8T,,Wasp,WSP-8T,20,439,Inner Sphere,2506320,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3075,14,3068,https://i.ibb.co/h14bPpZ/wasp-3085.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,1,0,1,False,1,False,1,False,0,False,0,14,IF0*,0,20,jihad
3067,Stinger STG-6S,,Stinger,STG-6S,20,478,Inner Sphere,4466940,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3069,14,3068,https://i.ibb.co/1qRqj7y/stinger-6l-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"18""/14""j",0,2,1,0,1,False,1,False,0,False,0,False,0,17,,0,20,jihad
702,Cossack C-1FC,,Cossack,C-1FC,20,483,Inner Sphere,2483640,Advanced,229,TR:3060,222,RS:3060u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3076,14,3068,https://i.ibb.co/jhmq1pX/cossack-3060.png,False,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,1,0,2,False,1,False,0,True,0,False,0,14,ENE,0,20,jihad
3531,Wasp WSP-7MAF,,Wasp,WSP-7MAF,20,488,Inner Sphere,3023920,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/h14bPpZ/wasp-3085.png,False,True,1.0,BattleMech,Scout,BM,1,"16""j",0,2,1,0,2,False,1,False,0,True,0,False,0,19,IF0*,0,20,jihad
3060,Stinger STG-3P,,Stinger,STG-3P,20,489,Inner Sphere,1775040,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/4mbR2xN/stinger-3085.png,True,True,1.0,BattleMech,Scout,BM,1,"12""j",0,2,2,0,0,True,1,False,1,False,0,False,0,14,ENE,0,20,jihad
8199,Locust LCT-5S,,Locust,LCT-5S,20,509,Inner Sphere,0,Standard,539,RGv1,474,RG16,https://i.ibb.co/4jf2wfz/era05-jihad.png,3073,14,3068,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,1,2,0,2,False,2,False,0,True,0,False,0,21,"CASE,IF0*",0,20,jihad
1909,Locust LCT-5T,,Locust,LCT-5T,20,520,Inner Sphere,2462500,Standard,178,BattleCorps,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3070,14,3068,https://i.ibb.co/pJyRVyV/locust-5m-pp.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,1,0,2,False,2,False,0,False,0,False,0,22,CASE,0,20,jihad
8123,Stinger STG-4G,,Stinger,STG-4G,20,541,Inner Sphere,0,Standard,539,RGv1,471,RG13,https://i.ibb.co/4jf2wfz/era05-jihad.png,3074,14,3068,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""/12""j",0,2,1,0,2,False,2,False,0,False,0,False,0,22,"ENE,JMPW1",0,20,jihad
5781,Fireball ALM-XF,,Fireball,ALM-XF,20,612,Inner Sphere,16909240,Experimental,369,XTR:Most Wanted,369,XTR:Most Wanted,https://i.ibb.co/4jf2wfz/era05-jihad.png,3077,14,3068,https://i.ibb.co/hMJTvDz/fireball-xtr.png,True,True,1.0,BattleMech,Scout,BM,1,"48""",0,2,1,0,1,False,1,False,0,False,0,False,0,25,ENE,0,20,jihad
3062,Stinger STG-5G,,Stinger,STG-5G,20,614,Inner Sphere,4807040,Experimental,539,RGv1,471,RG13,https://i.ibb.co/4jf2wfz/era05-jihad.png,3076,14,3068,https://i.ibb.co/0KwFP6Y/stinger-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""/12""j",0,2,1,0,0,True,1,False,1,False,0,False,0,17,"ENE,JMPW1",0,20,jihad
1729,Kabuto KBO-7B,,Kabuto,KBO-7B,20,635,Inner Sphere,2494640,Standard,463,TR:J,222,RS:3060u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/s3pxCJW/kabuto-3060.png,False,True,1.0,BattleMech,Scout,BM,1,"14""",0,2,1,0,1,False,1,False,1,False,0,False,0,17,ENE,0,20,jihad
1910,Locust LCT-5V,,Locust,LCT-5V,20,665,Inner Sphere,1801600,Standard,436,TR:CI,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/KKgJZ99/locust-5v-pp.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,2,2,0,2,False,2,False,0,True,0,False,0,24,ENE,0,20,jihad
2170,Mercury MCY-104,,Mercury,MCY-104,20,683,Inner Sphere,3659740,Standard,231,TR:3050U,194,RS:3050Uu-C,https://i.ibb.co/4jf2wfz/era05-jihad.png,3069,14,3068,https://i.ibb.co/SdyFM0N/mercury-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"20""",0,2,1,0,2,False,2,False,0,False,0,False,0,29,"C3I,ENE,MHQ2,TAG",0,20,jihad
1911,Locust LCT-5W,,Locust,LCT-5W,20,695,Inner Sphere,3840000,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3076,14,3068,https://i.ibb.co/Qb0GcNv/locust-3085.png,False,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,1,False,1,False,0,False,0,False,0,23,"C3I,ENE,MHQ2,TAG",0,20,jihad
1912,Locust LCT-5W2,,Locust,LCT-5W2,20,787,Inner Sphere,3480000,Standard,202,TR:3085,266,RS:3085u-PP,https://i.ibb.co/4jf2wfz/era05-jihad.png,3079,14,3068,https://i.ibb.co/Qb0GcNv/locust-3085.png,True,True,1.0,BattleMech,Scout,BM,1,"22""",0,2,1,0,1,False,1,False,0,False,0,False,0,24,"C3S,ECM,ENE,MHQ1,TAG",0,20,jihad
1139,Flea FLE-20,,Flea,FLE-20,20,791,Inner Sphere,2346000,Standard,231,TR:3050U,200,RS:3050Uu-I,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/1QgVGj3/flea-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"16""",0,1,2,0,2,False,2,False,1,False,0,False,0,24,"ECM,ENE,STL",0,20,jihad
5652,Red Shift RDS-3A,,Red Shift,RDS-3A,20,869,Inner Sphere,3782400,Standard,463,TR:J,367,RS:3067u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3068,14,3068,https://i.ibb.co/pQqCXGX/red-shift-3067.png,False,True,1.2,BattleMech,Striker,BM,1,"18""",0,2,1,0,2,False,2,False,0,False,0,False,0,25,"C3I,ENE,MHQ2",0,20,jihad
845,Dasher (Fire Moth) K,,Dasher (Fire Moth),K,20,884,Clan,4184425,Standard,436,TR:CI,437,RS:CI,https://i.ibb.co/4jf2wfz/era05-jihad.png,3071,14,3068,https://i.ibb.co/NVCWgzM/dasher-fire-moth-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"26""",0,1,1,0,3,False,3,False,0,False,0,False,0,28,"CASE,OMNI",0,20,jihad
2981,Snow Fox 3,,Snow Fox,3,20,903,Clan,3201600,Standard,229,TR:3060,222,RS:3060u,https://i.ibb.co/4jf2wfz/era05-jihad.png,3072,14,3068,https://i.ibb.co/Brn6ywT/snow-fox-3060.png,False,True,1.0,BattleMech,Striker,BM,1,"18""",0,2,1,0,2,False,2,False,0,True,0,False,0,24,"CASE,ECM",0,20,jihad
