Id,Name,GroupName,Class,Variant,Tonnage,BattleValue,Technology,Cost,Rules,TROId,TRO,RSId,RS,EraIcon,DateIntroduced,EraId,EraStart,ImageUrl,IsFeatured,IsPublished,Release,Type,Role,BFType,BFSize,BFMove,BFTMM,BFArmor,BFStructure,BFThreshold,BFDamageShort,BFDamageShortMin,BFDamageMedium,BFDamageMediumMin,BFDamageLong,BFDamageLongMin,BFDamageExtreme,BFDamageExtemeMin,BFOverheat,BFPointValue,BFAbilities,Skill,FormatedTonnage,Production Era
4267,Hatchetman HCT-3G,,Hatchetman,HCT-3G,0,0,Inner Sphere,0,Unknown,307,Recognition Cards,192,None,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3023,256,3020,https://i.ibb.co/sKrQj5m/hatchetman-rg.png,False,True,2.0,BattleMech,None,,0,,0,0,0,0,0,False,0,False,0,False,0,False,0,0,,0,,late-succession-war-renaissance
1898,Locust LCT-1L,,Locust,LCT-1L,20,474,Inner Sphere,1848400,Standard,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3030,256,3020,https://i.ibb.co/J2R4dnD/locust-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"16""",0,2,2,0,1,False,1,False,0,False,0,False,0,19,TSM,0,20,late-succession-war-renaissance
3196,Thorn THE-T,,Thorn,THE-T,20,500,Inner Sphere,1590720,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3038,256,3020,https://i.ibb.co/MRcw6Vj/thorn-3039.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,,0,20,late-succession-war-renaissance
7427,Flea FLE-16,,Flea,FLE-16,20,506,Inner Sphere,1576200,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3032,256,3020,https://i.ibb.co/1QgVGj3/flea-rg.png,True,True,1.0,BattleMech,Scout,BM,1,"18""",0,2,2,0,2,False,1,False,0,False,0,False,0,19,ENE,0,20,late-succession-war-renaissance
3195,Thorn THE-S,,Thorn,THE-S,20,510,Inner Sphere,1558320,Introductory,180,TR:3039,241,RS:3039u,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3035,256,3020,https://i.ibb.co/MRcw6Vj/thorn-3039.png,True,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,True,0,False,0,18,IF0*,0,20,late-succession-war-renaissance
668,Commando COM-1C,,Commando,COM-1C,25,458,Inner Sphere,1743750,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3020,256,3020,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,1,False,1,False,0,True,0,False,0,14,,0,25,late-succession-war-renaissance
672,Commando COM-3A,,Commando,COM-3A,25,540,Inner Sphere,1879375,Introductory,422,TR:SW,510,RSFP:Wave 1,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3025,256,3020,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,1.0,BattleMech,Striker,BM,1,"12""",0,2,2,0,2,False,2,False,0,False,0,False,0,17,SRM1/1,0,25,late-succession-war-renaissance
5770,Super-Wasp WSP-2A-X,,Super-Wasp,WSP-2A-X,25,635,Inner Sphere,3842500,Experimental,368,XTR:SW,368,XTR:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3020,256,3020,https://i.ibb.co/HXWkjzn/super-wasp-xtr.png,True,True,1.0,BattleMech,Striker,BM,1,"16""/12""j",0,2,2,0,2,False,2,False,0,False,0,False,0,24,JMPW1,0,25,late-succession-war-renaissance
4655,Mongoose MON-68,,Mongoose,MON-68,25,676,Inner Sphere,1794583,Introductory,422,TR:SW,423,RS:SW,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3039,256,3020,https://i.ibb.co/WvKsqBs/mongoose-rg.png,False,True,1.0,BattleMech,Scout,BM,1,"14""",0,3,2,0,1,False,1,False,0,False,0,False,0,21,ENE,0,25,late-succession-war-renaissance
9626,Commando COM-7Y,,Commando,COM-7Y,25,684,Inner Sphere,0,Introductory,544,Shrap16,464,ShrapRS,https://i.ibb.co/MB09bVm/era02-succession-wars.png,3022,256,3020,https://i.ibb.co/tcxdcYf/commando-rg.png,False,True,2.0,BattleMech,Striker,bm,1,"12""",0,3,2,0,3,False,3,False,0,False,0,False,0,24,,0,25,late-succession-war-renaissance
